"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"SumAbsDev"	"LargestDev"
"钟表"	0	0	1	0	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	0.747	-0.239	-0.027	1.175	"3"
"钢铁业"	0	0	0	0	1	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	-0.086	-0.239	1.214	1.701	"5"
"钦佩"	0	0	0	1	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	-0.086	0.374	-0.027	0.649	"4"
"银幕"	0	1	0	0	0	0.216	0.121	0.179	0.423	0.061	-0.106	0.919	-0.086	-0.239	-0.027	1.377	"2"
"锁定"	0	0	1	0	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	0.747	-0.239	-0.027	1.175	"3"
"长"	4	0	0	0	0	0.864	0.483	0.717	1.692	0.244	2.661	-0.223	-0.343	-0.955	-0.109	4.291	"1"
"门户"	0	0	0	1	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	-0.086	0.374	-0.027	0.649	"4"
"阿二"	0	0	0	1	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	-0.086	0.374	-0.027	0.649	"4"
"阿姆鲁"	0	0	0	1	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	-0.086	0.374	-0.027	0.649	"4"
"阿拉伯"	0	0	0	2	0	0.432	0.241	0.359	0.846	0.122	-0.211	-0.112	-0.172	0.747	-0.055	1.297	"4"
"阿盟"	1	0	0	0	0	0.216	0.121	0.179	0.423	0.061	0.665	-0.056	-0.086	-0.239	-0.027	1.073	"1"
"阿诺"	0	1	0	0	0	0.216	0.121	0.179	0.423	0.061	-0.106	0.919	-0.086	-0.239	-0.027	1.377	"2"
"附属"	0	0	0	1	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	-0.086	0.374	-0.027	0.649	"4"
"际"	0	0	0	3	0	0.648	0.362	0.538	1.269	0.183	-0.317	-0.167	-0.257	1.121	-0.082	1.944	"4"
"陆委会"	0	1	0	0	0	0.216	0.121	0.179	0.423	0.061	-0.106	0.919	-0.086	-0.239	-0.027	1.377	"2"
