"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"exp_8"	"exp_9"	"exp_10"	"exp_11"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"pbin_8"	"pbin_9"	"pbin_10"	"pbin_11"	"SumAbsDev"	"LargestDev"
"340"	0	0	1	0	0	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	1.112	-0.016	-0.176	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	1.557	"3"
"3505"	0	0	0	0	1	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	0.477	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	0.781	"5"
"4290"	0	0	0	0	1	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	0.477	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	0.781	"5"
"5820万"	0	0	0	0	1	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	0.477	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	0.781	"5"
"800"	0	0	1	0	0	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	1.112	-0.016	-0.176	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	1.557	"3"
"81"	0	0	0	1	0	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	1.438	-0.176	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	1.902	"4"
"891007"	0	0	0	0	0	1	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	-0.176	1.19	-0.024	-0.034	-0.072	-0.006	-0.05	1.641	"6"
"891023"	0	0	0	0	0	0	0	0	0	0	1	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	-0.176	-0.029	-0.024	-0.034	-0.072	-0.006	0.967	1.397	"11"
"891203"	0	0	0	0	1	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	0.477	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	0.781	"5"
"891205"	0	0	0	0	0	0	0	1	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	-0.176	-0.029	-0.024	1.129	-0.072	-0.006	-0.05	1.575	"8"
"900127"	0	0	0	0	0	0	0	0	0	0	1	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	-0.176	-0.029	-0.024	-0.034	-0.072	-0.006	0.967	1.397	"11"
"961"	0	0	0	1	0	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	1.438	-0.176	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	1.902	"4"
"IBSR"	0	0	0	0	1	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	0.477	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	0.781	"5"
"www.originalsource.co.uk"	0	0	0	0	1	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	0.477	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	0.781	"5"
"一之一号"	0	0	0	0	1	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	0.477	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	0.781	"5"
"一之七号"	0	0	0	0	1	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	0.477	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	0.781	"5"
"一切"	0	0	0	0	0	0	0	0	1	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	-0.176	-0.029	-0.024	-0.034	0.815	-0.006	-0.05	1.223	"9"
"一家家"	0	0	0	0	1	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	0.477	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	0.781	"5"
"一帆风顺"	0	0	0	0	0	0	0	0	0	0	1	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	-0.176	-0.029	-0.024	-0.034	-0.072	-0.006	0.967	1.397	"11"
"一带"	0	0	0	1	0	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	1.438	-0.176	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	1.902	"4"
"一样"	0	0	0	0	0	1	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	-0.176	1.19	-0.024	-0.034	-0.072	-0.006	-0.05	1.641	"6"
"一百"	0	0	0	0	0	0	0	0	1	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	-0.176	-0.029	-0.024	-0.034	0.815	-0.006	-0.05	1.223	"9"
"一般"	0	0	0	0	1	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	0.477	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	0.781	"5"
"三万两千五百"	0	0	0	0	1	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	0.477	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	0.781	"5"
"三角城"	1	0	0	0	0	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	1.253	-0.013	-0.035	-0.016	-0.176	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	1.708	"1"
"上"	2	1	8	0	3	4	0	3	4	1	11	2.064	1.055	2.856	1.35	12.339	2.39	2.018	2.747	5.665	0.528	3.989	-0.181	-0.146	2.195	-0.597	-3.455	0.668	-0.901	0.28	-0.506	0.385	2.871	12.185	"5"
"上半年"	1	0	0	0	0	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	1.253	-0.013	-0.035	-0.016	-0.176	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	1.708	"1"
"上将"	0	0	0	0	0	0	0	1	0	0	1	0.112	0.057	0.154	0.073	0.667	0.129	0.109	0.148	0.306	0.029	0.216	-0.05	-0.025	-0.07	-0.032	-0.352	-0.058	-0.049	0.845	-0.144	-0.012	0.69	2.327	"8"
"上来"	0	0	0	0	0	0	0	2	0	0	0	0.112	0.057	0.154	0.073	0.667	0.129	0.109	0.148	0.306	0.029	0.216	-0.05	-0.025	-0.07	-0.032	-0.352	-0.058	-0.049	2.259	-0.144	-0.012	-0.099	3.15	"8"
"上海"	3	0	0	0	0	0	0	0	0	0	0	0.167	0.086	0.232	0.109	1	0.194	0.164	0.223	0.459	0.043	0.323	3.76	-0.038	-0.105	-0.048	-0.529	-0.087	-0.073	-0.101	-0.217	-0.019	-0.149	5.126	"1"
"不再"	0	0	0	0	0	1	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	-0.176	1.19	-0.024	-0.034	-0.072	-0.006	-0.05	1.641	"6"
"不只"	0	0	0	0	0	0	0	0	1	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	-0.176	-0.029	-0.024	-0.034	0.815	-0.006	-0.05	1.223	"9"
"不同"	0	0	0	0	0	0	0	0	0	0	1	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	-0.176	-0.029	-0.024	-0.034	-0.072	-0.006	0.967	1.397	"11"
"不大"	0	0	0	0	0	0	0	0	0	0	1	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	-0.176	-0.029	-0.024	-0.034	-0.072	-0.006	0.967	1.397	"11"
"不然"	0	0	0	0	0	0	0	0	0	0	1	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	-0.176	-0.029	-0.024	-0.034	-0.072	-0.006	0.967	1.397	"11"
"与会"	0	0	0	0	0	0	0	1	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	-0.176	-0.029	-0.024	1.129	-0.072	-0.006	-0.05	1.575	"8"
"专攻"	0	0	0	0	1	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	0.477	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	0.781	"5"
"专用"	0	0	1	0	0	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	1.112	-0.016	-0.176	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	1.557	"3"
"业务"	0	0	0	0	3	0	0	1	1	0	0	0.279	0.143	0.386	0.182	1.667	0.323	0.273	0.371	0.766	0.071	0.539	-0.125	-0.063	-0.174	-0.081	0.678	-0.145	-0.122	0.495	0.248	-0.031	-0.248	2.41	"5"
"东亚"	0	0	0	0	0	0	0	1	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	-0.176	-0.029	-0.024	1.129	-0.072	-0.006	-0.05	1.575	"8"
"东北"	0	0	0	1	0	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	1.438	-0.176	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	1.902	"4"
"东海"	0	0	0	0	1	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	0.477	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	0.781	"5"
"东西向"	0	1	0	0	4	0	0	0	0	0	0	0.279	0.143	0.386	0.182	1.667	0.323	0.273	0.371	0.766	0.071	0.539	-0.125	0.871	-0.174	-0.081	1.344	-0.145	-0.122	-0.168	-0.361	-0.031	-0.248	3.67	"5"
"两旁"	0	0	0	0	4	0	0	0	0	0	0	0.223	0.114	0.309	0.146	1.334	0.258	0.218	0.297	0.612	0.057	0.431	-0.1	-0.05	-0.14	-0.065	1.908	-0.116	-0.097	-0.134	-0.289	-0.025	-0.198	3.122	"5"
"严"	0	0	0	0	0	0	0	0	1	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	-0.176	-0.029	-0.024	-0.034	0.815	-0.006	-0.05	1.223	"9"
"严禁"	0	0	0	0	2	0	0	0	0	0	0	0.112	0.057	0.154	0.073	0.667	0.129	0.109	0.148	0.306	0.029	0.216	-0.05	-0.025	-0.07	-0.032	0.954	-0.058	-0.049	-0.067	-0.144	-0.012	-0.099	1.56	"5"
"严重"	1	0	0	0	0	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	1.253	-0.013	-0.035	-0.016	-0.176	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	1.708	"1"
"中"	0	0	0	0	0	0	0	0	0	0	1	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	-0.176	-0.029	-0.024	-0.034	-0.072	-0.006	0.967	1.397	"11"
"中东"	0	0	0	0	0	0	0	4	0	0	0	0.223	0.114	0.309	0.146	1.334	0.258	0.218	0.297	0.612	0.057	0.431	-0.1	-0.05	-0.14	-0.065	-0.705	-0.116	-0.097	4.517	-0.289	-0.025	-0.198	6.302	"8"
"中医"	0	0	0	0	0	0	1	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	-0.176	-0.029	1.263	-0.034	-0.072	-0.006	-0.05	1.719	"7"
"中国化"	0	0	0	0	0	1	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	-0.176	1.19	-0.024	-0.034	-0.072	-0.006	-0.05	1.641	"6"
"中山路"	0	0	0	0	1	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	0.477	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	0.781	"5"
"中左翼"	0	0	0	0	0	1	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	-0.176	1.19	-0.024	-0.034	-0.072	-0.006	-0.05	1.641	"6"
"中断"	0	0	0	0	2	0	0	0	0	0	0	0.112	0.057	0.154	0.073	0.667	0.129	0.109	0.148	0.306	0.029	0.216	-0.05	-0.025	-0.07	-0.032	0.954	-0.058	-0.049	-0.067	-0.144	-0.012	-0.099	1.56	"5"
"中钢"	0	0	0	0	0	0	0	0	0	0	1	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	-0.176	-0.029	-0.024	-0.034	-0.072	-0.006	0.967	1.397	"11"
"中间"	0	0	0	0	0	0	0	0	0	0	1	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	-0.176	-0.029	-0.024	-0.034	-0.072	-0.006	0.967	1.397	"11"
"临床"	0	0	0	0	0	0	1	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	-0.176	-0.029	1.263	-0.034	-0.072	-0.006	-0.05	1.719	"7"
"主义"	0	0	0	0	0	1	0	0	2	0	0	0.167	0.086	0.232	0.109	1	0.194	0.164	0.223	0.459	0.043	0.323	-0.075	-0.038	-0.105	-0.048	-0.529	0.741	-0.073	-0.101	1.2	-0.019	-0.149	3.078	"9"
"主办"	0	0	0	0	1	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	0.477	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	0.781	"5"
"主干"	0	0	0	0	1	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	0.477	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	0.781	"5"
"主干道"	0	1	0	0	0	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	1.545	-0.035	-0.016	-0.176	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	2.012	"2"
"主线"	0	0	0	1	1	0	0	0	0	0	0	0.112	0.057	0.154	0.073	0.667	0.129	0.109	0.148	0.306	0.029	0.216	-0.05	-0.025	-0.07	1.145	0.255	-0.058	-0.049	-0.067	-0.144	-0.012	-0.099	1.974	"4"
"主要"	0	0	0	0	1	0	2	0	0	0	6	0.502	0.257	0.695	0.328	3.001	0.581	0.491	0.668	1.378	0.128	0.97	-0.224	-0.113	-0.314	-0.145	-0.845	-0.261	1.081	-0.302	-0.65	-0.056	4.006	7.997	"11"
"久候"	0	0	0	0	1	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	0.477	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	0.781	"5"
"乌鸦岭"	0	0	0	0	1	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	0.477	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	0.781	"5"
"乐观"	0	0	0	0	1	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	0.477	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	0.781	"5"
"乘客"	0	1	0	4	1	0	0	0	0	0	0	0.335	0.171	0.463	0.219	2.001	0.388	0.327	0.445	0.919	0.086	0.647	-0.15	0.798	-0.209	4.601	-0.455	-0.174	-0.146	-0.201	-0.433	-0.037	-0.297	7.501	"4"
"乘搭"	0	0	0	1	0	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	1.438	-0.176	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	1.902	"4"
"乡"	0	0	0	0	0	0	0	0	0	0	1	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	-0.176	-0.029	-0.024	-0.034	-0.072	-0.006	0.967	1.397	"11"
"乡公"	0	0	0	0	1	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	0.477	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	0.781	"5"
"乡公所"	0	0	0	0	1	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	0.477	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	0.781	"5"
"乡村"	0	0	0	0	1	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	0.477	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	0.781	"5"
"买家"	0	0	0	0	0	0	0	0	1	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	-0.176	-0.029	-0.024	-0.034	0.815	-0.006	-0.05	1.223	"9"
"了解"	0	0	0	0	0	0	0	0	3	0	0	0.167	0.086	0.232	0.109	1	0.194	0.164	0.223	0.459	0.043	0.323	-0.075	-0.038	-0.105	-0.048	-0.529	-0.087	-0.073	-0.101	2.445	-0.019	-0.149	3.669	"9"
"争"	0	0	0	0	0	0	0	0	1	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	-0.176	-0.029	-0.024	-0.034	0.815	-0.006	-0.05	1.223	"9"
"争取"	0	0	0	0	0	0	0	1	1	0	0	0.112	0.057	0.154	0.073	0.667	0.129	0.109	0.148	0.306	0.029	0.216	-0.05	-0.025	-0.07	-0.032	-0.352	-0.058	-0.049	0.845	0.549	-0.012	-0.099	2.141	"8"
"争端"	0	0	0	0	0	0	0	2	0	0	0	0.112	0.057	0.154	0.073	0.667	0.129	0.109	0.148	0.306	0.029	0.216	-0.05	-0.025	-0.07	-0.032	-0.352	-0.058	-0.049	2.259	-0.144	-0.012	-0.099	3.15	"8"
"争议"	0	0	0	0	0	0	0	1	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	-0.176	-0.029	-0.024	1.129	-0.072	-0.006	-0.05	1.575	"8"
"事故"	5	0	0	0	0	0	0	0	0	0	0	0.279	0.143	0.386	0.182	1.667	0.323	0.273	0.371	0.766	0.071	0.539	6.267	-0.063	-0.174	-0.081	-0.881	-0.145	-0.122	-0.168	-0.361	-0.031	-0.248	8.541	"1"
"二十三"	0	0	0	0	1	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	0.477	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	0.781	"5"
