top20dca_collo	cluster	concept	manual_culling
元 % 公司 增长 实现 亿 比 总额 年 收入 制 国有 达 高 增加 银行 利润 持有 行业 今年	3	interest_stake_13286801-n	
行业 个 企业 产品 成为 生产 工业 较 相关 疫情 整 等 产业 发展 结构 竞争 其他 汽车 影响 运输	1	job_00582388-n	
辞去 担任 资格 之 利用 联赛 职务 ; 便 书记 总统 足球 犯罪 道德 岗位 教师 录取 美国 市长 职	2	job_00582388-n	
人员 联合国 不准 使馆 办公室 组委会 救助 检查 NA NA NA NA NA NA NA NA NA NA NA NA	3	job_00582388-n	
防治 做好 非典 要 部门 各 项 肺炎 努力 全面 工作 农村 指导 安全 取得 加强 非典型 思想 开展 落实	4	job_00582388-n	
防御 系统 国家 战区 部署 TMD 建立 NMD 全国 反对 美国 布希 体系 系列 主张 日 战略 美 统 问题	1	missile_04008634-n	
发射 枚 伊拉克 击中 哈马斯 武装 直升机 辆 巴勒斯坦 8000 至少 巴格达 军队 沙城 伤亡 在内 军 05 标有 不详	2	missile_04008634-n	
弹道 朝鲜 空 试射 地对空 艘 射程 型 公里 中程 反 飞机 战机 飞弹 武器 防空 北韩 海军 印度 巡弋	3	missile_04008634-n	
卫星 发射 地球 火星 颗 送入 火箭 号 太空 运行 它 同步 重量 俄 风云 和平号 探测 探测器 预定 进入	1	railway_04048075-n	
铁路 公路 高速 提速 衔接 电气化 京义线 复原 开城 横 汶山 南北韩 枢纽 德国 广深 断轨 泛 分界线 干线 客货	2	railway_04048075-n	
交通 工程 建设 地铁 上海 青藏 线路 发展 建成 城市 客运 全面 总公司 规划 隧道 条 施工 铁 NA NA	3	railway_04048075-n	
运输 列车 旅客 火车 春运 集集 台铁 分局 车票 铁道部 站 傅志寰 公安 南投县 票 客流 管理局 台湾 全国 人次	4	railway_04048075-n	
请 阵风 级 大 注意 八 九级 审核 特别 2 3 明 十 今 八级 到 九 海面 南海 意	1	vessel_watercraft_04530566-n	
艘 船只 2万多 突尼斯 载 载有 船 246 250 拆解 出入 非洲 架次 另外 三无 偷渡客 巡游 意大利 引领 闸次	2	vessel_watercraft_04530566-n	
、 航行 船舶 公司 三峡 事故 长江 飞机 集团 技术 水域 中国 航道 港口 海 海事 水位 中心 作业 车辆	3	vessel_watercraft_04530566-n	
