"Coll_Word"	"1"	"10"	"2"	"3"	"3\""	"4"	"5"	"6"	"7"	"8"	"9"	"exp_1"	"exp_10"	"exp_2"	"exp_3"	"exp_3\""	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"exp_8"	"exp_9"	"pbin_1"	"pbin_10"	"pbin_2"	"pbin_3"	"pbin_3\""	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"pbin_8"	"pbin_9"	"SumAbsDev"	"LargestDev"
"0.68"	0	0	0	0	0	0	0	0	0	0	1	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	-0.029	-0.044	-0.049	-0.056	-0.02	1.144	1.583	"9"
"0.83"	0	0	0	0	0	0	0	1	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	-0.029	-0.044	0.97	-0.056	-0.02	-0.032	1.392	"6"
"1000多万"	0	0	0	0	0	0	1	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	-0.029	1.014	-0.049	-0.056	-0.02	-0.032	1.441	"5"
"110.53"	0	0	0	0	0	0	1	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	-0.029	1.014	-0.049	-0.056	-0.02	-0.032	1.441	"5"
"115.53"	0	0	0	0	0	0	1	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	-0.029	1.014	-0.049	-0.056	-0.02	-0.032	1.441	"5"
"13,347"	0	0	0	0	0	0	1	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	-0.029	1.014	-0.049	-0.056	-0.02	-0.032	1.441	"5"
"1307"	0	0	0	0	0	0	1	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	-0.029	1.014	-0.049	-0.056	-0.02	-0.032	1.441	"5"
"149.3"	0	1	0	0	0	0	0	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	0.711	-0.01	-0.013	0	-0.029	-0.044	-0.049	-0.056	-0.02	-0.032	1.088	"10"
"14亿5000万"	0	0	0	0	0	0	1	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	-0.029	1.014	-0.049	-0.056	-0.02	-0.032	1.441	"5"
"16000多"	0	0	0	0	0	0	0	0	1	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	-0.029	-0.044	-0.049	0.919	-0.02	-0.032	1.334	"7"
"17％"	1	0	0	0	0	0	0	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	0.606	-0.094	-0.01	-0.013	0	-0.029	-0.044	-0.049	-0.056	-0.02	-0.032	0.953	"1"
"1亿"	0	0	0	0	0	0	1	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	-0.029	1.014	-0.049	-0.056	-0.02	-0.032	1.441	"5"
"1亿2000万"	0	0	0	1	0	0	0	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	1.517	0	-0.029	-0.044	-0.049	-0.056	-0.02	-0.032	1.975	"3"
"1月份"	1	0	0	0	0	0	0	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	0.606	-0.094	-0.01	-0.013	0	-0.029	-0.044	-0.049	-0.056	-0.02	-0.032	0.953	"1"
"２"	1	0	0	0	0	0	0	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	0.606	-0.094	-0.01	-0.013	0	-0.029	-0.044	-0.049	-0.056	-0.02	-0.032	0.953	"1"
"2200万"	0	0	0	0	0	0	1	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	-0.029	1.014	-0.049	-0.056	-0.02	-0.032	1.441	"5"
"2270"	0	1	0	0	0	0	0	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	0.711	-0.01	-0.013	0	-0.029	-0.044	-0.049	-0.056	-0.02	-0.032	1.088	"10"
"22亿"	0	1	0	0	0	0	0	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	0.711	-0.01	-0.013	0	-0.029	-0.044	-0.049	-0.056	-0.02	-0.032	1.088	"10"
"2684"	0	0	0	0	0	0	1	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	-0.029	1.014	-0.049	-0.056	-0.02	-0.032	1.441	"5"
"2亿1000万"	0	0	0	1	0	0	0	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	1.517	0	-0.029	-0.044	-0.049	-0.056	-0.02	-0.032	1.975	"3"
"3.50"	0	0	0	0	0	0	1	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	-0.029	1.014	-0.049	-0.056	-0.02	-0.032	1.441	"5"
"33万"	0	1	0	0	0	0	0	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	0.711	-0.01	-0.013	0	-0.029	-0.044	-0.049	-0.056	-0.02	-0.032	1.088	"10"
"3628"	0	0	0	0	0	0	1	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	-0.029	1.014	-0.049	-0.056	-0.02	-0.032	1.441	"5"
"3亿"	0	0	0	0	0	0	1	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	-0.029	1.014	-0.049	-0.056	-0.02	-0.032	1.441	"5"
"3亿8000万"	0	0	0	0	0	1	0	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	1.187	-0.044	-0.049	-0.056	-0.02	-0.032	1.629	"4"
"4496"	0	0	0	0	0	0	1	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	-0.029	1.014	-0.049	-0.056	-0.02	-0.032	1.441	"5"
"49亿"	0	0	0	0	0	0	1	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	-0.029	1.014	-0.049	-0.056	-0.02	-0.032	1.441	"5"
"4亿"	0	0	0	0	0	0	2	0	0	0	0	0.495	0.389	0.044	0.061	0.001	0.13	0.194	0.214	0.241	0.088	0.143	-0.247	-0.188	-0.019	-0.027	0	-0.058	2.028	-0.098	-0.112	-0.039	-0.065	2.881	"5"
"5029"	0	0	0	0	0	0	1	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	-0.029	1.014	-0.049	-0.056	-0.02	-0.032	1.441	"5"
"56.17"	0	0	0	0	0	0	0	0	0	0	1	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	-0.029	-0.044	-0.049	-0.056	-0.02	1.144	1.583	"9"
"5亿"	0	0	0	0	0	0	2	0	0	0	0	0.495	0.389	0.044	0.061	0.001	0.13	0.194	0.214	0.241	0.088	0.143	-0.247	-0.188	-0.019	-0.027	0	-0.058	2.028	-0.098	-0.112	-0.039	-0.065	2.881	"5"
"6088"	0	0	0	0	0	0	2	0	0	0	0	0.495	0.389	0.044	0.061	0.001	0.13	0.194	0.214	0.241	0.088	0.143	-0.247	-0.188	-0.019	-0.027	0	-0.058	2.028	-0.098	-0.112	-0.039	-0.065	2.881	"5"
"6138"	0	0	0	0	0	0	1	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	-0.029	1.014	-0.049	-0.056	-0.02	-0.032	1.441	"5"
"6亿1200万"	0	0	0	0	0	0	1	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	-0.029	1.014	-0.049	-0.056	-0.02	-0.032	1.441	"5"
"6亿6200万"	0	0	0	0	0	0	1	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	-0.029	1.014	-0.049	-0.056	-0.02	-0.032	1.441	"5"
"70％"	1	0	0	0	0	0	0	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	0.606	-0.094	-0.01	-0.013	0	-0.029	-0.044	-0.049	-0.056	-0.02	-0.032	0.953	"1"
"7亿"	0	0	0	0	0	0	2	0	0	0	0	0.495	0.389	0.044	0.061	0.001	0.13	0.194	0.214	0.241	0.088	0.143	-0.247	-0.188	-0.019	-0.027	0	-0.058	2.028	-0.098	-0.112	-0.039	-0.065	2.881	"5"
"7亿100万"	0	0	0	0	0	0	1	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	-0.029	1.014	-0.049	-0.056	-0.02	-0.032	1.441	"5"
"80％"	1	0	0	0	0	0	0	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	0.606	-0.094	-0.01	-0.013	0	-0.029	-0.044	-0.049	-0.056	-0.02	-0.032	0.953	"1"
"8665"	0	0	0	0	0	0	1	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	-0.029	1.014	-0.049	-0.056	-0.02	-0.032	1.441	"5"
"891004"	0	0	0	0	0	0	0	0	0	1	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	-0.029	-0.044	-0.049	-0.056	1.355	-0.032	1.806	"8"
"891120"	0	1	0	0	0	0	0	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	0.711	-0.01	-0.013	0	-0.029	-0.044	-0.049	-0.056	-0.02	-0.032	1.088	"10"
"891214"	0	0	0	0	0	0	0	0	0	0	1	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	-0.029	-0.044	-0.049	-0.056	-0.02	1.144	1.583	"9"
"891225"	1	0	0	0	0	0	0	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	0.606	-0.094	-0.01	-0.013	0	-0.029	-0.044	-0.049	-0.056	-0.02	-0.032	0.953	"1"
"900108"	0	1	0	0	0	0	0	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	0.711	-0.01	-0.013	0	-0.029	-0.044	-0.049	-0.056	-0.02	-0.032	1.088	"10"
"9141亿"	0	0	0	0	0	0	1	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	-0.029	1.014	-0.049	-0.056	-0.02	-0.032	1.441	"5"
"ADR"	0	1	0	0	0	0	0	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	0.711	-0.01	-0.013	0	-0.029	-0.044	-0.049	-0.056	-0.02	-0.032	1.088	"10"
"ARS"	0	0	0	0	0	1	0	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	1.187	-0.044	-0.049	-0.056	-0.02	-0.032	1.629	"4"
"B"	0	0	0	0	0	0	0	1	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	-0.029	-0.044	0.97	-0.056	-0.02	-0.032	1.392	"6"
"B2B"	0	0	0	0	0	0	0	0	3	0	0	0.743	0.583	0.066	0.091	0.001	0.195	0.29	0.321	0.361	0.133	0.215	-0.371	-0.282	-0.029	-0.04	0	-0.088	-0.133	-0.148	2.757	-0.059	-0.097	4.004	"7"
"B股"	0	0	0	0	0	0	1	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	-0.029	1.014	-0.049	-0.056	-0.02	-0.032	1.441	"5"
"GS"	0	1	0	0	0	0	0	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	0.711	-0.01	-0.013	0	-0.029	-0.044	-0.049	-0.056	-0.02	-0.032	1.088	"10"
"HKATS"	0	0	0	0	0	0	0	0	1	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	-0.029	-0.044	-0.049	0.919	-0.02	-0.032	1.334	"7"
"RP"	0	1	0	0	0	0	0	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	0.711	-0.01	-0.013	0	-0.029	-0.044	-0.049	-0.056	-0.02	-0.032	1.088	"10"
"Traffic"	0	0	0	0	0	1	0	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	1.187	-0.044	-0.049	-0.056	-0.02	-0.032	1.629	"4"
"一○"	0	0	0	0	0	1	0	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	1.187	-0.044	-0.049	-0.056	-0.02	-0.032	1.629	"4"
"一两"	1	0	0	0	0	0	0	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	0.606	-0.094	-0.01	-0.013	0	-0.029	-0.044	-0.049	-0.056	-0.02	-0.032	0.953	"1"
"一九九一年"	0	1	0	0	0	0	0	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	0.711	-0.01	-0.013	0	-0.029	-0.044	-0.049	-0.056	-0.02	-0.032	1.088	"10"
"一些"	6	0	0	1	0	0	0	0	0	0	0	1.734	1.36	0.153	0.213	0.002	0.455	0.678	0.749	0.843	0.309	0.502	2.895	-0.657	-0.067	0.712	-0.001	-0.204	-0.31	-0.344	-0.39	-0.137	-0.226	5.943	"1"
"一亿三千万"	0	0	0	0	0	0	1	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	-0.029	1.014	-0.049	-0.056	-0.02	-0.032	1.441	"5"
"一向"	1	0	0	0	0	0	0	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	0.606	-0.094	-0.01	-0.013	0	-0.029	-0.044	-0.049	-0.056	-0.02	-0.032	0.953	"1"
"一家人"	1	0	0	0	0	0	0	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	0.606	-0.094	-0.01	-0.013	0	-0.029	-0.044	-0.049	-0.056	-0.02	-0.032	0.953	"1"
"一本万利"	1	0	0	0	0	0	0	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	0.606	-0.094	-0.01	-0.013	0	-0.029	-0.044	-0.049	-0.056	-0.02	-0.032	0.953	"1"
"一样"	1	0	0	0	0	0	0	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	0.606	-0.094	-0.01	-0.013	0	-0.029	-0.044	-0.049	-0.056	-0.02	-0.032	0.953	"1"
"一百六十亿"	0	1	0	0	0	1	0	0	0	0	0	0.495	0.389	0.044	0.061	0.001	0.13	0.194	0.214	0.241	0.088	0.143	-0.247	0.455	-0.019	-0.027	0	0.9	-0.088	-0.098	-0.112	-0.039	-0.065	2.05	"4"
"一般"	0	0	0	0	0	0	0	0	0	1	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	-0.029	-0.044	-0.049	-0.056	1.355	-0.032	1.806	"8"
"一般来说"	1	0	0	0	0	0	0	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	0.606	-0.094	-0.01	-0.013	0	-0.029	-0.044	-0.049	-0.056	-0.02	-0.032	0.953	"1"
"七亿"	0	0	0	0	0	0	0	0	1	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	-0.029	-0.044	-0.049	0.919	-0.02	-0.032	1.334	"7"
"七成"	2	0	0	0	0	0	0	0	0	0	0	0.495	0.389	0.044	0.061	0.001	0.13	0.194	0.214	0.241	0.088	0.143	1.212	-0.188	-0.019	-0.027	0	-0.058	-0.088	-0.098	-0.112	-0.039	-0.065	1.906	"1"
"万"	0	1	0	0	0	0	7	0	0	0	0	1.982	1.555	0.175	0.243	0.003	0.52	0.775	0.857	0.964	0.353	0.574	-0.989	-0.284	-0.077	-0.107	-0.001	-0.234	6.234	-0.393	-0.446	-0.157	-0.259	9.181	"5"
"万字票"	0	0	0	0	0	1	0	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	1.187	-0.044	-0.049	-0.056	-0.02	-0.032	1.629	"4"
"三十一亿九千五百"	0	0	0	0	0	0	1	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	-0.029	1.014	-0.049	-0.056	-0.02	-0.032	1.441	"5"
"三十九"	0	1	0	0	0	0	0	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	0.711	-0.01	-0.013	0	-0.029	-0.044	-0.049	-0.056	-0.02	-0.032	1.088	"10"
"三月份"	0	0	0	0	0	0	1	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	-0.029	1.014	-0.049	-0.056	-0.02	-0.032	1.441	"5"
"三辣"	0	0	0	0	0	0	0	1	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	-0.029	-0.044	0.97	-0.056	-0.02	-0.032	1.392	"6"
"上"	0	0	0	0	0	0	0	0	2	0	0	0.495	0.389	0.044	0.061	0.001	0.13	0.194	0.214	0.241	0.088	0.143	-0.247	-0.188	-0.019	-0.027	0	-0.058	-0.088	-0.098	1.838	-0.039	-0.065	2.667	"7"
"上升"	0	0	0	0	0	0	1	1	0	0	0	0.495	0.389	0.044	0.061	0.001	0.13	0.194	0.214	0.241	0.088	0.143	-0.247	-0.188	-0.019	-0.027	0	-0.058	0.735	0.693	-0.112	-0.039	-0.065	2.183	"5"
"上市"	0	11	0	0	0	0	1	0	0	0	5	4.211	3.304	0.372	0.517	0.006	1.105	1.646	1.82	2.048	0.751	1.219	-2.101	4.242	-0.164	-0.228	-0.003	-0.496	-0.301	-0.836	-0.948	-0.334	2.248	11.901	"10"
"上市公司"	0	0	0	0	0	0	0	1	0	0	1	0.495	0.389	0.044	0.061	0.001	0.13	0.194	0.214	0.241	0.088	0.143	-0.247	-0.188	-0.019	-0.027	0	-0.058	-0.088	0.693	-0.112	-0.039	0.859	2.33	"9"
"上市柜"	0	0	0	0	0	0	0	0	0	0	2	0.495	0.389	0.044	0.061	0.001	0.13	0.194	0.214	0.241	0.088	0.143	-0.247	-0.188	-0.019	-0.027	0	-0.058	-0.088	-0.098	-0.112	-0.039	2.289	3.165	"9"
"上扬"	0	1	0	0	0	0	1	3	0	0	0	1.239	0.972	0.11	0.152	0.002	0.325	0.484	0.535	0.602	0.221	0.359	-0.618	0.18	-0.048	-0.067	-0.001	-0.146	0.399	1.984	-0.279	-0.098	-0.162	3.982	"6"
"上柜"	0	0	0	0	0	0	1	0	0	2	2	1.239	0.972	0.11	0.152	0.002	0.325	0.484	0.535	0.602	0.221	0.359	-0.618	-0.469	-0.048	-0.067	-0.001	-0.146	0.399	-0.246	-0.279	1.749	1.352	5.374	"8"
"上海"	0	3	0	0	0	0	0	0	0	0	0	0.743	0.583	0.066	0.091	0.001	0.195	0.29	0.321	0.361	0.133	0.215	-0.371	2.134	-0.029	-0.04	0	-0.088	-0.133	-0.148	-0.167	-0.059	-0.097	3.266	"10"
"上海市家"	0	0	0	0	0	0	0	0	1	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	-0.029	-0.044	-0.049	0.919	-0.02	-0.032	1.334	"7"
"上海股"	0	0	0	0	0	0	0	0	1	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	-0.029	-0.044	-0.049	0.919	-0.02	-0.032	1.334	"7"
"上涨"	0	0	0	0	0	0	1	3	0	0	0	0.991	0.777	0.088	0.122	0.001	0.26	0.387	0.428	0.482	0.177	0.287	-0.494	-0.375	-0.038	-0.054	-0.001	-0.117	0.476	2.345	-0.223	-0.078	-0.129	4.33	"6"
"上进"	0	0	0	0	0	0	0	0	1	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	-0.029	-0.044	-0.049	0.919	-0.02	-0.032	1.334	"7"
"上门"	0	0	0	1	0	0	0	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	1.517	0	-0.029	-0.044	-0.049	-0.056	-0.02	-0.032	1.975	"3"
"下单"	0	0	0	0	0	0	0	0	0	0	1	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	-0.124	-0.094	-0.01	-0.013	0	-0.029	-0.044	-0.049	-0.056	-0.02	1.144	1.583	"9"
"下去"	2	0	0	0	0	0	0	0	0	0	0	0.495	0.389	0.044	0.061	0.001	0.13	0.194	0.214	0.241	0.088	0.143	1.212	-0.188	-0.019	-0.027	0	-0.058	-0.088	-0.098	-0.112	-0.039	-0.065	1.906	"1"
"下跌"	1	0	0	0	0	0	1	2	0	0	1	1.239	0.972	0.11	0.152	0.002	0.325	0.484	0.535	0.602	0.221	0.359	-0.195	-0.469	-0.048	-0.067	-0.001	-0.146	0.399	1.036	-0.279	-0.098	0.508	3.246	"6"
"下降"	1	0	0	0	0	0	0	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	0.606	-0.094	-0.01	-0.013	0	-0.029	-0.044	-0.049	-0.056	-0.02	-0.032	0.953	"1"
"不只"	1	0	0	0	0	0	0	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	0.606	-0.094	-0.01	-0.013	0	-0.029	-0.044	-0.049	-0.056	-0.02	-0.032	0.953	"1"
"不少"	1	0	0	0	0	0	0	0	0	0	0	0.248	0.194	0.022	0.03	0	0.065	0.097	0.107	0.12	0.044	0.072	0.606	-0.094	-0.01	-0.013	0	-0.029	-0.044	-0.049	-0.056	-0.02	-0.032	0.953	"1"
"不得"	0	1	0	0	0	0	0	0	0	0	2	0.743	0.583	0.066	0.091	0.001	0.195	0.29	0.321	0.361	0.133	0.215	-0.371	0.321	-0.029	-0.04	0	-0.088	-0.133	-0.148	-0.167	-0.059	1.833	3.189	"9"
