"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"SumAbsDev"	"LargestDev"
"管道"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"粮食"	1	0	0	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	1.506	-0.017	-0.102	-0.265	-0.028	-0.026	-0.067	2.011	"1"
"精神"	0	4	0	3	0	0	0	0.218	0.271	1.462	3.2	0.439	0.405	1.005	-0.096	4.146	-0.712	-0.227	-0.197	-0.181	-0.471	6.03	"2"
"系统"	0	0	0	0	0	0	1	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	-0.265	-0.028	-0.026	0.843	1.295	"7"
"紫外线"	0	0	0	0	0	1	1	0.062	0.077	0.418	0.914	0.125	0.116	0.287	-0.028	-0.034	-0.203	-0.531	-0.056	0.949	0.574	2.375	"6"
"纠集"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"约"	0	2	17	0	1	0	0	0.624	0.774	4.177	9.144	1.255	1.157	2.87	-0.275	0.744	8.791	-5.307	-0.194	-0.518	-1.345	17.174	"3"
"纯朴"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"纵火"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"练习"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"练马师"	0	1	0	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	1.412	-0.102	-0.265	-0.028	-0.026	-0.067	1.914	"2"
"组织"	0	0	0	2	0	0	0	0.062	0.077	0.418	0.914	0.125	0.116	0.287	-0.028	-0.034	-0.203	0.68	-0.056	-0.052	-0.135	1.188	"4"
"细胞"	0	0	0	4	0	0	0	0.125	0.155	0.835	1.829	0.251	0.231	0.574	-0.055	-0.069	-0.407	1.36	-0.113	-0.104	-0.269	2.377	"4"
"经"	0	0	1	0	0	0	1	0.062	0.077	0.418	0.914	0.125	0.116	0.287	-0.028	-0.034	0.427	-0.531	-0.056	-0.052	0.574	1.702	"7"
"经济"	4	2	28	1	4	3	5	1.465	1.819	9.817	21.487	2.949	2.719	6.745	1.233	0.262	8.053	-10.863	0.468	0.287	-0.5	21.666	"4"
"给"	0	0	1	10	5	2	4	0.686	0.851	4.595	10.058	1.38	1.273	3.157	-0.303	-0.377	-1.405	-0.239	1.983	0.436	0.409	5.152	"5"
"给予"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"给付"	0	0	0	3	0	0	0	0.094	0.116	0.627	1.372	0.188	0.174	0.431	-0.041	-0.051	-0.305	1.02	-0.084	-0.078	-0.202	1.781	"4"
"络"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"绝对"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"统"	0	0	0	0	1	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	-0.265	1.202	-0.026	-0.067	1.693	"5"
"继坎"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"绯闻案"	0	0	0	0	0	0	1	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	-0.265	-0.028	-0.026	0.843	1.295	"7"
"缓冲"	1	0	0	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	1.506	-0.017	-0.102	-0.265	-0.028	-0.026	-0.067	2.011	"1"
"网漏"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"罢工"	0	0	0	0	0	1	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	-0.265	-0.028	1.238	-0.067	1.731	"6"
"罪名"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"罪犯"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"罪状"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"罪行"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"美"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"美元"	0	0	13	0	0	2	0	0.468	0.58	3.133	6.858	0.941	0.868	2.153	-0.206	-0.257	7.008	-3.98	-0.422	0.669	-1.009	13.551	"3"
"群众"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"老年人"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"老百姓"	0	0	0	2	0	0	0	0.062	0.077	0.418	0.914	0.125	0.116	0.287	-0.028	-0.034	-0.203	0.68	-0.056	-0.052	-0.135	1.188	"4"
"而"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"而且"	0	0	0	3	0	0	0	0.094	0.116	0.627	1.372	0.188	0.174	0.431	-0.041	-0.051	-0.305	1.02	-0.084	-0.078	-0.202	1.781	"4"
"而是"	0	0	2	0	0	0	0	0.062	0.077	0.418	0.914	0.125	0.116	0.287	-0.028	-0.034	1.36	-0.531	-0.056	-0.052	-0.135	2.196	"3"
"耕地"	0	0	0	0	0	0	1	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	-0.265	-0.028	-0.026	0.843	1.295	"7"
"联合国教科文组织"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"肖像权"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"肛交"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"肝脏"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"股东"	0	0	0	0	0	0	1	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	-0.265	-0.028	-0.026	0.843	1.295	"7"
"股票"	0	0	1	0	2	0	0	0.094	0.116	0.627	1.372	0.188	0.174	0.431	-0.041	-0.051	0.297	-0.796	1.946	-0.078	-0.202	3.411	"5"
"肥胖"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"肺"	0	0	0	4	0	0	0	0.125	0.155	0.835	1.829	0.251	0.231	0.574	-0.055	-0.069	-0.407	1.36	-0.113	-0.104	-0.269	2.377	"4"
"肺功"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"肺部"	0	0	0	2	1	0	1	0.125	0.155	0.835	1.829	0.251	0.231	0.574	-0.055	-0.069	-0.407	0.207	0.641	-0.104	0.336	1.819	"5"
"背道而驰"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"胎儿"	0	0	0	0	1	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	-0.265	1.202	-0.026	-0.067	1.693	"5"
"能"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"能事"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"能源"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"能量"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
