"cluster"	"sigcol"
"3"	"43"
"3"	"退休"
"3"	"退休"
"3"	"警员"
"1"	"引发"
"1"	"炸弹"
"1"	"菲律宾"
"1"	"前科"
"1"	"经商"
"1"	"腐败"
"1"	"根源"
"3"	"曾庆祥"
"3"	"战备"
"3"	"协会"
"3"	"文礼"
"2"	"众多"
"2"	"退伍"
"2"	"工人员"
"3"	"纪律"
"3"	"对付"
"3"	"死亡"
"3"	"名"
"3"	"回乡"
"3"	"探亲"
"3"	"现役"
"3"	"王某"
"3"	"有钱"
"3"	"驻扎"
"3"	"纳兰霍"
"3"	"身份证"
"3"	"配给卡"
"3"	"军人"
"1"	"4000多"
"1"	"名"
"1"	"背景"
"1"	"组成"
"1"	"军事"
"3"	"朝圣"
"3"	"基金局"
"3"	"合作社"
"3"	"国民"
"3"	"服役"
"3"	"军人"
"3"	"福利"
"3"	"改进"
"3"	"伙食"
"3"	"专人"
"3"	"武器"
"3"	"战备"
"3"	"露出"
"3"	"抗议"
"3"	"扣留"
"3"	"缅甸"
"3"	"政府"
"3"	"否认"
"3"	"美国"
"3"	"指责"
"3"	"苏哈"
"3"	"出身"
"3"	"激"
"3"	"反对"
"3"	"参政"
"3"	"莱士"
"3"	"好了"
"3"	"遇"
"3"	"政府"
"3"	"缅甸"
"3"	"政府"
"3"	"立即"
"1"	"土耳其"
"1"	"塞达特"
"1"	"军车"
"1"	"赶往"
"1"	"途中"
"1"	"翻车"
"1"	"名"
"1"	"遭"
"1"	"挟持"
"1"	"以色列"
"1"	"有"
"1"	"不测"
"1"	"以色列"
"1"	"叙利亚"
"3"	"伪装"
"3"	"战场"
"1"	"891012"
"1"	"两"
"1"	"名"
"1"	"以色列"
"1"	"西岸"
"1"	"遭"
"1"	"巴勒斯坦"
"1"	"杀害"
"1"	"约旦河"
"1"	"西岸"
"1"	"暴民"
"1"	"闯入"
"1"	"雷马拉"
"1"	"名"
"1"	"以色列"
"1"	"凌迟"
"1"	"致死"
"1"	"巴勒斯坦"
"1"	"事件"
"1"	"真主党"
"1"	"绑架"
"1"	"名"
"1"	"以色列"
"1"	"冲突"
"1"	"冲突"
"1"	"造成"
"1"	"两"
"1"	"名"
"1"	"以色列"
"1"	"在"
"1"	"耶"
"1"	"撒"
"1"	"附近"
"1"	"受伤"
"1"	"军"
"1"	"命案"
"1"	"主嫌"
"1"	"郭庆和"
"1"	"八十六"
"1"	"被"
"1"	"执行"
"1"	"清真寺"
"1"	"查哨"
"1"	"以色列"
"1"	"对峙"
"1"	"目击者"
"1"	"士兵"
"1"	"丧生"
"1"	"遭"
"1"	"以色列"
"1"	"开枪"
"1"	"击毙"
"1"	"名"
"1"	"示威"
"1"	"巴勒斯坦"
"1"	"以色列"
"1"	"投掷"
"1"	"石块"
"1"	"色"
"1"	"列"
"1"	"士兵"
"1"	"开火"
"1"	"驻守"
"1"	"加萨"
"1"	"南部"
"1"	"姆"
"1"	"犹太"
"1"	"屯垦区"
"1"	"以色列"
"1"	"开枪"
"1"	"击中"
"1"	"背部"
"1"	"丧生"
"1"	"有"
"1"	"名"
"1"	"运送"
"1"	"检疫区"
"1"	"九百"
"1"	"名"
"1"	"进驻"
"1"	"检疫区"
"1"	"执行"
"1"	"附近"
"1"	"和"
"1"	"犹太"
"1"	"屯垦区"
"1"	"以色列"
"1"	"发生"
"1"	"冲突"
"1"	"遭"
"1"	"射杀"
"1"	"另"
"1"	"有"
"1"	"两"
"1"	"和"
"1"	"两"
"1"	"被"
"1"	"以色列"
"1"	"射"
"1"	"杀"
"1"	"受伤"
"1"	"士兵"
"1"	"有"
"1"	"伤势"
"1"	"交火"
"1"	"另外"
"1"	"两"
"1"	"名"
"1"	"受"
"1"	"伤"
"1"	"名"
"1"	"被"
"1"	"击毙"
"1"	"因"
"1"	"有"
"1"	"名"
"1"	"以色列"
"1"	"和"
"1"	"名"
"1"	"巴勒斯坦人"
"1"	"丧生"
"1"	"冲突"
"1"	"造成"
"1"	"以色列"
"1"	"和"
"1"	"巴勒斯坦"
"1"	"激进"
"1"	"丧生"
"1"	"巴勒斯坦人"
"1"	"攻击"
"1"	"行动"
"1"	"报复"
"1"	"和"
"1"	"平民"
"1"	"致命"
"1"	"攻击"
"1"	"巴勒斯坦"
"1"	"有"
"1"	"部队"
"1"	"担心"
"1"	"无事生非"
"1"	"和"
"1"	"枪"
"1"	"瞄准"
"1"	"部队"
"1"	"勒令"
"1"	"清除"
"3"	"和"
"3"	"退辅会"
"3"	"依据国"
"3"	"军官"
"3"	"服役"
"3"	"荣民"
"3"	"军官"
"1"	"有"
"1"	"十一"
"1"	"名"
"1"	"受伤"
"1"	"民营"
"1"	"NTV"
"1"	"武器"
"1"	"攻击"
"1"	"安全部"
"1"	"队"
"1"	"有"
"1"	"两"
"1"	"名"
"1"	"死亡"
"1"	"另"
"1"	"有"
"1"	"受伤"
"1"	"沈崇"
"1"	"被"
"1"	"美国"
"1"	"强暴"
"1"	"事件"
"1"	"义大利"
"1"	"柯索"
"1"	"夫维"
"1"	"和"
"1"	"部队"
"1"	"罹患"
"1"	"癌症"
"1"	"名"
"1"	"喝醉酒"
"1"	"受"
"1"	"伤"
"1"	"名"
"1"	"组成"
"1"	"部队"
"1"	"受"
"1"	"维"
"1"	"名"
"1"	"义国维"
"1"	"和"
"1"	"病死"
"1"	"名"
"1"	"义国维"
"1"	"和"
"1"	"病死"
"1"	"名"
"1"	"巴尔干半岛"
"1"	"维"
"1"	"和"
"1"	"部队"
"1"	"服役"
"1"	"西班牙"
"1"	"罹患"
"1"	"白血病"
"1"	"北约"
"1"	"国防部"
"1"	"贫"
"1"	"铀弹"
"1"	"造成"
"1"	"感染"
"1"	"白血病"
"1"	"一百多万"
"1"	"守"
"1"	"名"
"1"	"名"
"1"	"被"
"1"	"綑绑"
"1"	"清真寺"
"1"	"大约"
"1"	"名"
"1"	"大部份"
"1"	"和"
"1"	"朝拜"
"3"	"900119"
"3"	"美"
"3"	"猥亵"
"3"	"沖绳"
"3"	"美国"
"3"	"驻军"
"1"	"挖掘"
"1"	"这些"
"1"	"阵亡"
"1"	"获救"
