"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"SumAbsDev"	"LargestDev"
"监狱"	0	0	0	0	1	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	-0.188	-0.095	0.837	-0.031	-0.024	1.26	"5"
"监管"	0	0	0	1	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	-0.188	0.707	-0.068	-0.031	-0.024	1.103	"4"
"盛赞"	1	0	0	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	1.011	-0.04	-0.188	-0.095	-0.068	-0.031	-0.024	1.457	"1"
"目的"	0	0	0	0	2	0	1	0.292	0.261	1.053	0.588	0.437	0.207	0.161	-0.134	-0.119	-0.563	-0.284	1.24	-0.093	0.817	3.25	"5"
"直辖市"	0	0	1	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	0.455	-0.095	-0.068	-0.031	-0.024	0.758	"3"
"相"	0	0	0	2	0	0	0	0.195	0.174	0.702	0.392	0.291	0.138	0.107	-0.089	-0.079	-0.376	1.415	-0.137	-0.062	-0.048	2.206	"4"
"相关"	0	0	2	0	0	1	0	0.292	0.261	1.053	0.588	0.437	0.207	0.161	-0.134	-0.119	0.548	-0.284	-0.205	0.714	-0.072	2.076	"6"
"看"	0	0	0	1	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	-0.188	0.707	-0.068	-0.031	-0.024	1.103	"4"
"着名"	0	0	0	1	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	-0.188	0.707	-0.068	-0.031	-0.024	1.103	"4"
"督察"	0	0	1	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	0.455	-0.095	-0.068	-0.031	-0.024	0.758	"3"
"知名"	0	0	2	0	1	0	0	0.292	0.261	1.053	0.588	0.437	0.207	0.161	-0.134	-0.119	0.548	-0.284	0.424	-0.093	-0.072	1.674	"3"
"知识经济"	0	0	1	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	0.455	-0.095	-0.068	-0.031	-0.024	0.758	"3"
"研"	0	0	1	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	0.455	-0.095	-0.068	-0.031	-0.024	0.758	"3"
"研发者"	0	1	0	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	1.06	-0.188	-0.095	-0.068	-0.031	-0.024	1.511	"2"
"研究会"	0	1	0	0	0	1	0	0.195	0.174	0.702	0.392	0.291	0.138	0.107	-0.089	0.779	-0.376	-0.19	-0.137	0.875	-0.048	2.494	"6"
"研究院"	0	1	0	2	0	0	0	0.292	0.261	1.053	0.588	0.437	0.207	0.161	-0.134	0.622	-0.563	0.999	-0.205	-0.093	-0.072	2.688	"4"
"研讨"	0	1	2	3	0	2	1	0.877	0.783	3.159	1.765	1.311	0.622	0.482	-0.401	0.252	-0.475	0.599	-0.615	0.906	0.408	3.656	"6"
"研讨会"	0	0	5	2	0	4	2	1.267	1.132	4.563	2.55	1.894	0.898	0.697	-0.579	-0.514	0.299	-0.287	-0.889	2.009	0.819	5.396	"6"
"礼堂"	0	1	0	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	1.06	-0.188	-0.095	-0.068	-0.031	-0.024	1.511	"2"
"社"	0	0	1	0	1	0	0	0.195	0.174	0.702	0.392	0.291	0.138	0.107	-0.089	-0.079	0.237	-0.19	0.568	-0.062	-0.048	1.273	"5"
"社会司"	0	0	0	2	0	0	0	0.195	0.174	0.702	0.392	0.291	0.138	0.107	-0.089	-0.079	-0.376	1.415	-0.137	-0.062	-0.048	2.206	"4"
"社科院"	0	0	0	0	1	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	-0.188	-0.095	0.837	-0.031	-0.024	1.26	"5"
"祖国"	0	1	0	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	1.06	-0.188	-0.095	-0.068	-0.031	-0.024	1.511	"2"
"神往"	0	0	0	0	1	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	-0.188	-0.095	0.837	-0.031	-0.024	1.26	"5"
"福利"	0	0	1	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	0.455	-0.095	-0.068	-0.031	-0.024	0.758	"3"
"福华"	0	0	0	1	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	-0.188	0.707	-0.068	-0.031	-0.024	1.103	"4"
"福州市"	0	0	0	0	0	1	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	-0.188	-0.095	-0.068	1.161	-0.024	1.621	"6"
"福布斯"	0	0	0	0	1	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	-0.188	-0.095	0.837	-0.031	-0.024	1.26	"5"
"福建省"	0	0	1	0	0	2	0	0.292	0.261	1.053	0.588	0.437	0.207	0.161	-0.134	-0.119	-0.145	-0.284	-0.205	1.865	-0.072	2.824	"6"
"禹"	0	0	1	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	0.455	-0.095	-0.068	-0.031	-0.024	0.758	"3"
"科协"	0	0	1	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	0.455	-0.095	-0.068	-0.031	-0.024	0.758	"3"
"科委"	0	0	0	1	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	-0.188	0.707	-0.068	-0.031	-0.024	1.103	"4"
"科学园区"	0	0	0	0	0	0	1	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	-0.188	-0.095	-0.068	-0.031	1.271	1.738	"7"
"科技"	0	1	1	9	0	0	0	1.072	0.957	3.861	2.158	1.603	0.76	0.59	-0.49	0.199	-1.223	4.795	-0.752	-0.342	-0.263	8.064	"4"
"秘"	1	0	0	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	1.011	-0.04	-0.188	-0.095	-0.068	-0.031	-0.024	1.457	"1"
"秘书"	0	0	0	1	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	-0.188	0.707	-0.068	-0.031	-0.024	1.103	"4"
"秘书长"	0	0	2	0	0	0	0	0.195	0.174	0.702	0.392	0.291	0.138	0.107	-0.089	-0.079	0.909	-0.19	-0.137	-0.062	-0.048	1.514	"3"
"程思"	0	0	1	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	0.455	-0.095	-0.068	-0.031	-0.024	0.758	"3"
"税法"	0	0	0	0	1	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	-0.188	-0.095	0.837	-0.031	-0.024	1.26	"5"
