"Coll_Word"	"1"	"2"	"exp_1"	"exp_2"	"pbin_1"	"pbin_2"	"SumAbsDev"	"LargestDev"
"Devices"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"ed"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"Ele"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"EM"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"EMC"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"HOPE"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"IA"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"IC"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"IGPS"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"IP"	0	2	0.7	1.3	-0.374	0.374	0.748	"1_&_2"
"lstom"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"MMS"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"OC"	0	2	0.7	1.3	-0.374	0.374	0.748	"1_&_2"
"ok"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"PDA"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"PIU"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"Pratthitney"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"Silentnight"	2	0	0.7	1.3	0.911	-0.911	1.822	"1_&_2"
"SOS"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"SyntheLabo"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"transponder"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"treat-ment"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"VCD"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"x"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"X"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"一亿"	1	1	0.7	1.3	0.238	-0.238	0.476	"1_&_2"
"一成二"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"一样"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"一次性"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"一流"	1	1	0.7	1.3	0.238	-0.238	0.476	"1_&_2"
"一瞬间"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"一经"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"一般"	0	2	0.7	1.3	-0.374	0.374	0.748	"1_&_2"
"三组屋"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"三者"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"上千"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"上扬"	0	2	0.7	1.3	-0.374	0.374	0.748	"1_&_2"
"上涨"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"上网"	1	3	1.401	2.599	-0.25	0.25	0.5	"1_&_2"
"下跌"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"不全"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"不必"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"不懈努力"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"不用"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"不符"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"不论"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"不足"	3	1	1.401	2.599	0.897	-0.897	1.794	"1_&_2"
"不需"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"不须"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"专业"	2	1	1.051	1.949	0.55	-0.55	1.1	"1_&_2"
"专业化"	1	1	0.7	1.3	0.238	-0.238	0.476	"1_&_2"
"专业部"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"专利"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"专用"	0	2	0.7	1.3	-0.374	0.374	0.748	"1_&_2"
"专门"	1	1	0.7	1.3	0.238	-0.238	0.476	"1_&_2"
"且"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"世界级"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"中华门"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"中国军"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"中子"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"中小学"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"为主"	0	3	1.051	1.949	-0.562	0.562	1.124	"1_&_2"
"主站"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"乒乓球"	2	0	0.7	1.3	0.911	-0.911	1.822	"1_&_2"
"乙型"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"争先"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"二千余万"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"二千六百四十"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"互联"	0	3	1.051	1.949	-0.562	0.562	1.124	"1_&_2"
"互联网"	0	2	0.7	1.3	-0.374	0.374	0.748	"1_&_2"
"亚太"	2	0	0.7	1.3	0.911	-0.911	1.822	"1_&_2"
"交付"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"交换机"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"交警"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"交通"	0	5	1.751	3.249	-0.936	0.936	1.872	"1_&_2"
"产"	0	2	0.7	1.3	-0.374	0.374	0.748	"1_&_2"
"产值"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"产品"	4	11	5.253	9.747	-0.454	0.454	0.908	"1_&_2"
"产生"	2	0	0.7	1.3	0.911	-0.911	1.822	"1_&_2"
"亨达"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"享用"	2	0	0.7	1.3	0.911	-0.911	1.822	"1_&_2"
"人事费"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"人力"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"人员"	8	5	4.552	8.448	1.334	-1.334	2.668	"1_&_2"
"人才"	2	0	0.7	1.3	0.911	-0.911	1.822	"1_&_2"
"什么样"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"代工"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"以便"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"以及"	3	11	4.902	9.098	-0.657	0.657	1.314	"1_&_2"
"仪器"	0	11	3.852	7.148	-2.059	2.059	4.118	"1_&_2"
"仪表"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"价格"	2	0	0.7	1.3	0.911	-0.911	1.822	"1_&_2"
"任何"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"企业"	0	12	4.202	7.798	-2.246	2.246	4.492	"1_&_2"
"优化"	0	2	0.7	1.3	-0.374	0.374	0.748	"1_&_2"
"优良"	2	0	0.7	1.3	0.911	-0.911	1.822	"1_&_2"
"优质"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"会所"	2	0	0.7	1.3	0.911	-0.911	1.822	"1_&_2"
"传动"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"传教士"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"传真机"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"传讯"	0	2	0.7	1.3	-0.374	0.374	0.748	"1_&_2"
"传输"	0	2	0.7	1.3	-0.374	0.374	0.748	"1_&_2"
"传输数"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"低廉"	2	0	0.7	1.3	0.911	-0.911	1.822	"1_&_2"
"体"	1	1	0.7	1.3	0.238	-0.238	0.476	"1_&_2"
"体会"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"体温"	2	0	0.7	1.3	0.911	-0.911	1.822	"1_&_2"
"体育"	2	5	2.451	4.549	-0.274	0.274	0.548	"1_&_2"
"体质"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"体验"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"作业"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"作战"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"作收"	0	2	0.7	1.3	-0.374	0.374	0.748	"1_&_2"
"使用"	2	18	7.004	12.996	-1.918	1.918	3.836	"1_&_2"
"使用费"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"供"	2	0	0.7	1.3	0.911	-0.911	1.822	"1_&_2"
"供不应求"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"供应"	0	3	1.051	1.949	-0.562	0.562	1.124	"1_&_2"
"供应品"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"供应商"	0	3	1.051	1.949	-0.562	0.562	1.124	"1_&_2"
"供电"	0	4	1.401	2.599	-0.749	0.749	1.498	"1_&_2"
"依赖"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"依靠"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"侦测到"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"便"	2	0	0.7	1.3	0.911	-0.911	1.822	"1_&_2"
"保健品"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"保养"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"保安"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"保护"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"保障"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"信"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"信号"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"信息"	0	5	1.751	3.249	-0.936	0.936	1.872	"1_&_2"
"信息服务"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"修复"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"借助"	3	1	1.401	2.599	0.897	-0.897	1.794	"1_&_2"
"借重"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"停产"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"健身"	3	0	1.051	1.949	1.367	-1.367	2.734	"1_&_2"
"偷"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"储存"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"傲胜"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"像"	4	1	1.751	3.249	1.267	-1.267	2.534	"1_&_2"
"元件"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"充份"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"充气"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"充足"	0	2	0.7	1.3	-0.374	0.374	0.748	"1_&_2"
"先进"	1	18	6.653	12.347	-2.506	2.506	5.012	"1_&_2"
"光仪"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"光学"	1	1	0.7	1.3	0.238	-0.238	0.476	"1_&_2"
"光盘"	0	2	0.7	1.3	-0.374	0.374	0.748	"1_&_2"
"光纤"	0	2	0.7	1.3	-0.374	0.374	0.748	"1_&_2"
"免水洗"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"免税"	0	2	0.7	1.3	-0.374	0.374	0.748	"1_&_2"
"免费"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"入场"	2	0	0.7	1.3	0.911	-0.911	1.822	"1_&_2"
"入手"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"全套"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"全部"	1	1	0.7	1.3	0.238	-0.238	0.476	"1_&_2"
"公共汽车站"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"公司"	5	1	2.101	3.899	1.65	-1.65	3.3	"1_&_2"
"公用"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"共享"	0	3	1.051	1.949	-0.562	0.562	1.124	"1_&_2"
"关键"	1	4	1.751	3.249	-0.368	0.368	0.736	"1_&_2"
"兴致勃勃"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"具备"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"养护工"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"内"	6	1	2.451	4.549	2.044	-2.044	4.088	"1_&_2"
"内外"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"内部人员"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"军用"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"农产品"	0	2	0.7	1.3	-0.374	0.374	0.748	"1_&_2"
"农副产品"	0	2	0.7	1.3	-0.374	0.374	0.748	"1_&_2"
"冲印"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"冶炼"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"冷"	0	3	1.051	1.949	-0.562	0.562	1.124	"1_&_2"
"冷气"	0	2	0.7	1.3	-0.374	0.374	0.748	"1_&_2"
"冻干"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"净化器"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"准确"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"准确度"	3	0	1.051	1.949	1.367	-1.367	2.734	"1_&_2"
"减免"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"减少"	1	1	0.7	1.3	0.238	-0.238	0.476	"1_&_2"
"出口"	0	6	2.101	3.899	-1.123	1.123	2.246	"1_&_2"
"分支"	0	2	0.7	1.3	-0.374	0.374	0.748	"1_&_2"
"分析"	0	2	0.7	1.3	-0.374	0.374	0.748	"1_&_2"
"分析师"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"分配器"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"分队"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"创作"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"初期"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"利用"	4	8	4.202	7.798	-0.234	0.234	0.468	"1_&_2"
"利用率"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"制"	1	2	1.051	1.949	-0.144	0.144	0.288	"1_&_2"
"制作"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"制假"	0	2	0.7	1.3	-0.374	0.374	0.748	"1_&_2"
"制程"	0	3	1.051	1.949	-0.562	0.562	1.124	"1_&_2"
"制药"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"制造"	2	6	2.801	5.199	-0.369	0.369	0.738	"1_&_2"
"制造业"	0	3	1.051	1.949	-0.562	0.562	1.124	"1_&_2"
"制造商"	0	8	2.801	5.199	-1.498	1.498	2.996	"1_&_2"
"刺激"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"副总经理"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"力声"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"办公"	1	1	0.7	1.3	0.238	-0.238	0.476	"1_&_2"
"办公室"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"功能"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"加上"	1	2	1.051	1.949	-0.144	0.144	0.288	"1_&_2"
"加以"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"加工"	0	2	0.7	1.3	-0.374	0.374	0.748	"1_&_2"
"加工业"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"加快"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"加紧"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"加设"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"动力"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"动手脚"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"劳务"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"勇气"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"勒斯坦"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"勘测"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"包括"	6	8	4.902	9.098	0.444	-0.444	0.888	"1_&_2"
"化"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"化学"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"化学品"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"化工"	0	4	1.401	2.599	-0.749	0.749	1.498	"1_&_2"
"北方"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"北海港"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"匹配"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"区公所"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"区域"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"医"	1	2	1.051	1.949	-0.144	0.144	0.288	"1_&_2"
"医务"	2	0	0.7	1.3	0.911	-0.911	1.822	"1_&_2"
"医学会"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"医护"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"医生"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"医用"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"医疗"	23	4	9.455	17.545	6.946	-6.946	13.892	"1_&_2"
"医疗队"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"医药"	3	1	1.401	2.599	0.897	-0.897	1.794	"1_&_2"
"医院"	6	6	4.202	7.798	0.671	-0.671	1.342	"1_&_2"
"十日"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"升"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"半导体"	0	2	0.7	1.3	-0.374	0.374	0.748	"1_&_2"
"协同"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"单"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"卖给"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"南亚"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"卡拉"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"卫星"	1	3	1.401	2.599	-0.25	0.25	0.5	"1_&_2"
"卫浴"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"卫生"	5	0	1.751	3.249	2.279	-2.279	4.558	"1_&_2"
"卫生部"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"印刷"	2	0	0.7	1.3	0.911	-0.911	1.822	"1_&_2"
"厂"	0	3	1.051	1.949	-0.562	0.562	1.124	"1_&_2"
"厂区"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"厂商"	0	3	1.051	1.949	-0.562	0.562	1.124	"1_&_2"
"厂房"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"压舱"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"厕位"	0	2	0.7	1.3	-0.374	0.374	0.748	"1_&_2"
"厕所"	2	0	0.7	1.3	0.911	-0.911	1.822	"1_&_2"
"原料"	0	4	1.401	2.599	-0.749	0.749	1.498	"1_&_2"
"原有"	1	1	0.7	1.3	0.238	-0.238	0.476	"1_&_2"
"原材料"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"厨房"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"及"	10	44	18.91	35.09	-2.204	2.204	4.408	"1_&_2"
"及人员"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"及其"	0	4	1.401	2.599	-0.749	0.749	1.498	"1_&_2"
"反"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"发动机"	0	2	0.7	1.3	-0.374	0.374	0.748	"1_&_2"
"发射"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"发射机"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"发报"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"发明"	2	0	0.7	1.3	0.911	-0.911	1.822	"1_&_2"
"发电"	0	4	1.401	2.599	-0.749	0.749	1.498	"1_&_2"
"发送"	1	1	0.7	1.3	0.238	-0.238	0.476	"1_&_2"
"取暖"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"受损"	3	0	1.051	1.949	1.367	-1.367	2.734	"1_&_2"
"变电"	0	2	0.7	1.3	-0.374	0.374	0.748	"1_&_2"
"另外"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"可"	8	4	4.202	7.798	1.592	-1.592	3.184	"1_&_2"
"可以"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"可携式"	1	1	0.7	1.3	0.238	-0.238	0.476	"1_&_2"
"可疑"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"可行性"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"台"	0	8	2.801	5.199	-1.498	1.498	2.996	"1_&_2"
"台康"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"台电"	0	2	0.7	1.3	-0.374	0.374	0.748	"1_&_2"
"台银"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"号志"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"合同"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"合影"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"合格"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"合理性"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"合约"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"吋"	2	1	1.051	1.949	0.55	-0.55	1.1	"1_&_2"
"同位素"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"同样"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"名副其实"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"后方"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"后期"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"吨"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"含量"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"听障"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"启动"	1	2	1.051	1.949	-0.144	0.144	0.288	"1_&_2"
"启用"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"启闭机"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"吴大卫"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"吴江"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"呈现"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"呼吸"	2	0	0.7	1.3	0.911	-0.911	1.822	"1_&_2"
"和"	37	67	36.419	67.581	0.311	-0.311	0.622	"1_&_2"
"和光盘"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"哄"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"唐纳"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"售价"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"商"	0	2	0.7	1.3	-0.374	0.374	0.748	"1_&_2"
