"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"exp_8"	"exp_9"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"pbin_8"	"pbin_9"	"SumAbsDev"	"LargestDev"
"专访"	1	0	0	0	0	0	0	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	1.287	-0.045	-0.15	-0.012	-0.056	-0.011	-0.105	-0.01	-0.068	1.744	"1"
"专题"	0	0	1	0	0	0	0	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	0.534	-0.012	-0.056	-0.011	-0.105	-0.01	-0.068	0.864	"3"
"世界村"	0	0	0	0	0	0	1	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	-0.15	-0.012	-0.056	-0.011	0.666	-0.01	-0.068	1.041	"7"
"东兴市"	0	0	1	0	0	0	0	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	0.534	-0.012	-0.056	-0.011	-0.105	-0.01	-0.068	0.864	"3"
"东北亚"	0	0	0	0	0	0	2	0	0	0.103	0.199	0.585	0.054	0.242	0.052	0.431	0.044	0.29	-0.046	-0.091	-0.3	-0.024	-0.112	-0.023	1.333	-0.019	-0.136	2.084	"7"
"东周"	0	1	0	0	0	0	0	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	1.003	-0.15	-0.012	-0.056	-0.011	-0.105	-0.01	-0.068	1.438	"2"
"东汉"	0	0	0	0	0	0	0	0	1	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	-0.15	-0.012	-0.056	-0.011	-0.105	-0.01	0.839	1.251	"9"
"两汉"	0	1	0	0	0	0	0	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	1.003	-0.15	-0.012	-0.056	-0.011	-0.105	-0.01	-0.068	1.438	"2"
"严词"	0	0	1	0	0	0	0	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	0.534	-0.012	-0.056	-0.011	-0.105	-0.01	-0.068	0.864	"3"
"个"	0	1	8	0	5	0	3	3	12	1.653	3.178	9.356	0.867	3.868	0.835	6.901	0.706	4.638	-0.737	-0.798	-0.421	-0.382	0.464	-0.367	-1.198	1.48	2.947	8.794	"9"
"个人电脑"	0	0	1	0	0	0	0	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	0.534	-0.012	-0.056	-0.011	-0.105	-0.01	-0.068	0.864	"3"
"中俄"	0	0	0	0	0	0	0	0	3	0.155	0.298	0.877	0.081	0.363	0.078	0.647	0.066	0.435	-0.069	-0.136	-0.451	-0.036	-0.168	-0.034	-0.316	-0.029	2.516	3.755	"9"
"中华民族"	0	0	0	0	0	0	1	0	1	0.103	0.199	0.585	0.054	0.242	0.052	0.431	0.044	0.29	-0.046	-0.091	-0.3	-0.024	-0.112	-0.023	0.415	-0.019	0.57	1.6	"9"
"中原"	0	2	0	0	0	0	0	0	0	0.103	0.199	0.585	0.054	0.242	0.052	0.431	0.044	0.29	-0.046	2.006	-0.3	-0.024	-0.112	-0.023	-0.211	-0.019	-0.136	2.877	"2"
"中国人"	0	0	0	0	0	1	0	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	-0.15	-0.012	-0.056	1.584	-0.105	-0.01	-0.068	2.053	"6"
"中年"	0	0	1	0	0	0	0	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	0.534	-0.012	-0.056	-0.011	-0.105	-0.01	-0.068	0.864	"3"
"中科院"	0	0	0	0	1	0	0	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	-0.15	-0.012	0.918	-0.011	-0.105	-0.01	-0.068	1.342	"5"
"中美关系"	0	0	1	0	0	0	1	0	0	0.103	0.199	0.585	0.054	0.242	0.052	0.431	0.044	0.29	-0.046	-0.091	0.302	-0.024	-0.112	-0.023	0.415	-0.019	-0.136	1.168	"7"
"丰碑"	1	0	0	0	0	0	0	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	1.287	-0.045	-0.15	-0.012	-0.056	-0.011	-0.105	-0.01	-0.068	1.744	"1"
"临"	1	0	0	0	0	0	2	0	0	0.155	0.298	0.877	0.081	0.363	0.078	0.647	0.066	0.435	0.832	-0.136	-0.451	-0.036	-0.168	-0.034	0.923	-0.029	-0.204	2.813	"7"
"临时政"	0	0	1	0	0	0	0	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	0.534	-0.012	-0.056	-0.011	-0.105	-0.01	-0.068	0.864	"3"
"为主体"	0	0	0	0	0	0	1	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	-0.15	-0.012	-0.056	-0.011	0.666	-0.01	-0.068	1.041	"7"
"为题"	0	0	0	0	0	0	1	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	-0.15	-0.012	-0.056	-0.011	0.666	-0.01	-0.068	1.041	"7"
"主义"	0	0	0	0	2	0	0	0	1	0.155	0.298	0.877	0.081	0.363	0.078	0.647	0.066	0.435	-0.069	-0.136	-0.451	-0.036	1.395	-0.034	-0.316	-0.029	0.426	2.892	"5"
"主政"	0	0	2	0	0	0	0	0	0	0.103	0.199	0.585	0.054	0.242	0.052	0.431	0.044	0.29	-0.046	-0.091	1.068	-0.024	-0.112	-0.023	-0.211	-0.019	-0.136	1.73	"3"
"主旋律"	0	0	0	0	1	0	0	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	-0.15	-0.012	0.918	-0.011	-0.105	-0.01	-0.068	1.342	"5"
"主题"	0	0	0	0	0	0	2	0	0	0.103	0.199	0.585	0.054	0.242	0.052	0.431	0.044	0.29	-0.046	-0.091	-0.3	-0.024	-0.112	-0.023	1.333	-0.019	-0.136	2.084	"7"
"久远"	0	0	1	0	0	0	0	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	0.534	-0.012	-0.056	-0.011	-0.105	-0.01	-0.068	0.864	"3"
"之"	0	0	1	0	0	0	0	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	0.534	-0.012	-0.056	-0.011	-0.105	-0.01	-0.068	0.864	"3"
"之交"	0	0	0	0	0	0	0	0	1	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	-0.15	-0.012	-0.056	-0.011	-0.105	-0.01	0.839	1.251	"9"
"书面"	0	0	1	0	0	0	0	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	0.534	-0.012	-0.056	-0.011	-0.105	-0.01	-0.068	0.864	"3"
"买方市场"	0	0	1	0	0	0	0	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	0.534	-0.012	-0.056	-0.011	-0.105	-0.01	-0.068	0.864	"3"
