"Coll_Word"	"1"	"2"	"3"	"4"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"SumAbsDev"	"LargestDev"
"颁奖"	44	0	2	0	4.262	16.985	5.323	19.431	42.528	-9.206	-1.063	-10.965	63.762	"1"
"颁授"	0	1	0	2	0.278	1.108	0.347	1.267	-0.127	-0.16	-0.16	0.415	0.862	"4"
"颁赠"	0	1	0	0	0.093	0.369	0.116	0.422	-0.042	0.433	-0.053	-0.238	0.766	"2"
"预定"	1	0	0	0	0.093	0.369	0.116	0.422	1.033	-0.2	-0.053	-0.238	1.524	"1"
"预演"	0	1	0	0	0.093	0.369	0.116	0.422	-0.042	0.433	-0.053	-0.238	0.766	"2"
"预计"	0	1	0	0	0.093	0.369	0.116	0.422	-0.042	0.433	-0.053	-0.238	0.766	"2"
"领"	1	0	0	0	0.093	0.369	0.116	0.422	1.033	-0.2	-0.053	-0.238	1.524	"1"
"领取"	0	2	0	0	0.185	0.738	0.231	0.845	-0.084	0.865	-0.107	-0.477	1.533	"2"
"领导人"	0	1	0	0	0.093	0.369	0.116	0.422	-0.042	0.433	-0.053	-0.238	0.766	"2"
"风俗"	0	0	0	1	0.093	0.369	0.116	0.422	-0.042	-0.2	-0.053	0.374	0.669	"4"
"风骚"	1	0	0	0	0.093	0.369	0.116	0.422	1.033	-0.2	-0.053	-0.238	1.524	"1"
"飘扬"	0	0	0	1	0.093	0.369	0.116	0.422	-0.042	-0.2	-0.053	0.374	0.669	"4"
"飞机翼"	0	1	0	0	0.093	0.369	0.116	0.422	-0.042	0.433	-0.053	-0.238	0.766	"2"
"飞碟"	0	1	0	0	0.093	0.369	0.116	0.422	-0.042	0.433	-0.053	-0.238	0.766	"2"
"饭店"	1	1	3	0	0.463	1.846	0.579	2.112	0.415	-0.407	1.888	-1.192	3.902	"3"
"馆"	0	0	0	1	0.093	0.369	0.116	0.422	-0.042	-0.2	-0.053	0.374	0.669	"4"
"首度"	0	1	0	0	0.093	0.369	0.116	0.422	-0.042	0.433	-0.053	-0.238	0.766	"2"
"首播"	0	1	0	0	0.093	0.369	0.116	0.422	-0.042	0.433	-0.053	-0.238	0.766	"2"
"首日封"	0	0	0	2	0.185	0.738	0.231	0.845	-0.084	-0.4	-0.107	0.749	1.34	"4"
"首映"	0	0	1	0	0.093	0.369	0.116	0.422	-0.042	-0.2	0.937	-0.238	1.417	"3"
"首演"	0	1	0	0	0.093	0.369	0.116	0.422	-0.042	0.433	-0.053	-0.238	0.766	"2"
"首航"	0	2	0	2	0.371	1.477	0.463	1.69	-0.169	0.327	-0.214	0.249	0.959	"2"
"首长"	0	1	0	0	0.093	0.369	0.116	0.422	-0.042	0.433	-0.053	-0.238	0.766	"2"
"香米"	0	1	0	0	0.093	0.369	0.116	0.422	-0.042	0.433	-0.053	-0.238	0.766	"2"
"马万祺"	0	0	0	1	0.093	0.369	0.116	0.422	-0.042	-0.2	-0.053	0.374	0.669	"4"
"马凯"	0	0	0	1	0.093	0.369	0.116	0.422	-0.042	-0.2	-0.053	0.374	0.669	"4"
"马英九"	1	3	0	0	0.371	1.477	0.463	1.69	0.492	0.837	-0.214	-0.954	2.497	"4"
"驻"	0	0	0	1	0.093	0.369	0.116	0.422	-0.042	-0.2	-0.053	0.374	0.669	"4"
"驻华"	0	0	2	0	0.185	0.738	0.231	0.845	-0.084	-0.4	1.873	-0.477	2.834	"3"
"高峰会"	0	0	0	1	0.093	0.369	0.116	0.422	-0.042	-0.2	-0.053	0.374	0.669	"4"
"高峰期"	0	1	0	0	0.093	0.369	0.116	0.422	-0.042	0.433	-0.053	-0.238	0.766	"2"
"高阶"	0	1	0	0	0.093	0.369	0.116	0.422	-0.042	0.433	-0.053	-0.238	0.766	"2"
"鲍尔"	0	0	0	1	0.093	0.369	0.116	0.422	-0.042	-0.2	-0.053	0.374	0.669	"4"
"鸿禧"	0	1	0	0	0.093	0.369	0.116	0.422	-0.042	0.433	-0.053	-0.238	0.766	"2"
"麦汀"	0	0	2	0	0.185	0.738	0.231	0.845	-0.084	-0.4	1.873	-0.477	2.834	"3"
"黄根"	0	0	1	0	0.093	0.369	0.116	0.422	-0.042	-0.2	0.937	-0.238	1.417	"3"
"黄根成"	0	0	1	0	0.093	0.369	0.116	0.422	-0.042	-0.2	0.937	-0.238	1.417	"3"
"默哀"	0	0	0	1	0.093	0.369	0.116	0.422	-0.042	-0.2	-0.053	0.374	0.669	"4"
"齐雅娜"	0	1	0	0	0.093	0.369	0.116	0.422	-0.042	0.433	-0.053	-0.238	0.766	"2"
