"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"SumAbsDev"	"LargestDev"
"正义"	0	0	0	0	0	1	0.046	0.229	0.148	0.048	0.192	0.338	-0.02	-0.113	-0.069	-0.021	-0.093	0.472	0.788	"6"
"武"	1	0	1	0	0	0	0.092	0.457	0.295	0.096	0.384	0.675	1.048	-0.226	0.563	-0.043	-0.185	-0.358	2.423	"1"
"武装"	0	10	2	0	0	0	0.55	2.745	1.771	0.579	2.304	4.052	-0.245	4.789	0.262	-0.258	-1.111	-2.147	8.812	"2"
"死守"	0	0	1	0	0	0	0.046	0.229	0.148	0.048	0.192	0.338	-0.02	-0.113	0.831	-0.021	-0.093	-0.179	1.257	"3"
"死硬"	0	0	0	1	0	0	0.046	0.229	0.148	0.048	0.192	0.338	-0.02	-0.113	-0.069	1.317	-0.093	-0.179	1.791	"4"
"残余"	0	6	0	0	0	0	0.275	1.372	0.885	0.289	1.152	2.026	-0.122	3.844	-0.416	-0.129	-0.555	-1.073	6.139	"2"
"殖民"	0	0	0	0	0	1	0.046	0.229	0.148	0.048	0.192	0.338	-0.02	-0.113	-0.069	-0.021	-0.093	0.472	0.788	"6"
"毫无"	0	1	0	0	0	0	0.046	0.229	0.148	0.048	0.192	0.338	-0.02	0.641	-0.069	-0.021	-0.093	-0.179	1.023	"2"
"民主"	0	0	0	0	0	7	0.321	1.601	1.033	0.338	1.344	2.363	-0.143	-0.79	-0.485	-0.15	-0.648	3.301	5.517	"6"
"民主化"	0	1	0	0	0	1	0.092	0.457	0.295	0.096	0.384	0.675	-0.041	0.392	-0.139	-0.043	-0.185	0.251	1.051	"2"
"民党"	0	1	0	0	0	0	0.046	0.229	0.148	0.048	0.192	0.338	-0.02	0.641	-0.069	-0.021	-0.093	-0.179	1.023	"2"
"民意"	0	0	0	0	2	0	0.092	0.457	0.295	0.096	0.384	0.675	-0.041	-0.226	-0.139	-0.043	1.434	-0.358	2.241	"5"
"民族"	0	2	1	0	0	0	0.138	0.686	0.443	0.145	0.576	1.013	-0.061	0.876	0.42	-0.064	-0.278	-0.537	2.236	"2"
"民进"	0	0	0	0	1	0	0.046	0.229	0.148	0.048	0.192	0.338	-0.02	-0.113	-0.069	-0.021	0.717	-0.179	1.119	"5"
"民进党"	0	0	0	0	1	0	0.046	0.229	0.148	0.048	0.192	0.338	-0.02	-0.113	-0.069	-0.021	0.717	-0.179	1.119	"5"
"民间"	0	0	0	1	0	9	0.458	2.287	1.476	0.482	1.92	3.376	-0.204	-1.128	-0.693	0.409	-0.926	3.401	6.761	"6"
"求"	0	1	0	0	0	0	0.046	0.229	0.148	0.048	0.192	0.338	-0.02	0.641	-0.069	-0.021	-0.093	-0.179	1.023	"2"
"求得"	0	0	0	0	0	1	0.046	0.229	0.148	0.048	0.192	0.338	-0.02	-0.113	-0.069	-0.021	-0.093	0.472	0.788	"6"
"江"	0	0	0	0	0	1	0.046	0.229	0.148	0.048	0.192	0.338	-0.02	-0.113	-0.069	-0.021	-0.093	0.472	0.788	"6"
"江泽民"	0	0	0	0	1	0	0.046	0.229	0.148	0.048	0.192	0.338	-0.02	-0.113	-0.069	-0.021	0.717	-0.179	1.119	"5"
"沙汗尤尼斯"	0	1	0	0	0	0	0.046	0.229	0.148	0.048	0.192	0.338	-0.02	0.641	-0.069	-0.021	-0.093	-0.179	1.023	"2"
"没有"	0	0	1	0	1	0	0.092	0.457	0.295	0.096	0.384	0.675	-0.041	-0.226	0.563	-0.043	0.46	-0.358	1.691	"3"
"河北省"	0	0	1	0	0	0	0.046	0.229	0.148	0.048	0.192	0.338	-0.02	-0.113	0.831	-0.021	-0.093	-0.179	1.257	"3"
"油污"	0	0	1	0	0	0	0.046	0.229	0.148	0.048	0.192	0.338	-0.02	-0.113	0.831	-0.021	-0.093	-0.179	1.257	"3"
"治安"	0	0	0	0	0	1	0.046	0.229	0.148	0.048	0.192	0.338	-0.02	-0.113	-0.069	-0.021	-0.093	0.472	0.788	"6"
"治污"	0	0	1	0	0	0	0.046	0.229	0.148	0.048	0.192	0.338	-0.02	-0.113	0.831	-0.021	-0.093	-0.179	1.257	"3"
"法轮"	0	1	0	0	0	0	0.046	0.229	0.148	0.048	0.192	0.338	-0.02	0.641	-0.069	-0.021	-0.093	-0.179	1.023	"2"
