"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"SumAbsDev"	"LargestDev"
"公投"	0	0	0	1	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	0.299	-0.02	-0.018	0.544	"4"
"公正"	0	0	0	2	0	0	0.102	0.623	0.097	1.006	0.092	0.08	-0.046	-0.324	-0.043	0.597	-0.041	-0.035	1.086	"4"
"公积金"	0	1	0	0	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	0.507	-0.022	-0.304	-0.02	-0.018	0.894	"2"
"六四"	0	0	1	0	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	1.312	-0.304	-0.02	-0.018	1.839	"3"
"六成八"	0	1	0	0	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	0.507	-0.022	-0.304	-0.02	-0.018	0.894	"2"
"共同"	0	0	0	6	0	0	0.307	1.868	0.292	3.017	0.275	0.24	-0.137	-0.972	-0.13	1.791	-0.122	-0.106	3.258	"4"
"共识"	0	0	0	4	0	0	0.205	1.246	0.195	2.012	0.183	0.16	-0.091	-0.648	-0.087	1.194	-0.081	-0.071	2.172	"4"
"关切"	0	0	0	1	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	0.299	-0.02	-0.018	0.544	"4"
"关机"	0	0	0	0	0	1	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	-0.304	-0.02	1.398	1.929	"6"
"关系"	0	2	0	6	1	2	0.563	3.425	0.536	5.532	0.504	0.44	-0.251	-0.546	-0.239	0.294	0.395	1.16	2.885	"6"
"关系人"	0	1	0	0	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	0.507	-0.022	-0.304	-0.02	-0.018	0.894	"2"
"兴建"	1	1	0	1	0	0	0.154	0.934	0.146	1.509	0.137	0.12	0.836	0.172	-0.065	-0.305	-0.061	-0.053	1.492	"1"
"兴建案"	0	0	0	2	0	0	0.102	0.623	0.097	1.006	0.092	0.08	-0.046	-0.324	-0.043	0.597	-0.041	-0.035	1.086	"4"
"其实"	0	2	0	0	0	0	0.102	0.623	0.097	1.006	0.092	0.08	-0.046	1.013	-0.043	-0.607	-0.041	-0.035	1.785	"2"
"兼顾"	0	0	1	1	0	0	0.102	0.623	0.097	1.006	0.092	0.08	-0.046	-0.324	1.022	-0.127	-0.041	-0.035	1.595	"3"
"内外"	0	0	0	1	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	0.299	-0.02	-0.018	0.544	"4"
"内容"	0	2	0	1	0	0	0.154	0.934	0.146	1.509	0.137	0.12	-0.068	0.637	-0.065	-0.305	-0.061	-0.053	1.189	"2"
"内部"	0	1	0	1	0	0	0.102	0.623	0.097	1.006	0.092	0.08	-0.046	0.279	-0.043	-0.127	-0.041	-0.035	0.571	"2"
"内阁"	0	2	0	0	0	0	0.102	0.623	0.097	1.006	0.092	0.08	-0.046	1.013	-0.043	-0.607	-0.041	-0.035	1.785	"2"
"军售"	0	0	0	1	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	0.299	-0.02	-0.018	0.544	"4"
"决心"	0	0	0	1	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	0.299	-0.02	-0.018	0.544	"4"
"决策"	0	1	0	2	0	0	0.154	0.934	0.146	1.509	0.137	0.12	-0.068	0.172	-0.065	0.297	-0.061	-0.053	0.716	"4"
"决议案"	0	0	0	1	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	0.299	-0.02	-0.018	0.544	"4"
"几"	0	1	0	0	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	0.507	-0.022	-0.304	-0.02	-0.018	0.894	"2"
"出于"	0	0	0	1	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	0.299	-0.02	-0.018	0.544	"4"
"出门"	0	1	0	0	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	0.507	-0.022	-0.304	-0.02	-0.018	0.894	"2"
"分享"	0	1	0	0	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	0.507	-0.022	-0.304	-0.02	-0.018	0.894	"2"
"分析"	0	2	0	0	0	0	0.102	0.623	0.097	1.006	0.092	0.08	-0.046	1.013	-0.043	-0.607	-0.041	-0.035	1.785	"2"
"分析员"	0	0	1	0	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	1.312	-0.304	-0.02	-0.018	1.839	"3"
"分析师"	0	2	0	0	0	0	0.102	0.623	0.097	1.006	0.092	0.08	-0.046	1.013	-0.043	-0.607	-0.041	-0.035	1.785	"2"
"分歧"	1	0	0	3	0	0	0.205	1.246	0.195	2.012	0.183	0.16	0.722	-0.648	-0.087	0.499	-0.081	-0.071	2.108	"1"
"分裂"	0	0	1	1	0	0	0.102	0.623	0.097	1.006	0.092	0.08	-0.046	-0.324	1.022	-0.127	-0.041	-0.035	1.595	"3"
"刘明祖"	0	0	0	1	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	0.299	-0.02	-0.018	0.544	"4"
"创造性"	0	1	0	0	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	0.507	-0.022	-0.304	-0.02	-0.018	0.894	"2"
"判断"	0	0	0	1	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	0.299	-0.02	-0.018	0.544	"4"
"利益"	0	4	0	6	0	0	0.512	3.114	0.487	5.029	0.458	0.4	-0.228	0.419	-0.217	0.416	-0.204	-0.177	1.661	"2"
"别人"	0	1	0	0	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	0.507	-0.022	-0.304	-0.02	-0.018	0.894	"2"
