"Coll_Word"	"1"	"2"	"exp_1"	"exp_2"	"pbin_1"	"pbin_2"	"SumAbsDev"	"LargestDev"
"供应"	1	1	0.269	1.731	0.6	-0.6	1.2	"1_&_2"
"供应商"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"供水"	1	2	0.404	2.596	0.454	-0.454	0.908	"1_&_2"
"供电"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"供货"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"依赖"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"侦测"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"侦测器"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"保健"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"保护"	1	12	1.749	11.251	-0.336	0.336	0.672	"1_&_2"
"保护区"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"保障"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"保鲜"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"信众"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"信号"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"信息"	2	4	0.807	5.193	0.726	-0.726	1.452	"1_&_2"
"信息化"	1	0	0.135	0.865	0.871	-0.871	1.742	"1_&_2"
"信息技术"	1	4	0.673	4.327	0.289	-0.289	0.578	"1_&_2"
"修复"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"修建"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"俱乐部"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"值班"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"停车"	0	3	0.404	2.596	-0.188	0.188	0.376	"1_&_2"
"停车塔"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"健全"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"健身"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"健身室"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"偷拍"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"偷盗"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"储存"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"催化"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"像"	0	3	0.404	2.596	-0.188	0.188	0.376	"1_&_2"
"允许"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"充实"	2	0	0.269	1.731	1.742	-1.742	3.484	"1_&_2"
"充足"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"先进"	0	20	2.69	17.31	-1.255	1.255	2.51	"1_&_2"
"光"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"光碟"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"光纤"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"免税"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"入门费"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"全人员"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"全部"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"公共"	2	10	1.614	10.386	0.306	-0.306	0.612	"1_&_2"
"公厕"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"公园"	0	4	0.538	3.462	-0.251	0.251	0.502	"1_&_2"
"公寓"	1	1	0.269	1.731	0.6	-0.6	1.2	"1_&_2"
"公电"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"公顷"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"共"	2	1	0.404	2.596	1.306	-1.306	2.612	"1_&_2"
"关卡"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"兴建"	2	3	0.673	4.327	0.863	-0.863	1.726	"1_&_2"
"其他"	0	4	0.538	3.462	-0.251	0.251	0.502	"1_&_2"
"其它"	1	2	0.404	2.596	0.454	-0.454	0.908	"1_&_2"
"具备"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"内"	2	9	1.48	9.52	0.35	-0.35	0.7	"1_&_2"
"内需"	2	0	0.269	1.731	1.742	-1.742	3.484	"1_&_2"
"军事"	0	6	0.807	5.193	-0.376	0.376	0.752	"1_&_2"
"农业"	1	0	0.135	0.865	0.871	-0.871	1.742	"1_&_2"
"农产品"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"农副产品"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"农地"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"农村"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"农林"	1	0	0.135	0.865	0.871	-0.871	1.742	"1_&_2"
"农田"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"冰箱"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"冲洗"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"冷冻"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"冷却"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"冷气"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"净化器"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"准许"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"减压"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"减少"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"几许"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"出口"	0	5	0.673	4.327	-0.314	0.314	0.628	"1_&_2"
"出售"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"击毁"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"分会"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"分布"	1	1	0.269	1.731	0.6	-0.6	1.2	"1_&_2"
"分销"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"创作"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"初"	1	0	0.135	0.865	0.871	-0.871	1.742	"1_&_2"
"初六"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"利用"	0	5	0.673	4.327	-0.314	0.314	0.628	"1_&_2"
"利用网"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"别墅"	0	3	0.404	2.596	-0.188	0.188	0.376	"1_&_2"
"到二"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"到位"	0	4	0.538	3.462	-0.251	0.251	0.502	"1_&_2"
"制品"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"制造"	0	5	0.673	4.327	-0.314	0.314	0.628	"1_&_2"
"制造业"	0	9	1.211	7.789	-0.565	0.565	1.13	"1_&_2"
"制造商"	0	3	0.404	2.596	-0.188	0.188	0.376	"1_&_2"
"刻"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"前端"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"前设"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"办公"	0	3	0.404	2.596	-0.188	0.188	0.376	"1_&_2"
"办公楼"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"办厂"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"功能"	0	3	0.404	2.596	-0.188	0.188	0.376	"1_&_2"
"加大"	2	0	0.269	1.731	1.742	-1.742	3.484	"1_&_2"
"加工"	1	11	1.614	10.386	-0.296	0.296	0.592	"1_&_2"
"加强"	2	5	0.942	6.058	0.619	-0.619	1.238	"1_&_2"
"加快"	1	4	0.673	4.327	0.289	-0.289	0.578	"1_&_2"
"加快城"	1	0	0.135	0.865	0.871	-0.871	1.742	"1_&_2"
"加装"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"动"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"动态"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"动用"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"勘测"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"包括"	2	14	2.152	13.848	-0.199	0.199	0.398	"1_&_2"
"包机"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"化工"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"北方"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"医护"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"医生"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"医疗"	1	19	2.69	17.31	-0.641	0.641	1.282	"1_&_2"
"医药"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"医院"	0	8	1.076	6.924	-0.502	0.502	1.004	"1_&_2"
"升级"	2	0	0.269	1.731	1.742	-1.742	3.484	"1_&_2"
"半导体"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"华为"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"华航"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"协作"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"单位"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"单向"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"南极"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"卡拉"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"卡片"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"卡车"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"卢纳尔迪"	1	0	0.135	0.865	0.871	-0.871	1.742	"1_&_2"
"卫星"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"卫星电视"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"卫浴"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"卫生"	0	7	0.942	6.058	-0.439	0.439	0.878	"1_&_2"
"卫生部"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"卸载船"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"厂商"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"厂家"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"厂房"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"厚度"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"原子弹"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"原子能"	0	3	0.404	2.596	-0.188	0.188	0.376	"1_&_2"
"原料"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"原有"	0	3	0.404	2.596	-0.188	0.188	0.376	"1_&_2"
"原油"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"参展商"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"参观"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"及"	1	52	7.13	45.87	-2.36	2.36	4.72	"1_&_2"
"及其"	0	3	0.404	2.596	-0.188	0.188	0.376	"1_&_2"
"及格"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"发动机"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"发射机"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"发展"	2	2	0.538	3.462	1.045	-1.045	2.09	"1_&_2"
"发电"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"发电厂"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"取样器"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"受损"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"变电"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"口岸"	1	0	0.135	0.865	0.871	-0.871	1.742	"1_&_2"
"口袋"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"另外"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"可"	0	7	0.942	6.058	-0.439	0.439	0.878	"1_&_2"
"可以"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"可靠"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"台"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"台电"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"司机"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"合办"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"合同"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"合格"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"同传"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"同位素"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"同样"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"同等"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"后勤"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"吨"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"吴日良"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"吸引人才"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"吸泥船"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"吸纳"	1	0	0.135	0.865	0.871	-0.871	1.742	"1_&_2"
"告示牌"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"周期"	1	0	0.135	0.865	0.871	-0.871	1.742	"1_&_2"
"周边"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"呼叫"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"和"	21	92	15.201	97.799	1.117	-1.117	2.234	"1_&_2"
"和平号"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"和数"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"品"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"商业"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"商业区"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"商住区"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"商务"	1	1	0.269	1.731	0.6	-0.6	1.2	"1_&_2"
"商品"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"善"	1	1	0.269	1.731	0.6	-0.6	1.2	"1_&_2"
"器"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"器件"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"器材"	0	3	0.404	2.596	-0.188	0.188	0.376	"1_&_2"
"园区"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"固定"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"国产"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"国债"	2	0	0.269	1.731	1.742	-1.742	3.484	"1_&_2"
"国外"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"图书馆"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"图威萨一"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"图纸"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"土壤"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"在内"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"在线"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"地下"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"地板"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"地球"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"地铁线"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"地面"	0	5	0.673	4.327	-0.314	0.314	0.628	"1_&_2"
"场地"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"场所"	0	4	0.538	3.462	-0.251	0.251	0.502	"1_&_2"
"场站"	0	3	0.404	2.596	-0.188	0.188	0.376	"1_&_2"
"场馆"	1	0	0.135	0.865	0.871	-0.871	1.742	"1_&_2"
"坏"	1	0	0.135	0.865	0.871	-0.871	1.742	"1_&_2"
"垃圾"	0	4	0.538	3.462	-0.251	0.251	0.502	"1_&_2"
"城乡"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"城区"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"城市"	3	4	0.942	6.058	1.252	-1.252	2.504	"1_&_2"
"城镇"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"域内"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"培训"	1	2	0.404	2.596	0.454	-0.454	0.908	"1_&_2"
"基"	2	2	0.538	3.462	1.045	-1.045	2.09	"1_&_2"
