"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"SumAbsDev"	"LargestDev"
"侵害"	0	0	0	0	1	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	-0.206	-0.056	0.951	1.405	"5"
"侵扰"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"侵权"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"便"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"促请"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"俄罗斯人"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"保守派"	0	0	2	0	0	0.54	0.237	0.755	0.243	0.224	-0.273	-0.11	0.846	-0.113	-0.103	1.445	"3"
"保留"	0	0	0	1	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	-0.206	0.915	-0.052	1.365	"4"
"信乐团"	0	1	0	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	0.925	-0.206	-0.056	-0.052	1.376	"2"
"信件"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"信合社"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"信誉"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"信赖"	0	0	0	3	0	0.809	0.356	1.133	0.365	0.336	-0.41	-0.165	-0.618	2.744	-0.155	4.092	"4"
"俱"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"假使"	0	1	0	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	0.925	-0.206	-0.056	-0.052	1.376	"2"
"做成"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"停刊"	0	0	2	0	0	0.54	0.237	0.755	0.243	0.224	-0.273	-0.11	0.846	-0.113	-0.103	1.445	"3"
"停电"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"偶然"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"充斥"	0	0	1	0	1	0.54	0.237	0.755	0.243	0.224	-0.273	-0.11	0.213	-0.113	0.675	1.384	"5"
"先生"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"光"	0	0	0	1	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	-0.206	0.915	-0.052	1.365	"4"
"克罗斯"	0	1	0	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	0.925	-0.206	-0.056	-0.052	1.376	"2"
"免费"	0	1	4	0	1	1.619	0.712	2.266	0.73	0.672	-0.819	0.274	0.824	-0.338	0.293	2.548	"3"
"党报"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"入围"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"全国性"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"全文"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"全版"	0	0	1	0	1	0.54	0.237	0.755	0.243	0.224	-0.273	-0.11	0.213	-0.113	0.675	1.384	"5"
"全美"	0	0	0	0	1	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	-0.206	-0.056	0.951	1.405	"5"
"公众"	0	1	1	0	0	0.54	0.237	0.755	0.243	0.224	-0.273	0.651	0.213	-0.113	-0.103	1.353	"2"
"公开"	0	0	2	0	0	0.54	0.237	0.755	0.243	0.224	-0.273	-0.11	0.846	-0.113	-0.103	1.445	"3"
"六家"	0	0	0	1	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	-0.206	0.915	-0.052	1.365	"4"
"六旬"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"养活"	0	0	0	0	1	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	-0.206	-0.056	0.951	1.405	"5"
"兼容"	0	0	0	1	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	-0.206	0.915	-0.052	1.365	"4"
"兽医"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"内容"	0	1	1	0	2	1.079	0.475	1.511	0.487	0.448	-0.546	0.401	-0.289	-0.225	1.19	2.651	"5"
