"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"SumAbsDev"	"LargestDev"
"威伊河"	0	0	0	1	0	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	1.198	-0.3	1.703	"4"
"为期"	0	1	0	0	2	0.425	0.426	0.462	0.19	1.497	-0.199	0.434	-0.218	-0.085	0.302	1.238	"2"
"违反"	0	0	1	0	4	0.708	0.71	0.771	0.317	2.495	-0.331	-0.332	0.246	-0.142	0.73	1.781	"5"
"维护"	0	0	1	0	0	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	0.812	-0.028	-0.3	1.272	"3"
"维权"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"维也纳"	0	0	1	0	0	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	0.812	-0.028	-0.3	1.272	"3"
"委内瑞拉"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"委托"	0	1	0	0	0	0.142	0.142	0.154	0.063	0.499	-0.066	0.848	-0.073	-0.028	-0.3	1.315	"2"
"未"	3	0	0	1	7	1.557	1.561	1.695	0.697	5.49	0.708	-0.731	-0.8	0.29	0.565	3.094	"3"
"尉健行"	1	0	0	0	0	0.142	0.142	0.154	0.063	0.499	0.849	-0.066	-0.073	-0.028	-0.3	1.316	"1"
"文化"	0	0	1	0	1	0.283	0.284	0.308	0.127	0.998	-0.133	-0.133	0.546	-0.057	0.125	0.994	"3"
"文件"	0	1	0	0	2	0.425	0.426	0.462	0.19	1.497	-0.199	0.434	-0.218	-0.085	0.302	1.238	"2"
"文字"	0	0	0	0	3	0.425	0.426	0.462	0.19	1.497	-0.199	-0.199	-0.218	-0.085	0.906	1.607	"5"
"稳定"	0	0	3	0	0	0.425	0.426	0.462	0.19	1.497	-0.199	-0.199	2.436	-0.085	-0.901	3.82	"3"
"乌克兰"	0	3	2	0	1	0.849	0.851	0.925	0.38	2.994	-0.398	1.388	0.632	-0.171	-0.958	3.547	"2"
"乌兰巴托"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"污染物"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"无偿"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"无法"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"无关"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"武"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"武器"	0	0	9	0	2	1.557	1.561	1.695	0.697	5.49	-0.729	-0.731	5.698	-0.313	-1.479	8.95	"3"
"务必"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"西电"	0	0	0	1	0	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	1.198	-0.3	1.703	"4"
"吸烟"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"希拉克"	1	0	0	0	0	0.142	0.142	0.154	0.063	0.499	0.849	-0.066	-0.073	-0.028	-0.3	1.316	"1"
"系列"	0	0	0	0	2	0.283	0.284	0.308	0.127	0.998	-0.133	-0.133	-0.145	-0.057	0.604	1.072	"5"
"夏姆钖克"	1	0	0	0	0	0.142	0.142	0.154	0.063	0.499	0.849	-0.066	-0.073	-0.028	-0.3	1.316	"1"
"先前"	0	1	0	0	0	0.142	0.142	0.154	0.063	0.499	-0.066	0.848	-0.073	-0.028	-0.3	1.315	"2"
"现有"	0	0	0	1	1	0.283	0.284	0.308	0.127	0.998	-0.133	-0.133	-0.145	0.911	0.125	1.447	"4"
"限定"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"限制"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"宪法"	0	0	0	0	2	0.283	0.284	0.308	0.127	0.998	-0.133	-0.133	-0.145	-0.057	0.604	1.072	"5"
"相关"	0	0	1	0	0	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	0.812	-0.028	-0.3	1.272	"3"
"相互"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"相信"	1	0	0	0	0	0.142	0.142	0.154	0.063	0.499	0.849	-0.066	-0.073	-0.028	-0.3	1.316	"1"
"香港岛"	0	0	1	0	0	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	0.812	-0.028	-0.3	1.272	"3"
"香烟"	0	0	0	0	2	0.283	0.284	0.308	0.127	0.998	-0.133	-0.133	-0.145	-0.057	0.604	1.072	"5"
"项"	11	7	1	3	27	6.935	6.953	7.552	3.104	24.455	1.109	0.256	-2.565	-0.205	0.553	4.688	"3"
"项目"	0	3	0	2	3	1.132	1.135	1.233	0.507	3.993	-0.53	1.036	-0.582	1.06	-0.437	3.645	"4"
"销毁"	0	0	1	0	0	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	0.812	-0.028	-0.3	1.272	"3"
"小组"	0	0	1	0	0	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	0.812	-0.028	-0.3	1.272	"3"
"效"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"效力"	0	0	0	1	0	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	1.198	-0.3	1.703	"4"
"协"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"协定"	0	5	1	0	6	1.698	1.703	1.85	0.76	5.989	-0.795	1.719	-0.369	-0.341	0.214	3.438	"2"
"协商"	2	0	0	0	1	0.425	0.426	0.462	0.19	1.497	1.264	-0.199	-0.218	-0.085	-0.3	2.066	"1"
"协商会"	0	0	1	0	0	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	0.812	-0.028	-0.3	1.272	"3"
"协议"	5	11	0	5	16	5.237	5.25	5.703	2.344	18.466	-0.243	1.944	-2.69	1.084	-0.586	6.547	"3"
"协助"	0	1	0	0	2	0.425	0.426	0.462	0.19	1.497	-0.199	0.434	-0.218	-0.085	0.302	1.238	"2"
"携手"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"写下来"	1	0	0	0	0	0.142	0.142	0.154	0.063	0.499	0.849	-0.066	-0.073	-0.028	-0.3	1.316	"1"
"卸任"	0	0	0	0	2	0.283	0.284	0.308	0.127	0.998	-0.133	-0.133	-0.145	-0.057	0.604	1.072	"5"
"谢尔"	1	0	0	0	0	0.142	0.142	0.154	0.063	0.499	0.849	-0.066	-0.073	-0.028	-0.3	1.316	"1"
"新"	0	0	0	0	2	0.283	0.284	0.308	0.127	0.998	-0.133	-0.133	-0.145	-0.057	0.604	1.072	"5"
"新股"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"新华社"	6	0	0	1	4	1.557	1.561	1.695	0.697	5.49	2.709	-0.731	-0.8	0.29	-0.558	5.088	"1"
"新加"	0	1	0	0	0	0.142	0.142	0.154	0.063	0.499	-0.066	0.848	-0.073	-0.028	-0.3	1.315	"2"
"新加坡"	0	0	0	0	6	0.849	0.851	0.925	0.38	2.994	-0.398	-0.399	-0.436	-0.171	1.811	3.215	"5"
"新美"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"新台币"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"新闻"	0	0	0	0	12	1.698	1.703	1.85	0.76	5.989	-0.795	-0.798	-0.872	-0.341	3.622	6.428	"5"
"新元"	0	0	0	0	2	0.283	0.284	0.308	0.127	0.998	-0.133	-0.133	-0.145	-0.057	0.604	1.072	"5"
"薪金"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"信守"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"星期二"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"刑事"	0	1	0	0	1	0.283	0.284	0.308	0.127	0.998	-0.133	0.579	-0.145	-0.057	0.125	1.039	"2"
"形式"	0	0	1	0	0	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	0.812	-0.028	-0.3	1.272	"3"
"兴建"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"修订"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"修改"	0	0	2	0	1	0.425	0.426	0.462	0.19	1.497	-0.199	-0.199	1.194	-0.085	-0.3	1.977	"3"
"修正"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"选择权"	0	0	0	0	2	0.283	0.284	0.308	0.127	0.998	-0.133	-0.133	-0.145	-0.057	0.604	1.072	"5"
"削减"	0	0	5	0	0	0.708	0.71	0.771	0.317	2.495	-0.331	-0.332	4.061	-0.142	-1.501	6.367	"3"
"押金"	0	0	0	1	0	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	1.198	-0.3	1.703	"4"
"芽笼"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"亚齐"	1	0	0	0	2	0.425	0.426	0.462	0.19	1.497	0.435	-0.199	-0.218	-0.085	0.302	1.239	"1"
"亚太司"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"亚细安"	0	1	0	0	5	0.849	0.851	0.925	0.38	2.994	-0.398	0.221	-0.436	-0.171	0.965	2.191	"5"
"烟害"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"烟台"	0	0	0	1	0	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	1.198	-0.3	1.703	"4"
"延缓"	0	1	0	0	0	0.142	0.142	0.154	0.063	0.499	-0.066	0.848	-0.073	-0.028	-0.3	1.315	"2"
"延长"	0	1	0	0	1	0.283	0.284	0.308	0.127	0.998	-0.133	0.579	-0.145	-0.057	0.125	1.039	"2"
"严格"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"盐资"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"眼见"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"验收"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"验证"	0	1	0	0	0	0.142	0.142	0.154	0.063	0.499	-0.066	0.848	-0.073	-0.028	-0.3	1.315	"2"
"要么"	2	0	0	0	0	0.283	0.284	0.308	0.127	0.998	1.698	-0.133	-0.145	-0.057	-0.6	2.633	"1"
"要求"	0	0	1	0	2	0.425	0.426	0.462	0.19	1.497	-0.199	-0.199	0.404	-0.085	0.302	1.189	"3"
"耶路撒冷"	1	0	0	0	0	0.142	0.142	0.154	0.063	0.499	0.849	-0.066	-0.073	-0.028	-0.3	1.316	"1"
"业已"	1	0	0	0	0	0.142	0.142	0.154	0.063	0.499	0.849	-0.066	-0.073	-0.028	-0.3	1.316	"1"
"一部分"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"一九九八年"	0	0	0	1	0	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	1.198	-0.3	1.703	"4"
"一九九二"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"一九九九年"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"一九九六年"	1	0	0	0	0	0.142	0.142	0.154	0.063	0.499	0.849	-0.066	-0.073	-0.028	-0.3	1.316	"1"
"一九九五年"	0	2	0	0	0	0.283	0.284	0.308	0.127	0.998	-0.133	1.696	-0.145	-0.057	-0.6	2.631	"2"
"一刻"	1	0	0	0	0	0.142	0.142	0.154	0.063	0.499	0.849	-0.066	-0.073	-0.028	-0.3	1.316	"1"
"一口"	0	0	0	1	0	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	1.198	-0.3	1.703	"4"
"一体"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"一亿零五百万"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"一致"	2	1	0	0	0	0.425	0.426	0.462	0.19	1.497	1.264	0.434	-0.218	-0.085	-0.901	2.902	"1"
"伊方"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"伊朗"	0	1	4	0	1	0.849	0.851	0.925	0.38	2.994	-0.398	0.221	2.186	-0.171	-0.958	3.934	"3"
"伊万诺夫"	1	0	0	0	0	0.142	0.142	0.154	0.063	0.499	0.849	-0.066	-0.073	-0.028	-0.3	1.316	"1"
"依"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"依据"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"依照"	0	0	0	1	1	0.283	0.284	0.308	0.127	0.998	-0.133	-0.133	-0.145	0.911	0.125	1.447	"4"
"仪式"	0	2	0	0	2	0.566	0.568	0.617	0.253	1.996	-0.265	1.004	-0.291	-0.114	0.164	1.838	"2"
"宜"	1	0	0	0	0	0.142	0.142	0.154	0.063	0.499	0.849	-0.066	-0.073	-0.028	-0.3	1.316	"1"
"遗弃"	0	0	2	0	0	0.283	0.284	0.308	0.127	0.998	-0.133	-0.133	1.624	-0.057	-0.6	2.547	"3"
"以"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"以防"	1	0	0	0	0	0.142	0.142	0.154	0.063	0.499	0.849	-0.066	-0.073	-0.028	-0.3	1.316	"1"
"以及"	0	0	0	0	3	0.425	0.426	0.462	0.19	1.497	-0.199	-0.199	-0.218	-0.085	0.906	1.607	"5"
"以色列"	1	0	0	1	7	1.274	1.277	1.387	0.57	4.492	-0.201	-0.598	-0.654	0.351	1.051	2.855	"5"
"以外"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"义务"	0	0	0	1	1	0.283	0.284	0.308	0.127	0.998	-0.133	-0.133	-0.145	0.911	0.125	1.447	"4"
"议"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"议程"	1	0	0	0	0	0.142	0.142	0.154	0.063	0.499	0.849	-0.066	-0.073	-0.028	-0.3	1.316	"1"
"议定"	0	0	1	0	0	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	0.812	-0.028	-0.3	1.272	"3"
"议定书"	0	0	3	0	0	0.425	0.426	0.462	0.19	1.497	-0.199	-0.199	2.436	-0.085	-0.901	3.82	"3"
"议会"	0	0	2	0	0	0.283	0.284	0.308	0.127	0.998	-0.133	-0.133	1.624	-0.057	-0.6	2.547	"3"
"意见书"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"意向"	0	1	0	0	0	0.142	0.142	0.154	0.063	0.499	-0.066	0.848	-0.073	-0.028	-0.3	1.315	"2"
"意义"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"殷琪"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
