"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"SumAbsDev"	"LargestDev"
"二十九日"	0	0	0	0	1	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	-0.184	-0.024	0.907	1.366	"5"
"二十八日"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"二日"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"二零三零年"	0	1	0	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	0.426	-0.184	-0.024	-0.057	0.738	"2"
"云南"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"互联"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"互联网"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"些"	0	1	0	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	0.426	-0.184	-0.024	-0.057	0.738	"2"
"亟"	0	0	0	1	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	-0.184	1.275	-0.057	1.767	"4"
"交投"	0	2	0	0	0	0.206	0.749	0.691	0.106	0.248	-0.094	0.853	-0.368	-0.047	-0.115	1.477	"2"
"交换"	0	1	1	0	0	0.206	0.749	0.691	0.106	0.248	-0.094	0.215	0.243	-0.047	-0.115	0.714	"3"
"交易市"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"交流"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"交通部"	0	1	0	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	0.426	-0.184	-0.024	-0.057	0.738	"2"
"产品"	0	0	6	0	0	0.617	2.248	2.074	0.318	0.743	-0.283	-1.223	2.768	-0.142	-0.345	4.761	"3"
"亲口"	0	1	0	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	0.426	-0.184	-0.024	-0.057	0.738	"2"
"人员"	0	2	0	0	0	0.206	0.749	0.691	0.106	0.248	-0.094	0.853	-0.368	-0.047	-0.115	1.477	"2"
"人士"	0	8	1	0	1	1.028	3.746	3.456	0.53	1.239	-0.471	2.108	-1.044	-0.237	-0.192	4.052	"2"
"人心"	0	1	1	0	0	0.206	0.749	0.691	0.106	0.248	-0.094	0.215	0.243	-0.047	-0.115	0.714	"3"
"人民币"	0	0	2	0	0	0.206	0.749	0.691	0.106	0.248	-0.094	-0.408	0.923	-0.047	-0.115	1.587	"3"
"人民日报"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"人物"	0	1	0	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	0.426	-0.184	-0.024	-0.057	0.738	"2"
"今天"	0	1	25	1	1	2.878	10.49	9.678	1.485	3.47	-1.319	-4.459	8.545	-0.253	-0.913	15.489	"3"
"今日"	0	0	18	0	0	1.85	6.743	6.221	0.955	2.23	-0.848	-3.67	8.305	-0.426	-1.034	14.283	"3"
"今晚"	0	0	0	2	0	0.206	0.749	0.691	0.106	0.248	-0.094	-0.408	-0.368	2.551	-0.115	3.536	"4"
"从业员"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"从事"	0	1	1	0	0	0.206	0.749	0.691	0.106	0.248	-0.094	0.215	0.243	-0.047	-0.115	0.714	"3"
"他人"	0	2	0	0	0	0.206	0.749	0.691	0.106	0.248	-0.094	0.853	-0.368	-0.047	-0.115	1.477	"2"
"令"	0	1	0	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	0.426	-0.184	-0.024	-0.057	0.738	"2"
"以及"	0	2	0	0	0	0.206	0.749	0.691	0.106	0.248	-0.094	0.853	-0.368	-0.047	-0.115	1.477	"2"
"以来"	0	0	1	1	0	0.206	0.749	0.691	0.106	0.248	-0.094	-0.408	0.243	0.986	-0.115	1.846	"4"
"以色列"	0	1	0	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	0.426	-0.184	-0.024	-0.057	0.738	"2"
"任何"	0	1	0	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	0.426	-0.184	-0.024	-0.057	0.738	"2"
"伊"	0	4	0	0	0	0.411	1.499	1.383	0.212	0.496	-0.188	1.706	-0.737	-0.095	-0.23	2.956	"2"
"伊万诺夫"	0	0	0	0	1	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	-0.184	-0.024	0.907	1.366	"5"
"伊战"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"伊拉克"	3	8	0	0	1	1.233	4.496	4.148	0.637	1.487	0.928	1.412	-2.21	-0.284	-0.259	5.093	"3"
