"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"SumAbsDev"	"LargestDev"
"蜕变"	0	0	1	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	0.712	-0.058	-0.143	1.128	"3"
"血腥"	0	0	0	0	1	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	-0.094	-0.058	0.551	0.918	"5"
"补"	0	0	1	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	0.712	-0.058	-0.143	1.128	"3"
"西周"	0	0	1	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	0.712	-0.058	-0.143	1.128	"3"
"西岭"	0	0	1	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	0.712	-0.058	-0.143	1.128	"3"
"观念"	0	1	0	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	0.426	-0.094	-0.058	-0.143	0.732	"2"
"规划"	0	2	0	1	0	0.074	1.124	0.582	0.376	0.844	-0.033	0.5	-0.281	0.481	-0.43	1.725	"2"
"解放"	0	1	0	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	0.426	-0.094	-0.058	-0.143	0.732	"2"
"警方人"	0	0	0	1	0	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	-0.094	0.902	-0.143	1.354	"4"
"计划"	0	2	0	3	0	0.123	1.874	0.97	0.626	1.407	-0.054	0.209	-0.468	1.792	-0.717	3.24	"4"
"计程车"	0	0	0	0	1	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	-0.094	-0.058	0.551	0.918	"5"
"议"	0	0	0	0	1	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	-0.094	-0.058	0.551	0.918	"5"
"记载"	0	1	0	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	0.426	-0.094	-0.058	-0.143	0.732	"2"
"许志安"	0	1	0	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	0.426	-0.094	-0.058	-0.143	0.732	"2"
"论坛"	0	0	0	0	2	0.049	0.749	0.388	0.251	0.563	-0.022	-0.408	-0.187	-0.116	1.102	1.835	"5"
"论断"	0	1	0	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	0.426	-0.094	-0.058	-0.143	0.732	"2"
"访"	0	0	0	0	3	0.074	1.124	0.582	0.376	0.844	-0.033	-0.612	-0.281	-0.174	1.652	2.752	"5"
