"Coll_Word"	"1"	"2"	"3"	"4"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"SumAbsDev"	"LargestDev"
"台湾"	0	0	0	3	0.425	0.138	0.419	2.018	-0.199	-0.061	-0.196	0.516	0.972	"4"
"台湾人"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"台灯光"	0	0	1	0	0.142	0.046	0.14	0.673	-0.066	-0.02	0.855	-0.485	1.426	"3"
"台独"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"台策"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"叶尔钦"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"吃素"	0	0	0	2	0.283	0.092	0.279	1.345	-0.133	-0.041	-0.131	0.344	0.649	"4"
"合资企业"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"同情"	0	0	0	2	0.283	0.092	0.279	1.345	-0.133	-0.041	-0.131	0.344	0.649	"4"
"同意"	0	0	0	2	0.283	0.092	0.279	1.345	-0.133	-0.041	-0.131	0.344	0.649	"4"
"同步"	0	0	0	2	0.283	0.092	0.279	1.345	-0.133	-0.041	-0.131	0.344	0.649	"4"
"名册"	0	0	1	0	0.142	0.046	0.14	0.673	-0.066	-0.02	0.855	-0.485	1.426	"3"
"后"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"后果"	0	1	0	0	0.142	0.046	0.14	0.673	-0.066	1.338	-0.065	-0.485	1.954	"2"
"吕福源"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"否则"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"含量"	0	0	1	0	0.142	0.046	0.14	0.673	-0.066	-0.02	0.855	-0.485	1.426	"3"
"启动"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"呈现"	0	0	1	1	0.283	0.092	0.279	1.345	-0.133	-0.041	0.585	-0.262	1.021	"3"
"呈现出"	0	0	0	2	0.283	0.092	0.279	1.345	-0.133	-0.041	-0.131	0.344	0.649	"4"
"呼吁"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"命运"	0	0	0	3	0.425	0.138	0.419	2.018	-0.199	-0.061	-0.196	0.516	0.972	"4"
"和音色"	0	0	1	0	0.142	0.046	0.14	0.673	-0.066	-0.02	0.855	-0.485	1.426	"3"
"品味"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"响应"	0	1	0	0	0.142	0.046	0.14	0.673	-0.066	1.338	-0.065	-0.485	1.954	"2"
