"Coll_Word"	"1"	"2"	"exp_1"	"exp_2"	"pbin_1"	"pbin_2"	"SumAbsDev"	"LargestDev"
"上述"	1	1	1.086	0.914	-0.152	0.152	0.304	"1_&_2"
"上面"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"下"	1	14	8.142	6.858	-3.824	3.824	7.648	"1_&_2"
"下半年"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"下单"	1	1	1.086	0.914	-0.152	0.152	0.304	"1_&_2"
"下滑"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"下跌"	1	5	3.257	2.743	-1.129	1.129	2.258	"1_&_2"
"不"	6	33	21.168	17.832	-6.227	6.227	12.454	"1_&_2"
"不佳"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"不利"	0	8	4.342	3.658	-2.719	2.719	5.438	"1_&_2"
"不及"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"不变"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"不只"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"不可"	0	3	1.628	1.372	-1.02	1.02	2.04	"1_&_2"
"不可或缺"	0	2	1.086	0.914	-0.68	0.68	1.36	"1_&_2"
"不同"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"不宜"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"不应该"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"不易"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"不确定性"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"不能不"	1	1	1.086	0.914	-0.152	0.152	0.304	"1_&_2"
"不良贷款"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"与否"	1	1	1.086	0.914	-0.152	0.152	0.304	"1_&_2"
"与此同时"	2	0	1.086	0.914	0.531	-0.531	1.062	"1_&_2"
"且"	2	0	1.086	0.914	0.531	-0.531	1.062	"1_&_2"
"世局"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"世界贸易组织"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"丙酮"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"业绩"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"东南亚"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"东拼西凑"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"严格"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"个别"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"中"	4	1	2.714	2.286	0.61	-0.61	1.22	"1_&_2"
"中国"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"中油"	2	0	1.086	0.914	0.531	-0.531	1.062	"1_&_2"
"中等"	0	2	1.086	0.914	-0.68	0.68	1.36	"1_&_2"
"中美关系"	0	2	1.086	0.914	-0.68	0.68	1.36	"1_&_2"
"中药"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"丰富"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"临界"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"为"	5	0	2.714	2.286	1.327	-1.327	2.654	"1_&_2"
"为主"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"主因"	1	2	1.628	1.372	-0.361	0.361	0.722	"1_&_2"
"主控"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"主要"	6	23	15.74	13.26	-3.635	3.635	7.27	"1_&_2"
"举例"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"之外"	2	0	1.086	0.914	0.531	-0.531	1.062	"1_&_2"
"乐观"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"乔治亚州"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"乙烯"	2	0	1.086	0.914	0.531	-0.531	1.062	"1_&_2"
"也许"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"书店"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"买盘"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"乳酸"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"了水"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"二手"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"五○%"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"五分之一"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"亚硝基"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"交给"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"产品"	5	0	2.714	2.286	1.327	-1.327	2.654	"1_&_2"
"产地"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"产生"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"产能"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"产销"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"人世间"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"人力"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"人参"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"人工"	2	0	1.086	0.914	0.531	-0.531	1.062	"1_&_2"
"人种"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"介绍"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"他国家"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"代表人"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"以上"	0	2	1.086	0.914	-0.68	0.68	1.36	"1_&_2"
"以及"	5	0	2.714	2.286	1.327	-1.327	2.654	"1_&_2"
"以致"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"以讹传讹"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"价格"	4	3	3.799	3.201	0.227	-0.227	0.454	"1_&_2"
"份"	2	0	1.086	0.914	0.531	-0.531	1.062	"1_&_2"
"仿佛"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"企业"	4	0	2.171	1.829	1.062	-1.062	2.124	"1_&_2"
"优点"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"优质"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"传染"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"低"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"低廉"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"低落"	0	2	1.086	0.914	-0.68	0.68	1.36	"1_&_2"
"低迷"	0	2	1.086	0.914	-0.68	0.68	1.36	"1_&_2"
"体"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"体质"	0	2	1.086	0.914	-0.68	0.68	1.36	"1_&_2"
"作为"	4	1	2.714	2.286	0.61	-0.61	1.22	"1_&_2"
"作用"	2	4	3.257	2.743	-0.573	0.573	1.146	"1_&_2"
"使得"	1	1	1.086	0.914	-0.152	0.152	0.304	"1_&_2"
"使用"	6	0	3.257	2.743	1.592	-1.592	3.184	"1_&_2"
"例如"	2	1	1.628	1.372	0.249	-0.249	0.498	"1_&_2"
"供应"	2	0	1.086	0.914	0.531	-0.531	1.062	"1_&_2"
"供应商"	2	0	1.086	0.914	0.531	-0.531	1.062	"1_&_2"
"供过于求"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"依然"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"依赖"	2	0	1.086	0.914	0.531	-0.531	1.062	"1_&_2"
"侵蚀"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"促使"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"保健品"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"保守"	0	2	1.086	0.914	-0.68	0.68	1.36	"1_&_2"
"保湿"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"信息"	2	0	1.086	0.914	0.531	-0.531	1.062	"1_&_2"
"信用"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"信箱"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"修"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"修补"	2	0	1.086	0.914	0.531	-0.531	1.062	"1_&_2"
"值得"	0	2	1.086	0.914	-0.68	0.68	1.36	"1_&_2"
"偏头痛"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"做法"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"健康"	0	5	2.714	2.286	-1.699	1.699	3.398	"1_&_2"
"偶然"	0	2	1.086	0.914	-0.68	0.68	1.36	"1_&_2"
"储氢"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"催化"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"催化剂"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"僵化"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"元"	0	2	1.086	0.914	-0.68	0.68	1.36	"1_&_2"
"元件"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"充斥"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"先天"	0	2	1.086	0.914	-0.68	0.68	1.36	"1_&_2"
"光"	4	0	2.171	1.829	1.062	-1.062	2.124	"1_&_2"
"光导"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"光电"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"光电子"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"光阻剂"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"克服"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"入流"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"全球"	0	3	1.628	1.372	-1.02	1.02	2.04	"1_&_2"
"全部"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"公升"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"六千多"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"共通"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"关键"	2	7	4.885	4.115	-1.264	1.264	2.528	"1_&_2"
"其"	2	0	1.086	0.914	0.531	-0.531	1.062	"1_&_2"
"其一"	1	1	1.086	0.914	-0.152	0.152	0.304	"1_&_2"
"其他"	3	11	7.599	6.401	-1.88	1.88	3.76	"1_&_2"
"其它"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"其次"	1	2	1.628	1.372	-0.361	0.361	0.722	"1_&_2"
"具有"	3	0	1.628	1.372	0.796	-0.796	1.592	"1_&_2"
"内"	1	1	1.086	0.914	-0.152	0.152	0.304	"1_&_2"
"内因"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"内在"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"内外"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"内部"	0	4	2.171	1.829	-1.359	1.359	2.718	"1_&_2"
"册"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"军事"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"农产品"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"冯沪祥"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"冰箱"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"冲击"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"冲动"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"冲印店"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"决不会"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"决定"	4	3	3.799	3.201	0.227	-0.227	0.454	"1_&_2"
"决定性"	1	1	1.086	0.914	-0.152	0.152	0.304	"1_&_2"
"决胜"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"冶炼"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"冷却"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"准"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"准备金率"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"减低"	2	0	1.086	0.914	0.531	-0.531	1.062	"1_&_2"
"减弱"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"减息"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"减缓"	1	1	1.086	0.914	-0.152	0.152	0.304	"1_&_2"
"出于"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"出口"	4	6	5.428	4.572	-0.557	0.557	1.114	"1_&_2"
"出口国"	2	0	1.086	0.914	0.531	-0.531	1.062	"1_&_2"
"出口税"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"击中"	2	0	1.086	0.914	0.531	-0.531	1.062	"1_&_2"
"分"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"分为"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"分析"	0	2	1.086	0.914	-0.68	0.68	1.36	"1_&_2"
"分析仪"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"切"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"刘云山"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"创作"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"判断"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"利"	0	3	1.628	1.372	-1.02	1.02	2.04	"1_&_2"
"利多"	0	3	1.628	1.372	-1.02	1.02	2.04	"1_&_2"
"利润"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"利率"	0	2	1.086	0.914	-0.68	0.68	1.36	"1_&_2"
"利用"	3	0	1.628	1.372	0.796	-0.796	1.592	"1_&_2"
"利空"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"利空出尽"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"别的"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"制"	4	0	2.171	1.829	1.062	-1.062	2.124	"1_&_2"
"制假"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"制品"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"制度性"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"制成"	2	0	1.086	0.914	0.531	-0.531	1.062	"1_&_2"
"制成品"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"制约"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"制造"	5	0	2.714	2.286	1.327	-1.327	2.654	"1_&_2"
"制造业"	3	0	1.628	1.372	0.796	-0.796	1.592	"1_&_2"
"制造出"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"制造成品"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"刺激"	0	4	2.171	1.829	-1.359	1.359	2.718	"1_&_2"
"刺绣"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"剂"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"前述"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"剔除"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"剥离"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"剧毒"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"剩余"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"副产品"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"功"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"功能"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"加上"	0	5	2.714	2.286	-1.699	1.699	3.398	"1_&_2"
"加之"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"加工"	5	0	2.714	2.286	1.327	-1.327	2.654	"1_&_2"
"加工业"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"劣质"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"包"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"包含"	2	0	1.086	0.914	0.531	-0.531	1.062	"1_&_2"
"包括"	2	9	5.97	5.03	-1.777	1.777	3.554	"1_&_2"
"化"	1	2	1.628	1.372	-0.361	0.361	0.722	"1_&_2"
"化学"	6	0	3.257	2.743	1.592	-1.592	3.184	"1_&_2"
"化工"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"化肥"	2	0	1.086	0.914	0.531	-0.531	1.062	"1_&_2"
"北韩"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"升学"	0	2	1.086	0.914	-0.68	0.68	1.36	"1_&_2"
"升等"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"午盘"	0	2	1.086	0.914	-0.68	0.68	1.36	"1_&_2"
"半导体"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"半成品"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"协力"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"单"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"单一"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"单价"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"单单"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"占有"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"危险"	1	1	1.086	0.914	-0.152	0.152	0.304	"1_&_2"
"厂商"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"厂家"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"厂房"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"历史"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"压延"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"厚度"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"原子能"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"原料"	2	0	1.086	0.914	0.531	-0.531	1.062	"1_&_2"
"原材料"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"原油"	0	2	1.086	0.914	-0.68	0.68	1.36	"1_&_2"
"厨"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"厨房"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"厨房柜"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"参"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"参照"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"及"	10	0	5.428	4.572	2.654	-2.654	5.308	"1_&_2"
"反应"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"反弹"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"反核"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"发光"	3	0	1.628	1.372	0.796	-0.796	1.592	"1_&_2"
"发动机"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"发放"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"发现"	3	0	1.628	1.372	0.796	-0.796	1.592	"1_&_2"
"发电"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"发酵"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"取决"	0	2	1.086	0.914	-0.68	0.68	1.36	"1_&_2"
"受"	0	12	6.513	5.487	-4.078	4.078	8.156	"1_&_2"
"受到"	0	8	4.342	3.658	-2.719	2.719	5.438	"1_&_2"
"变"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"变动"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"变化"	0	4	2.171	1.829	-1.359	1.359	2.718	"1_&_2"
"变数"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"变迁"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"变长"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"口服剂"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"古"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"可"	3	0	1.628	1.372	0.796	-0.796	1.592	"1_&_2"
"可可"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"可能"	1	12	7.056	5.944	-3.203	3.203	6.406	"1_&_2"
"台商"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"台股"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"合"	2	0	1.086	0.914	0.531	-0.531	1.062	"1_&_2"
"合成"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"名都"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"后天"	0	3	1.628	1.372	-1.02	1.02	2.04	"1_&_2"
"后市"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"后盾"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"吐气"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"吨"	2	0	1.086	0.914	0.531	-0.531	1.062	"1_&_2"
"含"	6	0	3.257	2.743	1.592	-1.592	3.184	"1_&_2"
"含有"	5	0	2.714	2.286	1.327	-1.327	2.654	"1_&_2"
"含量"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"吸收"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"味"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"味道"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"命运"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"咖啡"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"品"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"品牌"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"哈尔滨"	2	0	1.086	0.914	0.531	-0.531	1.062	"1_&_2"
"哥伦比亚"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"哥斯达黎加"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"唐飞"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"售"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"唯一"	0	3	1.628	1.372	-1.02	1.02	2.04	"1_&_2"
"唯恐"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"唯武器论"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"唿吸道"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"商标"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"喂养"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"喇叭"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"器材"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"器械"	1	0	0.543	0.457	0.265	-0.265	0.53	"1_&_2"
"四五月"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
"回收"	2	0	1.086	0.914	0.531	-0.531	1.062	"1_&_2"
"回落"	0	1	0.543	0.457	-0.34	0.34	0.68	"1_&_2"
