"Coll_Word"	"1"	"2"	"3"	"4"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"SumAbsDev"	"LargestDev"
"之所以"	0	0	1	0	0.103	0.307	0.312	0.279	-0.047	-0.159	0.506	-0.142	0.854	"3"
"之间"	0	0	0	2	0.206	0.613	0.623	0.558	-0.094	-0.318	-0.324	1.11	1.846	"4"
"乐于"	0	0	1	0	0.103	0.307	0.312	0.279	-0.047	-0.159	0.506	-0.142	0.854	"3"
"乔纳森"	0	0	0	1	0.103	0.307	0.312	0.279	-0.047	-0.159	-0.162	0.555	0.923	"4"
"乘势"	0	1	0	0	0.103	0.307	0.312	0.279	-0.047	0.513	-0.162	-0.142	0.864	"2"
"二○○一年"	0	0	1	0	0.103	0.307	0.312	0.279	-0.047	-0.159	0.506	-0.142	0.854	"3"
"二时"	0	0	1	0	0.103	0.307	0.312	0.279	-0.047	-0.159	0.506	-0.142	0.854	"3"
"于是"	0	0	1	0	0.103	0.307	0.312	0.279	-0.047	-0.159	0.506	-0.142	0.854	"3"
"五金"	0	0	1	0	0.103	0.307	0.312	0.279	-0.047	-0.159	0.506	-0.142	0.854	"3"
"亚元"	0	0	1	0	0.103	0.307	0.312	0.279	-0.047	-0.159	0.506	-0.142	0.854	"3"
"亚历山大"	0	0	1	0	0.103	0.307	0.312	0.279	-0.047	-0.159	0.506	-0.142	0.854	"3"
"亚太"	0	1	0	1	0.206	0.613	0.623	0.558	-0.094	0.285	-0.324	0.319	1.022	"3"
"亚太区域"	0	0	0	1	0.103	0.307	0.312	0.279	-0.047	-0.159	-0.162	0.555	0.923	"4"
"亚太线"	0	0	0	1	0.103	0.307	0.312	0.279	-0.047	-0.159	-0.162	0.555	0.923	"4"
"亚非"	0	0	0	2	0.206	0.613	0.623	0.558	-0.094	-0.318	-0.324	1.11	1.846	"4"
"交换"	0	0	1	0	0.103	0.307	0.312	0.279	-0.047	-0.159	0.506	-0.142	0.854	"3"
"交易所"	0	0	2	0	0.206	0.613	0.623	0.558	-0.094	-0.318	1.012	-0.284	1.708	"3"
"产业"	0	3	0	0	0.309	0.92	0.935	0.836	-0.141	1.54	-0.487	-0.426	2.594	"2"
"产品"	0	3	1	0	0.411	1.227	1.247	1.115	-0.189	1.052	-0.2	-0.568	2.009	"2"
"产官学界"	0	0	1	0	0.103	0.307	0.312	0.279	-0.047	-0.159	0.506	-0.142	0.854	"3"
"亲密"	0	0	0	1	0.103	0.307	0.312	0.279	-0.047	-0.159	-0.162	0.555	0.923	"4"
"亲民党"	0	0	1	0	0.103	0.307	0.312	0.279	-0.047	-0.159	0.506	-0.142	0.854	"3"
"人才"	6	3	0	0	0.926	2.76	2.806	2.509	4.122	0.256	-1.46	-1.277	7.115	"1"
"人际"	0	0	1	0	0.103	0.307	0.312	0.279	-0.047	-0.159	0.506	-0.142	0.854	"3"
"什么"	0	0	1	0	0.103	0.307	0.312	0.279	-0.047	-0.159	0.506	-0.142	0.854	"3"
"什宁"	0	0	0	1	0.103	0.307	0.312	0.279	-0.047	-0.159	-0.162	0.555	0.923	"4"
"今后"	0	0	2	0	0.206	0.613	0.623	0.558	-0.094	-0.318	1.012	-0.284	1.708	"3"
"介绍"	0	1	0	0	0.103	0.307	0.312	0.279	-0.047	0.513	-0.162	-0.142	0.864	"2"
"付出"	0	0	1	0	0.103	0.307	0.312	0.279	-0.047	-0.159	0.506	-0.142	0.854	"3"
"付诸"	0	1	0	0	0.103	0.307	0.312	0.279	-0.047	0.513	-0.162	-0.142	0.864	"2"
"代价"	0	0	1	0	0.103	0.307	0.312	0.279	-0.047	-0.159	0.506	-0.142	0.854	"3"
"代号"	0	0	1	0	0.103	0.307	0.312	0.279	-0.047	-0.159	0.506	-0.142	0.854	"3"
"以及"	0	1	0	0	0.103	0.307	0.312	0.279	-0.047	0.513	-0.162	-0.142	0.864	"2"
"以往"	0	0	1	0	0.103	0.307	0.312	0.279	-0.047	-0.159	0.506	-0.142	0.854	"3"
"以期"	0	0	1	0	0.103	0.307	0.312	0.279	-0.047	-0.159	0.506	-0.142	0.854	"3"
