"Coll_Word"	"1"	"2"	"3"	"4"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"SumAbsDev"	"LargestDev"
"最低价"	0	1	0	0	0.231	0.178	0.223	0.368	-0.114	0.75	-0.11	-0.199	1.173	"2"
"最近"	2	0	1	0	0.694	0.533	0.67	1.103	0.867	-0.255	0.274	-0.597	1.993	"1"
"最高点"	0	1	0	0	0.231	0.178	0.223	0.368	-0.114	0.75	-0.11	-0.199	1.173	"2"
"月份"	0	0	1	0	0.231	0.178	0.223	0.368	-0.114	-0.085	0.651	-0.199	1.049	"3"
"有价证券"	0	0	0	3	0.694	0.533	0.67	1.103	-0.343	-0.255	-0.33	1.304	2.232	"4"
"有利可图"	0	0	0	1	0.231	0.178	0.223	0.368	-0.114	-0.085	-0.11	0.435	0.744	"4"
"朋"	1	0	0	0	0.231	0.178	0.223	0.368	0.636	-0.085	-0.11	-0.199	1.03	"1"
"朋友"	1	0	0	0	0.231	0.178	0.223	0.368	0.636	-0.085	-0.11	-0.199	1.03	"1"
"服装"	0	0	3	0	0.694	0.533	0.67	1.103	-0.343	-0.255	1.952	-0.597	3.147	"3"
"服装店"	1	0	0	0	0.231	0.178	0.223	0.368	0.636	-0.085	-0.11	-0.199	1.03	"1"
"期货"	0	0	0	15	3.469	2.665	3.352	5.514	-1.714	-1.274	-1.648	6.519	11.155	"4"
"期货业"	0	0	0	1	0.231	0.178	0.223	0.368	-0.114	-0.085	-0.11	0.435	0.744	"4"
"期限"	0	0	0	2	0.463	0.355	0.447	0.735	-0.228	-0.17	-0.22	0.869	1.487	"4"
"木材"	0	0	0	1	0.231	0.178	0.223	0.368	-0.114	-0.085	-0.11	0.435	0.744	"4"
"未曾"	1	0	0	0	0.231	0.178	0.223	0.368	0.636	-0.085	-0.11	-0.199	1.03	"1"
"未知"	0	1	0	0	0.231	0.178	0.223	0.368	-0.114	0.75	-0.11	-0.199	1.173	"2"
"本人"	0	0	0	1	0.231	0.178	0.223	0.368	-0.114	-0.085	-0.11	0.435	0.744	"4"
"本地"	2	1	1	0	0.925	0.711	0.894	1.47	0.637	0.265	0.196	-0.796	1.894	"4"
"本次"	0	0	1	0	0.231	0.178	0.223	0.368	-0.114	-0.085	0.651	-0.199	1.049	"3"
"朱兆铨"	0	0	1	0	0.231	0.178	0.223	0.368	-0.114	-0.085	0.651	-0.199	1.049	"3"
"机制"	0	1	2	7	2.313	1.777	2.235	3.676	-1.142	-0.35	-0.217	1.464	3.173	"4"
"机电"	0	0	2	0	0.463	0.355	0.447	0.735	-0.228	-0.17	1.302	-0.398	2.098	"3"
"权"	0	0	1	2	0.694	0.533	0.67	1.103	-0.343	-0.255	0.274	0.514	1.386	"4"
"权色"	0	0	0	1	0.231	0.178	0.223	0.368	-0.114	-0.085	-0.11	0.435	0.744	"4"
"权钱"	0	0	1	0	0.231	0.178	0.223	0.368	-0.114	-0.085	0.651	-0.199	1.049	"3"
"李嘉廷"	0	0	1	0	0.231	0.178	0.223	0.368	-0.114	-0.085	0.651	-0.199	1.049	"3"
"杜绝"	0	0	1	0	0.231	0.178	0.223	0.368	-0.114	-0.085	0.651	-0.199	1.049	"3"
"条件"	0	0	2	0	0.463	0.355	0.447	0.735	-0.228	-0.17	1.302	-0.398	2.098	"3"
"条例"	0	0	1	0	0.231	0.178	0.223	0.368	-0.114	-0.085	0.651	-0.199	1.049	"3"
"来宾"	0	0	1	0	0.231	0.178	0.223	0.368	-0.114	-0.085	0.651	-0.199	1.049	"3"
"板块"	0	2	0	0	0.463	0.355	0.447	0.735	-0.228	1.501	-0.22	-0.398	2.347	"2"
"林明利"	1	0	0	0	0.231	0.178	0.223	0.368	0.636	-0.085	-0.11	-0.199	1.03	"1"
"果蔬"	0	0	0	2	0.463	0.355	0.447	0.735	-0.228	-0.17	-0.22	0.869	1.487	"4"
"枪械"	0	0	1	0	0.231	0.178	0.223	0.368	-0.114	-0.085	0.651	-0.199	1.049	"3"
"柜台"	0	0	0	11	2.544	1.954	2.458	4.044	-1.257	-0.934	-1.208	4.781	8.18	"4"
"柜面"	0	0	0	1	0.231	0.178	0.223	0.368	-0.114	-0.085	-0.11	0.435	0.744	"4"
"查缉"	0	0	1	0	0.231	0.178	0.223	0.368	-0.114	-0.085	0.651	-0.199	1.049	"3"
"查获"	0	0	1	1	0.463	0.355	0.447	0.735	-0.228	-0.17	0.401	0.222	1.021	"3"
"查证"	0	0	1	0	0.231	0.178	0.223	0.368	-0.114	-0.085	0.651	-0.199	1.049	"3"
"查询"	0	0	0	1	0.231	0.178	0.223	0.368	-0.114	-0.085	-0.11	0.435	0.744	"4"
"格桑达瓦"	1	0	0	0	0.231	0.178	0.223	0.368	0.636	-0.085	-0.11	-0.199	1.03	"1"
"棉日"	0	0	0	1	0.231	0.178	0.223	0.368	-0.114	-0.085	-0.11	0.435	0.744	"4"
"棉花"	0	0	1	4	1.156	0.888	1.117	1.838	-0.571	-0.425	-0.162	1.191	2.349	"4"
"楼面"	1	0	0	0	0.231	0.178	0.223	0.368	0.636	-0.085	-0.11	-0.199	1.03	"1"
"模式"	0	0	0	1	0.231	0.178	0.223	0.368	-0.114	-0.085	-0.11	0.435	0.744	"4"
"次数"	0	0	1	0	0.231	0.178	0.223	0.368	-0.114	-0.085	0.651	-0.199	1.049	"3"
"欢庆"	1	0	0	0	0.231	0.178	0.223	0.368	0.636	-0.085	-0.11	-0.199	1.03	"1"
"欧元"	0	4	0	0	0.925	0.711	0.894	1.47	-0.457	3.002	-0.439	-0.796	4.694	"2"
"欧美"	2	0	0	0	0.463	0.355	0.447	0.735	1.272	-0.17	-0.22	-0.398	2.06	"1"
"正常"	0	1	3	0	0.925	0.711	0.894	1.47	-0.457	0.265	1.43	-0.796	2.948	"3"
"武器"	0	0	2	0	0.463	0.355	0.447	0.735	-0.228	-0.17	1.302	-0.398	2.098	"3"
"死者"	1	0	0	0	0.231	0.178	0.223	0.368	0.636	-0.085	-0.11	-0.199	1.03	"1"
"残渣"	0	0	1	0	0.231	0.178	0.223	0.368	-0.114	-0.085	0.651	-0.199	1.049	"3"
"殷乃平"	0	0	1	0	0.231	0.178	0.223	0.368	-0.114	-0.085	0.651	-0.199	1.049	"3"
"毒品"	0	0	3	0	0.694	0.533	0.67	1.103	-0.343	-0.255	1.952	-0.597	3.147	"3"
"比如"	1	0	0	0	0.231	0.178	0.223	0.368	0.636	-0.085	-0.11	-0.199	1.03	"1"
"比率"	0	0	0	1	0.231	0.178	0.223	0.368	-0.114	-0.085	-0.11	0.435	0.744	"4"
"比较"	2	0	0	0	0.463	0.355	0.447	0.735	1.272	-0.17	-0.22	-0.398	2.06	"1"
"民营"	0	0	1	0	0.231	0.178	0.223	0.368	-0.114	-0.085	0.651	-0.199	1.049	"3"
"水果"	0	2	0	0	0.463	0.355	0.447	0.735	-0.228	1.501	-0.22	-0.398	2.347	"2"
"水饺股"	0	0	1	0	0.231	0.178	0.223	0.368	-0.114	-0.085	0.651	-0.199	1.049	"3"
"汇"	1	0	0	2	0.694	0.533	0.67	1.103	0.263	-0.255	-0.33	0.514	1.362	"4"
"汇市"	0	1	0	0	0.231	0.178	0.223	0.368	-0.114	0.75	-0.11	-0.199	1.173	"2"
"汇市场"	0	0	0	4	0.925	0.711	0.894	1.47	-0.457	-0.34	-0.439	1.739	2.975	"4"
"汉奸"	1	0	0	0	0.231	0.178	0.223	0.368	0.636	-0.085	-0.11	-0.199	1.03	"1"
"江孜"	0	0	0	1	0.231	0.178	0.223	0.368	-0.114	-0.085	-0.11	0.435	0.744	"4"
"汽车"	1	0	1	0	0.463	0.355	0.447	0.735	0.388	-0.17	0.401	-0.398	1.357	"3"
"沙斯"	5	0	0	0	1.156	0.888	1.117	1.838	3.179	-0.425	-0.549	-0.995	5.148	"1"
"没"	2	0	0	0	0.463	0.355	0.447	0.735	1.272	-0.17	-0.22	-0.398	2.06	"1"
"没有"	1	0	0	0	0.231	0.178	0.223	0.368	0.636	-0.085	-0.11	-0.199	1.03	"1"
"河南"	0	0	1	1	0.463	0.355	0.447	0.735	-0.228	-0.17	0.401	0.222	1.021	"3"
"法人"	0	0	0	1	0.231	0.178	0.223	0.368	-0.114	-0.085	-0.11	0.435	0.744	"4"
"法令"	0	0	0	1	0.231	0.178	0.223	0.368	-0.114	-0.085	-0.11	0.435	0.744	"4"
"法兰克福"	0	2	0	0	0.463	0.355	0.447	0.735	-0.228	1.501	-0.22	-0.398	2.347	"2"
"法制化"	0	1	0	0	0.231	0.178	0.223	0.368	-0.114	0.75	-0.11	-0.199	1.173	"2"
"法郎"	0	0	1	0	0.231	0.178	0.223	0.368	-0.114	-0.085	0.651	-0.199	1.049	"3"
"泡沫经济"	0	1	0	0	0.231	0.178	0.223	0.368	-0.114	0.75	-0.11	-0.199	1.173	"2"
"泡泡茶"	1	0	0	0	0.231	0.178	0.223	0.368	0.636	-0.085	-0.11	-0.199	1.03	"1"
"注册"	0	0	1	0	0.231	0.178	0.223	0.368	-0.114	-0.085	0.651	-0.199	1.049	"3"
