"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"exp_8"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"pbin_8"	"SumAbsDev"	"LargestDev"
"下"	0	1	3	11	0	0	0	0	1.236	3.005	1.05	4.522	0.385	0.896	1.24	2.666	-0.56	-0.779	1.082	3.153	-0.169	-0.401	-0.562	-1.275	7.981	"4"
"下列"	0	0	0	0	0	0	0	1	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	-0.032	-0.156	-0.011	-0.027	-0.037	0.75	1.147	"8"
"不动产"	0	1	0	0	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	0.698	-0.032	-0.156	-0.011	-0.027	-0.037	-0.085	1.083	"2"
"不可"	0	0	0	0	0	0	1	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	-0.032	-0.156	-0.011	-0.027	1.083	-0.085	1.528	"7"
"不可以"	0	1	0	0	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	0.698	-0.032	-0.156	-0.011	-0.027	-0.037	-0.085	1.083	"2"
"不合时宜"	0	0	0	1	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	-0.032	0.521	-0.011	-0.027	-0.037	-0.085	0.847	"4"
"不当"	0	1	0	0	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	0.698	-0.032	-0.156	-0.011	-0.027	-0.037	-0.085	1.083	"2"
"不得"	1	0	0	0	0	0	1	3	0.412	1.002	0.35	1.507	0.128	0.299	0.413	0.889	0.457	-0.486	-0.158	-0.779	-0.056	-0.134	0.455	1.374	3.899	"8"
"不管"	0	0	0	0	0	0	1	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	-0.032	-0.156	-0.011	-0.027	1.083	-0.085	1.528	"7"
"不能"	0	0	0	1	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	-0.032	0.521	-0.011	-0.027	-0.037	-0.085	0.847	"4"
"不良"	0	0	0	1	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	-0.032	0.521	-0.011	-0.027	-0.037	-0.085	0.847	"4"
"不良贷款"	0	0	0	1	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	-0.032	0.521	-0.011	-0.027	-0.037	-0.085	0.847	"4"
"不许"	0	0	0	1	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	-0.032	0.521	-0.011	-0.027	-0.037	-0.085	0.847	"4"
"不论"	0	0	0	0	0	0	1	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	-0.032	-0.156	-0.011	-0.027	1.083	-0.085	1.528	"7"
"不适"	0	0	0	0	0	0	1	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	-0.032	-0.156	-0.011	-0.027	1.083	-0.085	1.528	"7"
"不顾"	0	0	0	1	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	-0.032	0.521	-0.011	-0.027	-0.037	-0.085	0.847	"4"
"专业"	0	0	0	2	0	0	0	0	0.165	0.401	0.14	0.603	0.051	0.119	0.165	0.355	-0.075	-0.194	-0.063	1.042	-0.023	-0.054	-0.075	-0.17	1.696	"4"
"专断"	0	0	0	1	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	-0.032	0.521	-0.011	-0.027	-0.037	-0.085	0.847	"4"
"专门"	0	0	0	0	0	0	0	2	0.165	0.401	0.14	0.603	0.051	0.119	0.165	0.355	-0.075	-0.194	-0.063	-0.312	-0.023	-0.054	-0.075	1.5	2.296	"8"
"专项"	0	0	0	0	0	0	0	1	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	-0.032	-0.156	-0.011	-0.027	-0.037	0.75	1.147	"8"
"世界贸易组织"	0	0	0	1	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	-0.032	0.521	-0.011	-0.027	-0.037	-0.085	0.847	"4"
"世贸组织"	0	0	0	4	0	0	0	1	0.412	1.002	0.35	1.507	0.128	0.299	0.413	0.889	-0.187	-0.486	-0.158	1.504	-0.056	-0.134	-0.187	0.205	2.917	"4"
"两岸"	0	1	0	0	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	0.698	-0.032	-0.156	-0.011	-0.027	-0.037	-0.085	1.083	"2"
