"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"exp_8"	"exp_9"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"pbin_8"	"pbin_9"	"SumAbsDev"	"LargestDev"
"Micro-fil"	0	1	0	0	0	0	0	0	0	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	0.792	-0.093	-0.052	-0.018	-0.02	-0.059	-0.011	-0.128	1.191	"2"
"PC"	0	0	0	0	0	0	0	0	1	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	-0.077	-0.093	-0.052	-0.018	-0.02	-0.059	-0.011	0.593	0.941	"9"
"Pitera"	0	0	0	0	0	0	2	0	0	0.081	0.323	0.384	0.226	0.081	0.092	0.255	0.048	0.51	-0.036	-0.153	-0.185	-0.104	-0.036	-0.041	1.788	-0.021	-0.256	2.62	"7"
"PPA"	3	2	0	0	0	0	0	0	0	0.202	0.808	0.96	0.564	0.202	0.23	0.638	0.121	1.275	3.208	0.73	-0.463	-0.26	-0.09	-0.102	-0.297	-0.053	-0.639	5.842	"1"
"SEMI"	0	0	1	0	0	0	0	0	0	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	-0.077	0.717	-0.052	-0.018	-0.02	-0.059	-0.011	-0.128	1.1	"3"
"SK-II"	0	0	0	0	0	0	1	0	0	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	-0.077	-0.093	-0.052	-0.018	-0.02	0.894	-0.011	-0.128	1.311	"7"
"Slim"	0	1	0	0	0	0	0	0	0	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	0.792	-0.093	-0.052	-0.018	-0.02	-0.059	-0.011	-0.128	1.191	"2"
"SM"	0	0	1	0	0	0	0	0	0	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	-0.077	0.717	-0.052	-0.018	-0.02	-0.059	-0.011	-0.128	1.1	"3"
"T"	0	2	0	0	0	0	0	0	0	0.081	0.323	0.384	0.226	0.081	0.092	0.255	0.048	0.51	-0.036	1.583	-0.185	-0.104	-0.036	-0.041	-0.119	-0.021	-0.256	2.381	"2"
"zucchini"	0	0	0	0	0	0	0	0	1	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	-0.077	-0.093	-0.052	-0.018	-0.02	-0.059	-0.011	0.593	0.941	"9"
"一半"	0	0	0	0	0	0	0	0	2	0.081	0.323	0.384	0.226	0.081	0.092	0.255	0.048	0.51	-0.036	-0.153	-0.185	-0.104	-0.036	-0.041	-0.119	-0.021	1.187	1.882	"9"
"一厢情愿"	0	0	0	0	0	0	1	0	0	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	-0.077	-0.093	-0.052	-0.018	-0.02	0.894	-0.011	-0.128	1.311	"7"
"一头"	0	1	0	0	0	0	0	0	0	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	0.792	-0.093	-0.052	-0.018	-0.02	-0.059	-0.011	-0.128	1.191	"2"
"一层层"	0	0	0	0	0	0	1	0	0	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	-0.077	-0.093	-0.052	-0.018	-0.02	0.894	-0.011	-0.128	1.311	"7"
"一次性"	0	0	1	0	0	0	0	0	0	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	-0.077	0.717	-0.052	-0.018	-0.02	-0.059	-0.011	-0.128	1.1	"3"
"一点"	0	0	0	0	0	0	1	0	0	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	-0.077	-0.093	-0.052	-0.018	-0.02	0.894	-0.011	-0.128	1.311	"7"
"一点零一"	0	1	0	0	0	0	0	0	0	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	0.792	-0.093	-0.052	-0.018	-0.02	-0.059	-0.011	-0.128	1.191	"2"
"一百万"	0	0	1	0	0	0	0	0	0	0.04	0.162	0.192	0.113	0.04	0.046	0.128	0.024	0.255	-0.018	-0.077	0.717	-0.052	-0.018	-0.02	-0.059	-0.011	-0.128	1.1	"3"
