"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"SumAbsDev"	"LargestDev"
"乔杰夫斯"	0	0	0	0	1	0	0	0.352	0.03	0.094	0.037	0.361	0.039	0.087	-0.189	-0.013	-0.043	-0.016	0.443	-0.017	-0.039	0.76	"5"
"九月"	0	0	1	0	2	0	0	1.057	0.091	0.282	0.111	1.083	0.117	0.26	-0.566	-0.04	0.592	-0.049	0.528	-0.052	-0.118	1.945	"3"
"九点五八"	0	0	1	0	0	0	0	0.352	0.03	0.094	0.037	0.361	0.039	0.087	-0.189	-0.013	1.028	-0.016	-0.194	-0.017	-0.039	1.496	"3"
"争端"	0	0	0	0	0	0	2	0.705	0.061	0.188	0.074	0.722	0.078	0.174	-0.377	-0.027	-0.086	-0.033	-0.389	-0.034	2.123	3.069	"7"
"争论"	0	0	0	0	0	0	1	0.352	0.03	0.094	0.037	0.361	0.039	0.087	-0.189	-0.013	-0.043	-0.016	-0.194	-0.017	1.062	1.534	"7"
"事故处"	0	0	0	0	1	0	0	0.352	0.03	0.094	0.037	0.361	0.039	0.087	-0.189	-0.013	-0.043	-0.016	0.443	-0.017	-0.039	0.76	"5"
"二00三年"	1	0	0	0	0	0	0	0.352	0.03	0.094	0.037	0.361	0.039	0.087	0.453	-0.013	-0.043	-0.016	-0.194	-0.017	-0.039	0.775	"1"
"二00八年"	1	0	0	0	0	0	0	0.352	0.03	0.094	0.037	0.361	0.039	0.087	0.453	-0.013	-0.043	-0.016	-0.194	-0.017	-0.039	0.775	"1"
"二十四日"	0	0	0	0	2	0	0	0.705	0.061	0.188	0.074	0.722	0.078	0.174	-0.377	-0.027	-0.086	-0.033	0.885	-0.034	-0.079	1.521	"5"
"二十多"	0	0	0	0	1	0	0	0.352	0.03	0.094	0.037	0.361	0.039	0.087	-0.189	-0.013	-0.043	-0.016	0.443	-0.017	-0.039	0.76	"5"
"二十时"	0	0	0	0	1	0	0	0.352	0.03	0.094	0.037	0.361	0.039	0.087	-0.189	-0.013	-0.043	-0.016	0.443	-0.017	-0.039	0.76	"5"
"二零零一年"	0	0	0	0	1	0	0	0.352	0.03	0.094	0.037	0.361	0.039	0.087	-0.189	-0.013	-0.043	-0.016	0.443	-0.017	-0.039	0.76	"5"
"互"	2	0	0	0	0	0	0	0.705	0.061	0.188	0.074	0.722	0.078	0.174	0.906	-0.027	-0.086	-0.033	-0.389	-0.034	-0.079	1.554	"1"
"五十分"	0	0	0	0	1	0	0	0.352	0.03	0.094	0.037	0.361	0.039	0.087	-0.189	-0.013	-0.043	-0.016	0.443	-0.017	-0.039	0.76	"5"
"亚"	3	0	0	0	0	0	0	1.057	0.091	0.282	0.111	1.083	0.117	0.26	1.359	-0.04	-0.128	-0.049	-0.583	-0.052	-0.118	2.329	"1"
"亚国"	1	0	0	0	0	0	0	0.352	0.03	0.094	0.037	0.361	0.039	0.087	0.453	-0.013	-0.043	-0.016	-0.194	-0.017	-0.039	0.775	"1"
"亚运会"	0	0	0	0	1	0	0	0.352	0.03	0.094	0.037	0.361	0.039	0.087	-0.189	-0.013	-0.043	-0.016	0.443	-0.017	-0.039	0.76	"5"
"亲信"	0	1	0	0	0	0	0	0.352	0.03	0.094	0.037	0.361	0.039	0.087	-0.189	1.519	-0.043	-0.016	-0.194	-0.017	-0.039	2.017	"2"
"人团"	0	0	0	0	1	0	0	0.352	0.03	0.094	0.037	0.361	0.039	0.087	-0.189	-0.013	-0.043	-0.016	0.443	-0.017	-0.039	0.76	"5"
"人工"	0	0	1	0	0	0	3	1.409	0.121	0.375	0.148	1.444	0.156	0.347	-0.754	-0.053	0.487	-0.066	-0.778	-0.069	2.612	4.819	"7"
"人民"	152	0	0	0	2	0	0	54.249	4.659	14.454	5.705	55.581	5.991	13.36	65.178	-2.055	-6.592	-2.525	-26.359	-2.654	-6.07	111.433	"1"
"人民代表"	2	0	0	0	0	0	0	0.705	0.061	0.188	0.074	0.722	0.078	0.174	0.906	-0.027	-0.086	-0.033	-0.389	-0.034	-0.079	1.554	"1"
"人民代表大"	1	0	0	0	0	0	0	0.352	0.03	0.094	0.037	0.361	0.039	0.087	0.453	-0.013	-0.043	-0.016	-0.194	-0.017	-0.039	0.775	"1"
"人票"	0	0	0	0	0	0	1	0.352	0.03	0.094	0.037	0.361	0.039	0.087	-0.189	-0.013	-0.043	-0.016	-0.194	-0.017	1.062	1.534	"7"
"什"	0	0	0	1	0	0	0	0.352	0.03	0.094	0.037	0.361	0.039	0.087	-0.189	-0.013	-0.043	1.431	-0.194	-0.017	-0.039	1.926	"4"
"仁福"	0	0	0	0	1	0	0	0.352	0.03	0.094	0.037	0.361	0.039	0.087	-0.189	-0.013	-0.043	-0.016	0.443	-0.017	-0.039	0.76	"5"
"仇恨"	0	0	0	0	0	0	1	0.352	0.03	0.094	0.037	0.361	0.039	0.087	-0.189	-0.013	-0.043	-0.016	-0.194	-0.017	1.062	1.534	"7"
"介入"	0	0	0	0	0	0	2	0.705	0.061	0.188	0.074	0.722	0.078	0.174	-0.377	-0.027	-0.086	-0.033	-0.389	-0.034	2.123	3.069	"7"
"代表"	6	0	0	0	2	0	0	2.818	0.242	0.751	0.296	2.887	0.311	0.694	1.582	-0.107	-0.342	-0.131	-0.396	-0.138	-0.315	3.011	"1"
"代表团"	0	0	0	0	1	0	0	0.352	0.03	0.094	0.037	0.361	0.039	0.087	-0.189	-0.013	-0.043	-0.016	0.443	-0.017	-0.039	0.76	"5"
"代表院"	0	0	0	0	3	0	0	1.057	0.091	0.282	0.111	1.083	0.117	0.26	-0.566	-0.04	-0.128	-0.049	1.328	-0.052	-0.118	2.281	"5"
"令"	7	0	0	0	1	0	0	2.818	0.242	0.751	0.296	2.887	0.311	0.694	2.429	-0.107	-0.342	-0.131	-0.814	-0.138	-0.315	4.276	"1"
"任"	0	0	0	0	1	0	0	0.352	0.03	0.094	0.037	0.361	0.039	0.087	-0.189	-0.013	-0.043	-0.016	0.443	-0.017	-0.039	0.76	"5"
"任俄"	0	0	0	0	1	0	0	0.352	0.03	0.094	0.037	0.361	0.039	0.087	-0.189	-0.013	-0.043	-0.016	0.443	-0.017	-0.039	0.76	"5"
"任命"	0	0	0	0	0	0	1	0.352	0.03	0.094	0.037	0.361	0.039	0.087	-0.189	-0.013	-0.043	-0.016	-0.194	-0.017	1.062	1.534	"7"
"任职"	0	0	0	0	1	0	0	0.352	0.03	0.094	0.037	0.361	0.039	0.087	-0.189	-0.013	-0.043	-0.016	0.443	-0.017	-0.039	0.76	"5"
"伉俪"	0	0	0	0	2	0	0	0.705	0.061	0.188	0.074	0.722	0.078	0.174	-0.377	-0.027	-0.086	-0.033	0.885	-0.034	-0.079	1.521	"5"
"伊"	0	3	0	0	1	0	0	1.409	0.121	0.375	0.148	1.444	0.156	0.347	-0.754	3.965	-0.171	-0.066	-0.265	-0.069	-0.158	5.448	"2"
"伊利埃斯库"	1	0	0	0	0	0	0	0.352	0.03	0.094	0.037	0.361	0.039	0.087	0.453	-0.013	-0.043	-0.016	-0.194	-0.017	-0.039	0.775	"1"
"伊利诺州"	0	0	0	0	1	0	0	0.352	0.03	0.094	0.037	0.361	0.039	0.087	-0.189	-0.013	-0.043	-0.016	0.443	-0.017	-0.039	0.76	"5"
"伊拉"	0	1	0	0	0	0	0	0.352	0.03	0.094	0.037	0.361	0.039	0.087	-0.189	1.519	-0.043	-0.016	-0.194	-0.017	-0.039	2.017	"2"
"伊拉克"	0	7	0	0	1	0	0	2.818	0.242	0.751	0.296	2.887	0.311	0.694	-1.509	9.743	-0.342	-0.131	-0.814	-0.138	-0.315	12.992	"2"
"伊斯兰"	0	0	0	0	3	0	0	1.057	0.091	0.282	0.111	1.083	0.117	0.26	-0.566	-0.04	-0.128	-0.049	1.328	-0.052	-0.118	2.281	"5"
"伊朗"	0	0	0	0	5	0	0	1.761	0.151	0.469	0.185	1.805	0.195	0.434	-0.943	-0.067	-0.214	-0.082	2.213	-0.086	-0.197	3.802	"5"
"伊泽特"	1	0	0	0	0	0	0	0.352	0.03	0.094	0.037	0.361	0.039	0.087	0.453	-0.013	-0.043	-0.016	-0.194	-0.017	-0.039	0.775	"1"
"众议员"	0	0	0	0	7	0	1	2.818	0.242	0.751	0.296	2.887	0.311	0.694	-1.509	-0.107	-0.342	-0.131	2.36	-0.138	0.287	4.874	"5"
"众议员赛"	0	0	0	0	1	0	0	0.352	0.03	0.094	0.037	0.361	0.039	0.087	-0.189	-0.013	-0.043	-0.016	0.443	-0.017	-0.039	0.76	"5"
"众议院"	0	0	0	0	2	0	0	0.705	0.061	0.188	0.074	0.722	0.078	0.174	-0.377	-0.027	-0.086	-0.033	0.885	-0.034	-0.079	1.521	"5"
"会"	0	0	1	0	1	0	0	0.705	0.061	0.188	0.074	0.722	0.078	0.174	-0.377	-0.027	0.747	-0.033	0.228	-0.034	-0.079	1.525	"3"
"会员国"	1	0	0	0	0	0	0	0.352	0.03	0.094	0.037	0.361	0.039	0.087	0.453	-0.013	-0.043	-0.016	-0.194	-0.017	-0.039	0.775	"1"
"会见"	3	1	1	0	3	0	0	2.818	0.242	0.751	0.296	2.887	0.311	0.694	0.238	0.662	0.263	-0.131	0.223	-0.138	-0.315	1.97	"2"
"会议"	0	0	1	1	5	0	0	2.466	0.212	0.657	0.259	2.526	0.272	0.607	-1.32	-0.093	0.302	0.634	1.199	-0.121	-0.276	3.945	"1"
"伟人"	1	0	0	0	0	0	0	0.352	0.03	0.094	0.037	0.361	0.039	0.087	0.453	-0.013	-0.043	-0.016	-0.194	-0.017	-0.039	0.775	"1"
"传入"	0	0	0	0	1	0	0	0.352	0.03	0.094	0.037	0.361	0.039	0.087	-0.189	-0.013	-0.043	-0.016	0.443	-0.017	-0.039	0.76	"5"
"住房"	0	0	2	0	0	0	0	0.705	0.061	0.188	0.074	0.722	0.078	0.174	-0.377	-0.027	2.055	-0.033	-0.389	-0.034	-0.079	2.994	"3"
"佛州"	0	0	0	0	0	0	10	3.523	0.303	0.939	0.37	3.609	0.389	0.868	-1.886	-0.133	-0.428	-0.164	-1.944	-0.172	10.617	15.344	"7"
"佛州州"	0	0	0	0	0	0	1	0.352	0.03	0.094	0.037	0.361	0.039	0.087	-0.189	-0.013	-0.043	-0.016	-0.194	-0.017	1.062	1.534	"7"
