"Coll_Word"	"1"	"2"	"3"	"4"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"SumAbsDev"	"LargestDev"
"奥斯汀"	1	0	0	0	0.283	0.081	0.122	0.514	0.548	-0.036	-0.056	-0.314	0.954	"1"
"奥林匹克"	0	1	0	1	0.566	0.161	0.244	1.029	-0.289	0.811	-0.113	-0.134	1.347	"2"
"奥组委"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"奥运"	0	2	0	0	0.566	0.161	0.244	1.029	-0.289	2.188	-0.113	-0.628	3.218	"2"
"奥运会"	0	3	0	3	1.698	0.483	0.732	3.087	-0.867	2.062	-0.339	-0.202	3.47	"2"
"奥运会场"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"奥运史"	0	2	0	0	0.566	0.161	0.244	1.029	-0.289	2.188	-0.113	-0.628	3.218	"2"
"女团"	0	1	0	0	0.283	0.081	0.122	0.514	-0.145	1.094	-0.056	-0.314	1.609	"2"
"女子"	0	3	0	0	0.849	0.242	0.366	1.543	-0.434	3.282	-0.169	-0.941	4.826	"2"
"女性"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"她俩"	0	1	0	0	0.283	0.081	0.122	0.514	-0.145	1.094	-0.056	-0.314	1.609	"2"
"如期"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"委"	2	0	0	0	0.566	0.161	0.244	1.029	1.096	-0.073	-0.113	-0.628	1.91	"1"
"委员会"	0	0	1	1	0.566	0.161	0.244	1.029	-0.289	-0.073	0.64	-0.134	1.136	"3"
"威慑力"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"娱乐"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"孙爱明"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"学校"	0	0	0	2	0.566	0.161	0.244	1.029	-0.289	-0.073	-0.113	0.577	1.052	"4"
"学科"	0	0	1	0	0.283	0.081	0.122	0.514	-0.145	-0.036	0.914	-0.314	1.409	"3"
"宁夏"	0	1	0	0	0.283	0.081	0.122	0.514	-0.145	1.094	-0.056	-0.314	1.609	"2"
"安全"	0	0	0	2	0.566	0.161	0.244	1.029	-0.289	-0.073	-0.113	0.577	1.052	"4"
"安排"	0	0	1	0	0.283	0.081	0.122	0.514	-0.145	-0.036	0.914	-0.314	1.409	"3"
"安置"	2	0	0	0	0.566	0.161	0.244	1.029	1.096	-0.073	-0.113	-0.628	1.91	"1"
"安装"	0	0	0	2	0.566	0.161	0.244	1.029	-0.289	-0.073	-0.113	0.577	1.052	"4"
"完成"	0	0	2	5	1.981	0.564	0.854	3.601	-1.012	-0.255	0.685	0.6	2.552	"1"
"定"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"定下"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"定案"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"实"	1	0	0	0	0.283	0.081	0.122	0.514	0.548	-0.036	-0.056	-0.314	0.954	"1"
"实实"	1	0	0	0	0.283	0.081	0.122	0.514	0.548	-0.036	-0.056	-0.314	0.954	"1"
"实效性"	1	0	0	0	0.283	0.081	0.122	0.514	0.548	-0.036	-0.056	-0.314	0.954	"1"
"实施"	0	0	5	10	4.246	1.208	1.829	7.717	-2.168	-0.547	1.55	0.747	5.012	"1"
"实无"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"实现"	0	0	0	4	1.132	0.322	0.488	2.058	-0.578	-0.146	-0.226	1.155	2.105	"4"
"实行"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"实际"	1	0	0	0	0.283	0.081	0.122	0.514	0.548	-0.036	-0.056	-0.314	0.954	"1"
"实验室"	1	0	0	0	0.283	0.081	0.122	0.514	0.548	-0.036	-0.056	-0.314	0.954	"1"
"审批"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"宣传"	4	0	0	0	1.132	0.322	0.488	2.058	2.193	-0.146	-0.226	-1.255	3.82	"1"
"家庭"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"家庭组"	0	1	0	0	0.283	0.081	0.122	0.514	-0.145	1.094	-0.056	-0.314	1.609	"2"
"富力达"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"对象"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"导"	1	0	0	0	0.283	0.081	0.122	0.514	0.548	-0.036	-0.056	-0.314	0.954	"1"
"导弹"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"射击"	0	2	0	0	0.566	0.161	0.244	1.029	-0.289	2.188	-0.113	-0.628	3.218	"2"
"小三通"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"小白"	1	0	0	0	0.283	0.081	0.122	0.514	0.548	-0.036	-0.056	-0.314	0.954	"1"
"小组"	1	0	0	0	0.283	0.081	0.122	0.514	0.548	-0.036	-0.056	-0.314	0.954	"1"
"就业"	2	0	0	1	0.849	0.242	0.366	1.543	0.71	-0.109	-0.169	-0.32	1.308	"1"
"就是"	1	0	0	2	0.849	0.242	0.366	1.543	0.2	-0.109	-0.169	0.283	0.761	"4"
"就绪"	1	0	0	1	0.566	0.161	0.244	1.029	0.313	-0.073	-0.113	-0.134	0.633	"1"
"尽速"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"居留"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"屈膝"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"展"	0	0	0	2	0.566	0.161	0.244	1.029	-0.289	-0.073	-0.113	0.577	1.052	"4"
"展开"	3	0	0	2	1.415	0.403	0.61	2.572	0.85	-0.182	-0.282	-0.325	1.639	"1"
"展示"	0	1	0	0	0.283	0.081	0.122	0.514	-0.145	1.094	-0.056	-0.314	1.609	"2"
"山海关"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"岗检"	1	0	0	0	0.283	0.081	0.122	0.514	0.548	-0.036	-0.056	-0.314	0.954	"1"
"峨山公"	0	0	1	0	0.283	0.081	0.122	0.514	-0.145	-0.036	0.914	-0.314	1.409	"3"
"工作"	14	0	0	1	4.246	1.208	1.829	7.717	6.631	-0.547	-0.847	-3.479	11.504	"1"
"工作力"	1	0	0	0	0.283	0.081	0.122	0.514	0.548	-0.036	-0.056	-0.314	0.954	"1"
"工时"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"工时案"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"工期"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"工程"	0	0	5	0	1.415	0.403	0.61	2.572	-0.723	-0.182	4.569	-1.569	7.043	"3"
"工资"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"巨蟒"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"市公所"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"市镇会"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"布什"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"布莱恩特"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"师傅"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"带回"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"帮助"	1	0	0	0	0.283	0.081	0.122	0.514	0.548	-0.036	-0.056	-0.314	0.954	"1"
"干部"	9	0	0	0	2.547	0.725	1.097	4.63	4.933	-0.328	-0.508	-2.824	8.593	"1"
"年代"	0	0	1	0	0.283	0.081	0.122	0.514	-0.145	-0.036	0.914	-0.314	1.409	"3"
"年底"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"并购"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"广大"	0	0	0	2	0.566	0.161	0.244	1.029	-0.289	-0.073	-0.113	0.577	1.052	"4"
"庐山真面目"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"库区"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"应急"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"应用"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"废弃物"	0	0	0	2	0.566	0.161	0.244	1.029	-0.289	-0.073	-0.113	0.577	1.052	"4"
"废除"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"座谈会"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"廉政"	3	0	0	0	0.849	0.242	0.366	1.543	1.644	-0.109	-0.169	-0.941	2.863	"1"
"廉洁"	1	0	0	0	0.283	0.081	0.122	0.514	0.548	-0.036	-0.056	-0.314	0.954	"1"
"延续性"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"延长"	0	0	0	2	0.566	0.161	0.244	1.029	-0.289	-0.073	-0.113	0.577	1.052	"4"
"延长至"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"建"	0	0	1	0	0.283	0.081	0.122	0.514	-0.145	-0.036	0.914	-0.314	1.409	"3"
"建屋局"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"建成"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"建议"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"建设"	12	0	14	4	8.491	2.417	3.658	15.434	0.946	-1.094	5.467	-4.812	12.319	"3"
"开办"	0	0	0	2	0.566	0.161	0.244	1.029	-0.289	-0.073	-0.113	0.577	1.052	"4"
"开发"	0	0	3	2	1.415	0.403	0.61	2.572	-0.723	-0.182	1.825	-0.325	3.055	"3"
"开发区"	0	0	1	0	0.283	0.081	0.122	0.514	-0.145	-0.036	0.914	-0.314	1.409	"3"
"开展"	10	0	0	0	2.83	0.806	1.219	5.145	5.481	-0.365	-0.565	-3.138	9.549	"1"
"开放"	1	0	0	0	0.283	0.081	0.122	0.514	0.548	-0.036	-0.056	-0.314	0.954	"1"
"开火"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"开罗"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"引导"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"张博雅"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"当前"	2	0	0	0	0.566	0.161	0.244	1.029	1.096	-0.073	-0.113	-0.628	1.91	"1"
"当成"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"形势"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"影响"	1	0	0	0	0.283	0.081	0.122	0.514	0.548	-0.036	-0.056	-0.314	0.954	"1"
"影碟"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"得到加"	1	0	0	0	0.283	0.081	0.122	0.514	0.548	-0.036	-0.056	-0.314	0.954	"1"
"微软"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"志愿"	1	0	0	2	0.849	0.242	0.366	1.543	0.2	-0.109	-0.169	0.283	0.761	"4"
"忘我"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"忙"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"思想"	6	0	0	0	1.698	0.483	0.732	3.087	3.289	-0.219	-0.339	-1.883	5.73	"1"
