"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"exp_8"	"exp_9"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"pbin_8"	"pbin_9"	"SumAbsDev"	"LargestDev"
"64.1"	0	0	0	0	0	1	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	-0.082	-0.067	-0.016	-0.013	0.763	-0.022	-0.026	-0.163	1.163	"6"
"7%"	0	1	0	0	0	0	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	0.766	-0.067	-0.016	-0.013	-0.082	-0.022	-0.026	-0.163	1.166	"2"
"70"	0	0	0	0	0	1	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	-0.082	-0.067	-0.016	-0.013	0.763	-0.022	-0.026	-0.163	1.163	"6"
"8.6"	0	0	0	0	0	1	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	-0.082	-0.067	-0.016	-0.013	0.763	-0.022	-0.026	-0.163	1.163	"6"
"80亿"	0	1	0	0	0	0	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	0.766	-0.067	-0.016	-0.013	-0.082	-0.022	-0.026	-0.163	1.166	"2"
"80年代"	0	0	1	0	0	0	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	-0.082	0.842	-0.016	-0.013	-0.082	-0.022	-0.026	-0.163	1.257	"3"
"891012"	0	0	0	0	0	0	0	0	1	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	-0.082	-0.067	-0.016	-0.013	-0.082	-0.022	-0.026	0.505	0.824	"9"
"891218"	0	0	0	0	0	1	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	-0.082	-0.067	-0.016	-0.013	0.763	-0.022	-0.026	-0.163	1.163	"6"
"891219"	0	0	1	0	0	0	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	-0.082	0.842	-0.016	-0.013	-0.082	-0.022	-0.026	-0.163	1.257	"3"
"891220"	0	0	1	0	0	0	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	-0.082	0.842	-0.016	-0.013	-0.082	-0.022	-0.026	-0.163	1.257	"3"
"891230"	0	0	0	0	0	0	0	0	1	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	-0.082	-0.067	-0.016	-0.013	-0.082	-0.022	-0.026	0.505	0.824	"9"
"9.6"	0	1	0	0	0	0	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	0.766	-0.067	-0.016	-0.013	-0.082	-0.022	-0.026	-0.163	1.166	"2"
"98年"	0	0	0	0	0	1	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	-0.082	-0.067	-0.016	-0.013	0.763	-0.022	-0.026	-0.163	1.163	"6"
"Allgreen"	0	0	0	0	0	1	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	-0.082	-0.067	-0.016	-0.013	0.763	-0.022	-0.026	-0.163	1.163	"6"
"ChinaFoodIndustries"	0	0	0	0	0	1	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	-0.082	-0.067	-0.016	-0.013	0.763	-0.022	-0.026	-0.163	1.163	"6"
"IC"	0	0	0	0	0	0	0	0	2	0.05	0.343	0.288	0.071	0.06	0.345	0.1	0.117	0.626	-0.022	-0.163	-0.135	-0.032	-0.026	-0.165	-0.045	-0.052	1.009	1.649	"9"
"iLIUP"	0	1	0	0	0	0	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	0.766	-0.067	-0.016	-0.013	-0.082	-0.022	-0.026	-0.163	1.166	"2"
"Nucnet"	0	0	0	0	0	1	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	-0.082	-0.067	-0.016	-0.013	0.763	-0.022	-0.026	-0.163	1.163	"6"
"Precision"	0	0	0	0	0	1	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	-0.082	-0.067	-0.016	-0.013	0.763	-0.022	-0.026	-0.163	1.163	"6"
"SembCorp"	0	0	0	0	0	1	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	-0.082	-0.067	-0.016	-0.013	0.763	-0.022	-0.026	-0.163	1.163	"6"
"SM"	0	0	1	0	0	0	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	-0.082	0.842	-0.016	-0.013	-0.082	-0.022	-0.026	-0.163	1.257	"3"
"Sunningdale"	0	0	0	0	0	1	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	-0.082	-0.067	-0.016	-0.013	0.763	-0.022	-0.026	-0.163	1.163	"6"
"WTO"	0	0	0	1	0	0	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	-0.082	-0.067	1.448	-0.013	-0.082	-0.022	-0.026	-0.163	1.914	"4"
"一举数得"	0	0	1	0	0	0	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	-0.082	0.842	-0.016	-0.013	-0.082	-0.022	-0.026	-0.163	1.257	"3"
"一流"	0	0	0	0	0	0	0	0	1	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	-0.082	-0.067	-0.016	-0.013	-0.082	-0.022	-0.026	0.505	0.824	"9"
"一百五十七.六零"	1	0	0	0	0	0	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	1.598	-0.082	-0.067	-0.016	-0.013	-0.082	-0.022	-0.026	-0.163	2.069	"1"
"一百六十三点八一"	1	0	0	0	0	0	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	1.598	-0.082	-0.067	-0.016	-0.013	-0.082	-0.022	-0.026	-0.163	2.069	"1"
"七○.九一"	1	0	0	0	0	0	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	1.598	-0.082	-0.067	-0.016	-0.013	-0.082	-0.022	-0.026	-0.163	2.069	"1"
"七十五点八四"	1	0	0	0	0	0	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	1.598	-0.082	-0.067	-0.016	-0.013	-0.082	-0.022	-0.026	-0.163	2.069	"1"
"三成"	0	0	1	0	0	0	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	-0.082	0.842	-0.016	-0.013	-0.082	-0.022	-0.026	-0.163	1.257	"3"
"三放活"	0	0	0	0	0	0	0	1	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	-0.082	-0.067	-0.016	-0.013	-0.082	-0.022	1.234	-0.163	1.69	"8"
"上升"	0	1	0	0	0	0	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	0.766	-0.067	-0.016	-0.013	-0.082	-0.022	-0.026	-0.163	1.166	"2"
"上半年"	0	1	0	0	0	0	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	0.766	-0.067	-0.016	-0.013	-0.082	-0.022	-0.026	-0.163	1.166	"2"
"上年"	0	4	0	0	0	0	0	0	0	0.101	0.686	0.575	0.143	0.12	0.69	0.2	0.234	1.251	-0.044	3.063	-0.27	-0.063	-0.053	-0.329	-0.089	-0.104	-0.652	4.667	"2"
"上扬"	1	0	0	0	0	0	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	1.598	-0.082	-0.067	-0.016	-0.013	-0.082	-0.022	-0.026	-0.163	2.069	"1"
"上海"	0	3	0	0	0	1	0	1	0	0.126	0.858	0.719	0.178	0.15	0.863	0.25	0.292	1.564	-0.055	1.416	-0.337	-0.079	-0.066	0.213	-0.112	0.585	-0.815	3.678	"2"
"上海市"	0	0	0	0	0	0	0	0	1	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	-0.082	-0.067	-0.016	-0.013	-0.082	-0.022	-0.026	0.505	0.824	"9"
"上涨"	5	0	0	0	0	0	0	0	0	0.126	0.858	0.719	0.178	0.15	0.863	0.25	0.292	1.564	7.991	-0.409	-0.337	-0.079	-0.066	-0.411	-0.112	-0.131	-0.815	10.351	"1"
"上游"	0	1	1	0	0	0	0	0	0	0.05	0.343	0.288	0.071	0.06	0.345	0.1	0.117	0.626	-0.022	0.504	0.574	-0.032	-0.026	-0.165	-0.045	-0.052	-0.326	1.746	"3"
"上策"	0	0	1	0	0	0	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	-0.082	0.842	-0.016	-0.013	-0.082	-0.022	-0.026	-0.163	1.257	"3"
"下跌"	0	0	1	0	0	0	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	-0.082	0.842	-0.016	-0.013	-0.082	-0.022	-0.026	-0.163	1.257	"3"
"下降"	0	3	2	0	0	0	0	0	0	0.126	0.858	0.719	0.178	0.15	0.863	0.25	0.292	1.564	-0.055	1.416	0.814	-0.079	-0.066	-0.411	-0.112	-0.131	-0.815	3.899	"2"
"不利"	0	0	0	0	0	1	0	0	1	0.05	0.343	0.288	0.071	0.06	0.345	0.1	0.117	0.626	-0.022	-0.163	-0.135	-0.032	-0.026	0.501	-0.045	-0.052	0.278	1.254	"6"
"不振"	0	0	1	0	0	0	1	0	0	0.05	0.343	0.288	0.071	0.06	0.345	0.1	0.117	0.626	-0.022	-0.163	0.574	-0.032	-0.026	-0.165	1.01	-0.052	-0.326	2.37	"7"
"不解"	0	0	0	0	0	1	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	-0.082	-0.067	-0.016	-0.013	0.763	-0.022	-0.026	-0.163	1.163	"6"
"不难"	0	0	0	0	0	1	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	-0.082	-0.067	-0.016	-0.013	0.763	-0.022	-0.026	-0.163	1.163	"6"
"专案"	0	0	1	0	0	0	3	0	0	0.101	0.686	0.575	0.143	0.12	0.69	0.2	0.234	1.251	-0.044	-0.327	0.335	-0.063	-0.053	-0.329	3.315	-0.104	-0.652	5.222	"7"
"世华银行"	0	0	0	0	0	1	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	-0.082	-0.067	-0.016	-0.013	0.763	-0.022	-0.026	-0.163	1.163	"6"
"世界"	0	0	0	0	0	1	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	-0.082	-0.067	-0.016	-0.013	0.763	-0.022	-0.026	-0.163	1.163	"6"
"业"	0	8	1	0	0	0	0	0	5	0.353	2.401	2.013	0.499	0.419	2.417	0.701	0.817	4.379	-0.155	3.076	-0.419	-0.221	-0.185	-1.152	-0.312	-0.366	0.339	6.225	"2"
"业相"	0	1	0	0	0	0	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	0.766	-0.067	-0.016	-0.013	-0.082	-0.022	-0.026	-0.163	1.166	"2"
"业者"	0	0	0	0	0	0	1	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	-0.082	-0.067	-0.016	-0.013	-0.082	1.3	-0.026	-0.163	1.76	"7"
"东北"	0	0	0	0	0	1	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	-0.082	-0.067	-0.016	-0.013	0.763	-0.022	-0.026	-0.163	1.163	"6"
"东南"	0	0	0	1	0	0	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	-0.082	-0.067	1.448	-0.013	-0.082	-0.022	-0.026	-0.163	1.914	"4"
"东莞"	0	0	1	0	0	0	0	0	1	0.05	0.343	0.288	0.071	0.06	0.345	0.1	0.117	0.626	-0.022	-0.163	0.574	-0.032	-0.026	-0.165	-0.045	-0.052	0.278	1.357	"3"
"丧失"	0	1	0	0	0	0	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	0.766	-0.067	-0.016	-0.013	-0.082	-0.022	-0.026	-0.163	1.166	"2"
"个人电脑"	0	0	1	0	0	0	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	-0.082	0.842	-0.016	-0.013	-0.082	-0.022	-0.026	-0.163	1.257	"3"
"中华"	0	0	0	0	0	1	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	-0.082	-0.067	-0.016	-0.013	0.763	-0.022	-0.026	-0.163	1.163	"6"
"中华民国"	0	0	0	0	0	2	0	0	0	0.05	0.343	0.288	0.071	0.06	0.345	0.1	0.117	0.626	-0.022	-0.163	-0.135	-0.032	-0.026	1.526	-0.045	-0.052	-0.326	2.327	"6"
"中县"	0	0	0	0	0	1	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	-0.082	-0.067	-0.016	-0.013	0.763	-0.022	-0.026	-0.163	1.163	"6"
"中国"	0	5	0	5	1	16	0	0	1	0.706	4.803	4.026	0.999	0.837	4.833	1.403	1.635	8.758	-0.311	0.269	-1.888	2.544	0.242	5.644	-0.625	-0.731	-3.423	15.677	"6"
"中国时报"	0	0	0	0	0	0	0	0	1	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	-0.082	-0.067	-0.016	-0.013	-0.082	-0.022	-0.026	0.505	0.824	"9"
"中型"	0	1	0	0	0	0	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	0.766	-0.067	-0.016	-0.013	-0.082	-0.022	-0.026	-0.163	1.166	"2"
"中小"	0	0	1	0	0	0	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	-0.082	0.842	-0.016	-0.013	-0.082	-0.022	-0.026	-0.163	1.257	"3"
"中小企业"	0	0	0	0	0	0	2	0	0	0.05	0.343	0.288	0.071	0.06	0.345	0.1	0.117	0.626	-0.022	-0.163	-0.135	-0.032	-0.026	-0.165	2.6	-0.052	-0.326	3.521	"7"
"中小型"	0	1	0	0	0	0	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	0.766	-0.067	-0.016	-0.013	-0.082	-0.022	-0.026	-0.163	1.166	"2"
"中心主"	0	0	0	0	0	0	0	0	1	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	-0.082	-0.067	-0.016	-0.013	-0.082	-0.022	-0.026	0.505	0.824	"9"
"中新"	0	0	0	0	1	0	0	0	0	0.025	0.172	0.144	0.036	0.03	0.173	0.05	0.058	0.313	-0.011	-0.082	-0.067	-0.016	1.524	-0.082	-0.022	-0.026	-0.163	1.993	"5"
"中西部"	0	0	2	0	0	1	0	0	0	0.076	0.515	0.431	0.107	0.09	0.518	0.15	0.175	0.938	-0.033	-0.245	1.251	-0.047	-0.04	0.363	-0.067	-0.078	-0.489	2.613	"3"
