"Coll_Word"	"1"	"2"	"3"	"4"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"SumAbsDev"	"LargestDev"
"首映"	0	1	0	0	0.424	0.185	0.104	0.287	-0.24	0.733	-0.047	-0.147	1.167	"2"
"首航"	0	0	0	1	0.424	0.185	0.104	0.287	-0.24	-0.089	-0.047	0.541	0.917	"4"
"马哈迪"	0	0	0	1	0.424	0.185	0.104	0.287	-0.24	-0.089	-0.047	0.541	0.917	"4"
"马宝山"	0	0	0	1	0.424	0.185	0.104	0.287	-0.24	-0.089	-0.047	0.541	0.917	"4"
"马路"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"驯象员"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"驱车"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"驻伊"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"骨气"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"高中"	0	0	1	4	2.12	0.925	0.518	1.437	-1.198	-0.444	0.376	1.58	3.598	"4"
"高涨"	0	0	0	1	0.424	0.185	0.104	0.287	-0.24	-0.089	-0.047	0.541	0.917	"4"
"鲜艳"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"鸡"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"黄剑平"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"黄永宏"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"龚瑶敏"	0	1	0	0	0.424	0.185	0.104	0.287	-0.24	0.733	-0.047	-0.147	1.167	"2"
