"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"SumAbsDev"	"LargestDev"
"书"	0	1	0	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	0.415	-0.027	-0.014	-0.073	-0.141	0.712	"2"
"书记"	1	1	0	0	0	0	0.185	0.769	0.121	0.062	0.309	0.554	0.753	0.207	-0.054	-0.027	-0.146	-0.282	1.469	"1"
"了"	0	9	0	0	0	0	0.834	3.459	0.546	0.278	1.39	2.492	-0.38	3.738	-0.245	-0.123	-0.656	-1.267	6.409	"2"
"争"	0	1	0	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	0.415	-0.027	-0.014	-0.073	-0.141	0.712	"2"
"争端"	0	0	0	0	0	1	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	-0.073	0.558	0.925	"6"
"事迹"	0	2	0	0	0	0	0.185	0.769	0.121	0.062	0.309	0.554	-0.084	0.831	-0.054	-0.027	-0.146	-0.282	1.424	"2"
"事项"	0	1	0	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	0.415	-0.027	-0.014	-0.073	-0.141	0.712	"2"
"二轮制"	0	0	0	0	0	1	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	-0.073	0.558	0.925	"6"
"互利"	0	1	0	0	0	5	0.556	2.306	0.364	0.185	0.927	1.662	-0.253	-0.588	-0.163	-0.082	-0.437	2.124	3.647	"6"
"互动"	0	0	0	0	2	2	0.371	1.537	0.243	0.124	0.618	1.108	-0.169	-0.843	-0.109	-0.055	0.938	0.512	2.626	"5"
"互补"	0	0	0	0	0	1	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	-0.073	0.558	0.925	"6"
"五四"	1	0	0	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	1.033	-0.211	-0.027	-0.014	-0.073	-0.141	1.499	"1"
"井浚泓"	0	1	0	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	0.415	-0.027	-0.014	-0.073	-0.141	0.712	"2"
"亚洲盃"	0	0	0	0	1	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	0.811	-0.141	1.246	"5"
"亚裔"	0	1	0	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	0.415	-0.027	-0.014	-0.073	-0.141	0.712	"2"
"交往"	0	0	1	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	1.217	-0.014	-0.073	-0.141	1.698	"3"
"交易"	0	0	0	0	0	2	0.185	0.769	0.121	0.062	0.309	0.554	-0.084	-0.421	-0.054	-0.027	-0.146	1.115	1.847	"6"
"交易所"	0	2	0	0	0	0	0.185	0.769	0.121	0.062	0.309	0.554	-0.084	0.831	-0.054	-0.027	-0.146	-0.282	1.424	"2"
"交流"	0	0	0	1	1	1	0.278	1.153	0.182	0.093	0.463	0.831	-0.127	-0.632	-0.082	1.046	0.403	0.206	2.496	"4"
"交由"	0	0	0	0	1	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	0.811	-0.141	1.246	"5"
"交集"	0	0	1	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	1.217	-0.014	-0.073	-0.141	1.698	"3"
"产业"	0	0	0	0	0	7	0.649	2.69	0.425	0.216	1.081	1.939	-0.296	-1.475	-0.19	-0.095	-0.51	3.903	6.469	"6"
"产业性"	0	0	0	0	1	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	0.811	-0.141	1.246	"5"
"产学"	0	0	0	0	0	1	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	-0.073	0.558	0.925	"6"
"产销"	0	0	0	0	0	1	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	-0.073	0.558	0.925	"6"
"享受"	1	0	0	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	1.033	-0.211	-0.027	-0.014	-0.073	-0.141	1.499	"1"
"亲"	0	1	0	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	0.415	-0.027	-0.014	-0.073	-0.141	0.712	"2"
"亲切"	1	0	0	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	1.033	-0.211	-0.027	-0.014	-0.073	-0.141	1.499	"1"
"亲职教育"	0	1	0	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	0.415	-0.027	-0.014	-0.073	-0.141	0.712	"2"
"人"	0	1	0	0	1	1	0.278	1.153	0.182	0.093	0.463	0.831	-0.127	-0.174	-0.082	-0.041	0.403	0.206	1.033	"5"
"人力"	0	0	0	0	0	1	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	-0.073	0.558	0.925	"6"
"人员"	0	3	0	0	0	0	0.278	1.153	0.182	0.093	0.463	0.831	-0.127	1.246	-0.082	-0.041	-0.219	-0.422	2.137	"2"
"人心"	0	1	0	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	0.415	-0.027	-0.014	-0.073	-0.141	0.712	"2"
"人性化"	0	0	0	0	1	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	0.811	-0.141	1.246	"5"
"人才"	0	0	0	0	1	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	0.811	-0.141	1.246	"5"
"人民"	0	1	0	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	0.415	-0.027	-0.014	-0.073	-0.141	0.712	"2"
"人气"	0	0	0	0	1	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	0.811	-0.141	1.246	"5"
"人物"	0	1	0	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	0.415	-0.027	-0.014	-0.073	-0.141	0.712	"2"
"人道"	0	1	0	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	0.415	-0.027	-0.014	-0.073	-0.141	0.712	"2"
"什么"	0	3	0	0	0	0	0.278	1.153	0.182	0.093	0.463	0.831	-0.127	1.246	-0.082	-0.041	-0.219	-0.422	2.137	"2"
"今日"	1	1	0	0	0	0	0.185	0.769	0.121	0.062	0.309	0.554	0.753	0.207	-0.054	-0.027	-0.146	-0.282	1.469	"1"
"从中"	0	1	0	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	0.415	-0.027	-0.014	-0.073	-0.141	0.712	"2"
"他们"	0	4	0	0	0	0	0.371	1.537	0.243	0.124	0.618	1.108	-0.169	1.661	-0.109	-0.055	-0.292	-0.563	2.849	"2"
"代管"	0	0	0	0	2	0	0.185	0.769	0.121	0.062	0.309	0.554	-0.084	-0.421	-0.054	-0.027	1.622	-0.282	2.49	"5"
"代表"	1	3	0	0	0	0	0.371	1.537	0.243	0.124	0.618	1.108	0.492	0.792	-0.109	-0.055	-0.292	-0.563	2.303	"2"
"令"	0	1	0	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	0.415	-0.027	-0.014	-0.073	-0.141	0.712	"2"
"以"	0	8	0	0	0	0	0.742	3.075	0.485	0.247	1.236	2.216	-0.338	3.322	-0.217	-0.109	-0.583	-1.127	5.696	"2"
"以为"	0	2	0	0	0	0	0.185	0.769	0.121	0.062	0.309	0.554	-0.084	0.831	-0.054	-0.027	-0.146	-0.282	1.424	"2"
"以利"	0	0	0	0	1	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	0.811	-0.141	1.246	"5"
"以前"	0	1	0	0	0	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	0.415	-0.027	-0.014	-0.073	-0.141	0.712	"2"
"以往"	0	0	0	0	2	0	0.185	0.769	0.121	0.062	0.309	0.554	-0.084	-0.421	-0.054	-0.027	1.622	-0.282	2.49	"5"
"们"	0	4	0	0	0	0	0.371	1.537	0.243	0.124	0.618	1.108	-0.169	1.661	-0.109	-0.055	-0.292	-0.563	2.849	"2"
"仿照"	0	0	0	0	1	0	0.093	0.384	0.061	0.031	0.154	0.277	-0.042	-0.211	-0.027	-0.014	0.811	-0.141	1.246	"5"
"企业"	0	0	2	0	0	8	0.927	3.843	0.607	0.309	1.545	2.769	-0.422	-2.106	0.922	-0.136	-0.729	3.053	7.368	"6"
