"top20dca_collo"	"cluster"	"concept"
"设备 电子 技术 生产 机械 系统 先进  企业 套 及 仪器 使用 配备 安装 美元 管理 网路 通信 通讯"	2	"apparatus_02727825-n"
"内 世界 米 天线 全国 一定 保护区 全 前方 施工 其 更 公尺 域名 平方公里 许可 全球 各自 合理 展开"	1	"area_field_14514039-n"
"合作 两国 与 在 加强 交流 关系 国 经贸 双方 开展 友好 各 经济 双边 个 政治 不断 发展 促进"	2	"area_field_14514039-n"
"扩大 适用 审计 纳入 规范 逐步 古籍 条例 认股权 不得 不断 三十六 凭证 列报 列管 原先 发放 娱乐税 布局 年资"	3	"area_field_14514039-n"
"研究 技术 投资 等 服务 专业 生物 科研 领域 产业 基因 突破 高技术 从事 我国 产品 传统 信息 医药 商业"	4	"area_field_14514039-n"
"广 大 比赛 学者 马来人 取得 层次 强度 有所 训练 超越 限于 属于 举行 之内 交通 列入 垄断 安排 引爆"	5	"area_field_14514039-n"
"支 国军 武警 军官 组成 空军 作战 官兵 演习 装备 军人 前 陆军 军队 名 战备 海军 总司令 联合 司令"	1	"army_08191230-n"
"建设 民防 现代化 友好 思想 总医院 国防 医务 拥有 改革 消防车 蛙泳 人民 中国 防 两国 关心 加强 医院 地方军团"	2	"army_08191230-n"
"以色列 美国 说 巴勒斯坦 ) 已 巴勒斯坦人 : 人士 快讯 新华社 约旦河 车臣 5日 俄 俄罗斯 冲突 炸弹 中共 加沙地带"	3	"army_08191230-n"
"维 派遣 驻 和 阿富汗 刚果 联合国 向 国际 金 派 北约 利比 西共体 里亚 伊拉克 呼吁 喀布尔 巴基斯坦 驻扎"	4	"army_08191230-n"
"美军 特种 伊拉克 武装 警察 地面 美英 巴格达 伊 部队 联军 拉克 附近 控制 士兵 增派 萨达姆 克里特 占领 打死"	5	"army_08191230-n"
"表演 观众 节目 场 演出 得 现场 电影 吸引 电视 台 能 掌声 觉得 比赛 看 演员 观看 下 不少"	1	"audience_08222293-n"
"》 《 刊登 版 交流 投函 贵 报 4日 ： ！ 先生 留言 编辑 18日 23日 函 投 表格 5月"	2	"audience_08222293-n"
"我们 读者 本报 反映 如果 早报 ： ？ 书 谢谢 意见 感谢 报纸 法律 照片 通知 提供 作品 所 电话"	3	"audience_08222293-n"
"种 等 违法 犯罪 规范 任何 打击 违规 暴力 行为 恐怖 行政 规定 从事 依法 查处 腐败 违反 非法 社会"	1	"behavior_14008342-n"
"指数 整体 欠佳 不佳 季 股 股市 影响 经济 业绩 强劲 最佳 走势 仍 佳 信心 半 午盘 较 上柜"	2	"behavior_14008342-n"
"施政 竞争 举止 习惯 凶器 员工 影剧 忠诚 抵步 暴露 期 海派 消费 种种 铁汉 动物 网路 NA NA NA"	3	"behavior_14008342-n"
"不 得 好 不错 很 出色 感到 比赛 俗 队 理想 杰出 艺术 非常 优异 良好 同样 突出 领域 比"	4	"behavior_14008342-n"
"两 雷曼 农民 集团 「 姊妹 萨达姆 莱特 LehmanBrothers 」 洋房 董事长 飞机 黄金春 三 我们 兄弟 分析员 华纳 同排"	1	"brother_09876454-n"
"姐妹 之间 排行 当中 家 关系 感情 不只 中华民族 佬 同样 声援 头痛 女儿 家共有 小动 小康 属于 族 日以继夜"	2	"brother_09876454-n"
"哥哥 张国荣 唐唐 ， ！ 生前 放 灵位 情绪 乐坛 呀 唐生 喜欢 炮轰 病情 爱 寓所 Leon 丧事 亻"	3	"brother_09876454-n"
"我 他 弟弟 她 ， ： 岁 姐姐 因为 母亲 妈妈 妹妹 着 去 你 女童 姐 陈淑芬 当 死者"	4	"brother_09876454-n"
"角 五 美国 官员 联军 当天 证实 美军 巴格达 －－五 12日 2日 9日 下令 二零零一年 会 公布 利比 劫机 十一日"	1	"building_02913152-n"
"贷款 银行 公积金 偿还 利率 削减 应付 抵押 配套 房屋 112亿 业务部 交易 以往 仲介 价金 余额 保险 儿女债 减至"	2	"building_02913152-n"
"NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA"	3	"building_02913152-n"
"公司 汽车 中国 工业 市场 产业 有限公司 销售 燃料 生产 消费 集团 企业 通用 德国 制造商 大众 大宇 机械 电子"	1	"car_02958343-n"
"辆 北京 产量 停放 座位 手榴弹 撞 树枝 正本 炸药 金融公 停 停车场 路 司 过 运送 NA NA NA"	2	"car_02958343-n"
"， 炸弹 运输 车辆 爆炸 购置 ; 人员 公路 排放 进入 发生 交通 把 税 车道 进行 通行 事件 司机"	3	"car_02958343-n"
"联赛 美国 新加坡 篮球 球员 足球 生涯 NBA 冠军 前天 巡回赛 美 赛 世界 女子 选手 参加 76 公开赛 联电"	1	"career_00583246-n"
"个 等 行业 各 企业 影响 旅游 发展 沙斯 相关 投资 服务 协会 产品 部门 交通 标准 竞争 重点 电子"	2	"career_00583246-n"
"特殊 外交官 尊重 律师 设计 伤害 八大 动质处 医 医生 吭声 展现 技师 投诉者 报社 提倡 新闻 样本股 模 热忱"	3	"career_00583246-n"
"专业 教育 培训 人员 人士 技能 知识 训练 精神 高等 道德 交流 人才 医护 学位 学院 技术人员 硕士 考试 鉴定"	4	"career_00583246-n"
"起 件 违法 查处 犯罪 破获 共 职务 违纪 类 这 查获 其中 假币 走私 万 毒品 以上 立案 公安"	1	"case_suit_lawsuit_01182654-n"
"审理 法院 民事 纠纷 若干 著作权 法官 法律 律师 适用 诉讼 判决 被告 问题 作出 审判 审 法庭 受理 应用"	2	"case_suit_lawsuit_01182654-n"
"处理 检察官 刑事 性 贪污 侵害 盗窃 侦办 审计 抢劫 个别 复杂 惹上 类似 肇事 腐败 驾车 发生 引起 NA"	3	"case_suit_lawsuit_01182654-n"
"颁奖 金鹰 」 届 三楼 发明奖 台北市 大奖 当晚 影展 得奖 星光 榜 金像奖 金鹰奖 长 中华 台北 中央社 表扬"	1	"ceremony_07450842-n"
"国庆 升旗 活动 签约 启动 启用 国家 国军 奖 年 授旗 象征 门票 闭幕 NA NA NA NA NA NA"	2	"ceremony_07450842-n"
"开幕 主持 推介 陈 项 明天 致词 大会 论坛 饭店 世盟 全民 王世丰 研讨会 索罗门 自由日 计划 车厢 运动会 驻华"	3	"ceremony_07450842-n"
"出席 举行 交接 签字 仪式 隆重 纪念 就职 捐赠 揭幕 讲话 庆祝 协议 宗教 代表 发表 宣誓 欢迎 澳门 上"	4	"ceremony_07450842-n"
"发生 了 政治 深刻 格局 很 重大 世界 形势 经济 微妙 念 情势 戏剧性 成库 水质 市场 对比 NA NA"	1	"change_alteration_07296428-n"
"气候 公约 联合国 框架 全球 1997年 京都议定书 海牙 第六 缔约方 应对 8.6 准备工 变暖 地下水 地球 大气 履 工作组 植被"	2	"change_alteration_07296428-n"
"有 不会 政策 而 现状 立场 改变 或 因此 方式 必须 不能 任何 想 面貌 习惯 可能 因 基因 形象"	3	"change_alteration_07296428-n"
"巨大 出现 大 环境 适应 发展 局势 变化 密切 新 结构 不同 产生 幅度 消费 疫情 相比 气温 关系 市场"	4	"change_alteration_07296428-n"
"可 银行 香港 台湾 让 免费 吸引 应 服务 希望 对 游行 不要 民众 为了 呼吁 显示 注意 向 NA"	1	"citizen_09923673-n"
"群众 广大 当地 生活 健康 开展 灾区 安全 团体 各 宣传 帮助 意见 提高 生命 活动 受灾 基础 干部 水平"	2	"citizen_09923673-n"
"共和国 中华 中国 政府 《 国家 人民 和 国 最 全国 利益 共同 高 全体 法院 关于 总统 党 协会"	3	"citizen_09923673-n"
"名 公司 ， 女 银行 职员 该 新航 让 医院 酒店 位 向 其他 服务 提供 受 大使馆 工作 或"	1	"clerk_09928451-n"
"、 中共 中央 委 书记 市委 党委 委员 副 书记处 政治局 北京 县委 委副 常委 党组 支部 主任 全国 省长"	2	"clerk_09928451-n"
"下 没有 允许 入市 接收 道德 顽强 领先 NA NA NA NA NA NA NA NA NA NA NA NA"	1	"condition_13920835-n"
"NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA"	2	"condition_13920835-n"
"中心 统一 系统 部队 伊拉克 调度 美军 人员 控制 检察官 现场 指挥 地检署 指挥部 军事 下 作战 侦办 成立 领导"	1	"conductor_musicdirector_09952539-n"
"） （ 曼联 里 领队 ： 球季 队 说 弗格森 比赛 英格兰 表示 利物浦 球员 中场 主场 签下 米兰 英超"	2	"conductor_musicdirector_09952539-n"
"」 「 电影 《 》 导演 执导 片 香港 影片 李安 位 作品 她 演员 拍摄 部 剧本 影展 想"	3	"conductor_musicdirector_09952539-n"
"乐团 交响乐团 担任 团 演奏 由 团长 总监 率领 音乐会 合唱团 大师 客席 指挥家 . 工作 音乐 乐队 亚瑟 代表团"	4	"conductor_musicdirector_09952539-n"
"市场 激烈 公平 环境 国际 企业 与 促进 地位 公司 压力 竞争 行业 不利 力 加上 提升 更 未来 申办"	1	"contest_07456188-n"
"项 参加 女子 届 选手 体育 举办 乒乓球 本次 米 站 成绩 夺得 男子 主办 项目 大赛 枚 精彩 运动会"	2	"contest_07456188-n"
"场 轮 对手 主场 队 分 胜 赛季 最后 第二 局 球 联赛 首 这 第一 组 两 0 分钟"	3	"contest_07456188-n"
"达成 巴勒斯坦 以色列 停止 军控 路透 会谈 最终 谈判 克林顿 接近 终于 裁军 过渡期 阿塞拜疆 阿拉法 意向 巴 新华社 和平"	1	"contract_06520944-n"
"公司 工程 年 签定 美元 合同 签 元 外资 与 ） 新闻 亿 保险 金额 半导体 增长 或 服务 获得"	2	"contract_06520944-n"
"签订 合作 供电 推动 澳洲 投资 经济 墨西哥 7千 891014 一旦 一行 互免 互助 佛山 使用人员 保险费 出具 印 可行性"	3	"contract_06520944-n"
"签署 哈瓦那 泰美 协议 自由贸易区 从而 内战 双 开采 美罗 仪式 结束 石油 航运 项 根据 两国 NA NA NA"	4	"contract_06520944-n"
"贸易 自由 停火 协定 双边 达致 美国 国 和平 实施 有关 东盟 全面 框架 执行 遵守 》 新加坡 多边 合作"	5	"contract_06520944-n"
"她 学习 民俗 美术 表演 高超 传统 和 艺术 学生 工艺 文化 精湛 制作 大师 更 民间 类 知识 及"	1	"craftsmanship_05638063-n"
"以 采取 政治 暴力 来 解决 军事 恐怖 强硬 採取 非法 和平 诉诸 通过 主张 核 作为 外交 目的 一切"	2	"craftsmanship_05638063-n"
"新 技术 运用 利用 种 先进 采用 产品 提高 管理 生产 行政 、 法律 有效 等 经济 重要 用 做法"	3	"craftsmanship_05638063-n"
"、 管理局 中 监督 价格 等 用品 和 药品 医药 企业 卫生 食品 管理 上海 体制 家 物资 研发 福利"	1	"cure_04074482-n"
"治疗 诊断 预防 病人 种 药物 病毒 非典 方法 临床 艾滋病 患者 服用 抗 医 效果 疫苗 研究 疾病 进行"	2	"cure_04074482-n"
"医院 接受 目前 受伤 右膝 床位 病房 送入 送 正在 例 受 接 症 措施 经 经过 NA NA NA"	3	"cure_04074482-n"
"吃 医生 RU 换 滥用 管制 486 剂量 卖 含有 拿 试验所 送医 身体 品 急救 送 不得 依旧 农委会"	4	"cure_04074482-n"
"， 顾客 购买 让 吸引 选择 只 欢迎 优待 供 一些 上门 品牌 商家 来 餐馆 商品 买 折扣 能"	1	"customer_client_09984659-n"
"服务 公司 用户 银行 需求 客户 产品 手机 提供 系统 户 交易 业务 网络 使用 买卖 互联网 户头 满足 达"	2	"customer_client_09984659-n"
"物价 指数 信心 大幅 消费者 下跌 对 上涨 下降 预期 欧盟 上扬 下滑 前景 支出 显示 消费 价格 份 使"	3	"customer_client_09984659-n"
"保护 权益 行政院 协会 委员会 强化 投诉 维护 健康 不仅 保障 委员 收费 行为 广大 90％ 中药 保户 减缓 加州"	4	"customer_client_09984659-n"
"元 约 经济 亿 直接 达 至少 人民币 估计 美元 新元 金额 高达 农委会 四亿七千万 屏东 港元 灾 税收 美"	1	"damage_00403092-n"
"赔偿 蒙受 承担 万 惨重 较 停工 损失 风沙 责任 减少 依法 弥补 核四 受害人 听力 提列 湖北省 精神 调查"	2	"damage_00403092-n"
"受到 程度 安全 健康 人类 对 及 被 人民 毒品 致 不要 人体 利益 可 意外 权益 极 构成 组织"	3	"damage_00403092-n"
"造成 重大 财产 巨大 给 生命 经济 对 地震 成 严重 人员 在于 大火 无可 紫外线 股票 腐败 阿比 韩元"	4	"damage_00403092-n"
"里 过 我 好 我们 段 一段 着 得 很 那 好过 现在 日子 没有 ？ 这些 没 到来 家"	1	"date_15159583-n"
"： 时间 地点 ◆ （ 》 6月 30分 8月 星期六 4月 13日 呈献 5月 28日 26 至 . ⊙ 26日"	2	"date_15159583-n"
"截止 报名 22 入学 抽奖 测验 统一 认购 本 为 9月 明年 下 22日 二专 十九日 售股 四技 四月 星期三"	3	"date_15159583-n"
"日期 延后 三月 改 检验 间 未 起 具体 组屋 解约 选举 至 ︰ 公布 另行 完工 实施 敲定 止"	4	"date_15159583-n"
"新 经济 发展 进入 资讯 去年 知识经济 变迁 来临 精神 随着 非典 历史 革命 重要 困难 潮流 适应 同 快速"	1	"day_15249236-n"
"石器 遗址 战国 发现 墓葬 距 旧 东周 古 座 春秋 考古 公元前 发掘出 古人类 唐 宋 彦君 晚期 最早"	2	"day_15249236-n"
"一段 》 《 冷战 那 作品 广场 执政 长 特色 相当 青少年 不同 NA NA NA NA NA NA NA"	3	"day_15249236-n"
"银行 贷款 业务 商业 国有 消费 票据 行 华侨 业 利率 发放 合併 央行 执照 独资 表外 办理 务 开展"	1	"deal_01110274-n"
"交易 股票 证券 柜台 股市 佔 股 金额 买卖 定价 时间 全 客户 指出 暂停 水果 结算 天 笔 交易所"	2	"deal_01110274-n"
"， 公司 委员会 发展局 公平 有限公司 活动 一些 公会 航空 访问团 做 同业 洽谈会 价值 台北市 投入 毒品 热络 生意"	3	"deal_01110274-n"
"协定 自由 双边 谈判 多边 签署 贸易 亚欧 展开 新一轮 自由化 加强 建立 签订 国 日本 组织 伙 伴 加速"	4	"deal_01110274-n"
"对外 出口 增长 发展 美元 市场 经营 逆差 伙伴 与 中国 经济 欧盟 两岸 商品 投资 贸易 电子 加工 进一步"	5	"deal_01110274-n"
"种 出现 患者 因 人 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA"	1	"disease_14070360-n"
"管制局 美国 CDC 卫生署 疫情 ＳＡＲＳ 台北讯 小鼠 局 局长 苏益仁 病因 行政院 通报 防疫 SARS 专电 中西部 发佈 吴木桂"	2	"disease_14070360-n"
"控制 预防 中心 检疫 防治 应急 控 机制 网络 体系 流行病学 制 卫生部 卫生 主任 当地 监测 部门 专家 北京市"	3	"disease_14070360-n"
"巴 发生 以 以色列 暴力 武装 巴勒斯坦 流血 巴勒斯坦人 爆发 结束 受伤 造成 死亡 西岸 警察 事件 中 丧生 军队"	1	"dispute_07181935-n"
"引发 引起 参议院 水果行 立场 拼音 民进党 存在 一连串 一阵子 个人所得税 之于 侵犯 倒地 再度 加拿大 商标 喜 围绕 基于"	2	"dispute_07181935-n"
"解决 有 核四 问题 化解 法律 利益 两岸 政治 不休 搁置 法院 矛盾 调处 协商 劳资 非洲 争议 总统 中央社"	3	"dispute_07181935-n"
"今天 一时 二时 六时 五时 零时 三十分 三时 火警 四时 台北 花莲 三十 警方 报案 二十分 分局 勤务 十一时 台南市"	1	"early_morning_hour_15169136-n"
"1时 2时 左右 4时 3时 5时 当地 6时 8时 淮河 分 15分 水位 死者 地点 12时 开闸 晚 波道 王家坝"	2	"early_morning_hour_15169136-n"
"美军 当天 发生 昨天 时分 袭击 土耳其 突袭 3月 投案 萨达姆 抵达 巴格达 地震 嫌犯 爆炸 3日 20日 九月 军"	3	"early_morning_hour_15169136-n"
"气象局 明天 天气 预报 发佈 就 后天 时间 今夜 明夜 点 新加坡 每 （ 30分 天 ） 风暴 皇马 第二"	4	"early_morning_hour_15169136-n"
"和 科技 学习 普及 卫生 防治 知识 宣传 管理 专业 基本 非典 了解 培训 教育 技能 内容 提高 经验 计算机"	1	"education_05984287-n"
"只有 韩国队 充 出线 发达 取胜 获得 这样 NA NA NA NA NA NA NA NA NA NA NA NA"	2	"education_05984287-n"
"后 必须 确定 进入 决定 得 需 到达 执照 之后 先 正式 符合 还要 制裁 厨余 彻底 无虞 生效 申报"	3	"education_05984287-n"
"需要 真正 发挥 使 更 要 得到 动议 唯有 大 有效 学到 这样 NA NA NA NA NA NA NA"	4	"education_05984287-n"
"新 知识经济 发展 经济 潮流 主义 来临 挑战 随着 精神 时期 信息 全球化 进步 需要 革命 变迁 文化 重要 21世纪"	1	"era_15248564-n"
"石器 旧 遗址 发现 距 公元 墓葬 明清 今 古 建筑 战国 明 春秋 清 青铜 座 东汉 古墓 夏"	2	"era_15248564-n"
"》 《 杂志 周刊 新闻网 有线电视 民调 布希 丰碑 为荣 写出 出版 刊物 友协 双证 发行量 奥中 引经据典 提及 文星"	3	"era_15248564-n"
"个 过去 战争 非典 华纳 进入 一段 广场 段 苏联 那 最 今后 最好 艰难 长 以来 和平 不同 了"	4	"era_15248564-n"
"新 我 让 封装 次 体能 新科 了解 她 将 想 有益 他们 去 我们 一些 东西 大胆 手术 改革"	1	"experiment_00785959-n"
"临床 鼠 疫苗 基因 研究 动物 中 治疗 结果 种 科学家 细胞 药物 发现 人员 人体 疗法 病毒 表明 小组"	2	"experiment_00785959-n"
"发射 系统 进行 卫星 试验 科学 测试 火箭 飞行 技术 空间 阶段 项 完成 计划 三峡 导弹 成果 标准 核"	3	"experiment_00785959-n"
"基础 建设 项目 产业 西部 投入 开发 滞 资源 充实 内需 加大 升级 国债 奥运会 康福 开发区 教育 步伐 边防"	1	"facility_03315023-n"
"及 设备 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA"	2	"facility_03315023-n"
"权力 机构 精神 巴 团结 巴勒斯坦 和解 阿拉法特 主席 发展 人民 解放 国家 共同 尊严 独立 统一 伟大 实现 进步"	1	"family_07970721-n"
"少数 民族 文化 历史 传统 表演 届 运动会 体育 宁夏 艺术 本 各 乐团 展示 服装 特色 风情 人口 作为"	2	"family_07970721-n"
"他 与 我 你 她 都 朋友 自己 家人 和 给 回家 家 打电话 担心 去 为了 儿子 哥哥 孩子"	3	"family_07970721-n"
"家属 罹难者 及 新航 向 名 表示 死者 人员 并 慰问 协助 提供 要求 其 他们 病人 赔偿 乘客 哀悼"	4	"family_07970721-n"
"比赛 们 队员 队 中国队 场 球 年轻 都 参加 赛 老 表现 上场 分钟 前 国家队 对方 战术 几"	1	"fellow_member_10307234-n"
"名 伊拉克 组织 团 回教 哈马斯 5 登山队 组 祈祷 回祈团 安理会 拘捕 敢死队 派别 董事会 阿拉伯 联合国 萨达姆 韩"	2	"fellow_member_10307234-n"
"会员 元 家族 家庭 公积金 其他 学会 投资 提取 电话 各 团体 工会 集团 15 专家组 义务 会馆 及其 多数"	3	"fellow_member_10307234-n"
"内阁 协会 小组 代表团 大会 委员会 会议 全体 理事会 包括 欧盟 人选 加入 成为 世贸组织 WTO 谈判 代表 APEC 任"	4	"fellow_member_10307234-n"
"“ ” 是 」 为 「 大 演讲 会议 讨论 今年 公园 活动 学生 次 届 主题 设计 大型 报道"	1	"field_05996646-n"
"合作 两国 关系 双方 交流 友好 各 不断 与 经贸 文化 加强 发展 国 进一步 在 新 中非 深化 等"	2	"field_05996646-n"
"、 研究 投资 科学 等 服务 专业 产品 重要 技术 信息 外商 应用 开放 涉及 产业 学术 工业 生命 生物"	3	"field_05996646-n"
"中毒 民工 苏州 疾病 事件 乘客 伤寒 引发 引起 起 重大 集体 初步 116 一起 乌克兰 事故处 传染病 儿童 出院"	1	"food_nutrient_00021265-n"
"吃 爱 避免 多 夹 御寒 维他命 绿孔雀 及 喝 富含 蔬菜 冰箱 进食 适量 甚至 饮食 NA NA NA"	2	"food_nutrient_00021265-n"
"食物 基因 改造 % 或 跌 动物 营养 卫生 太 接触 转基因 把 消费者 进口 选择 检验 援助 摄取 NA"	3	"food_nutrient_00021265-n"
"换 石油 计划 联合国 划 期限 伊 计 出口 负责人 管理 中断 代管 代管期 伊拉克人 划下 改成 根据 签订 终止"	4	"food_nutrient_00021265-n"
"药品 管理局 药物 监督 批准 中药 卫生部 抽查 放心 和 局 暨 负责人 NA NA NA NA NA NA NA"	5	"food_nutrient_00021265-n"
"、 食品 加工 等 工业 制造业 有机 饮料 生产 农业 经营 行业 公司 有限公司 罐头 产品 传统 加工业 原料 大众"	6	"food_nutrient_00021265-n"
"中非 经合 太平洋 论坛 亚太 亚洲 岛国 合作 博鳌 部长级 会议 成员国 龙永图 2000年 经济 国际组 宣言 秘书长 －－ 成立"	1	"forum_08309754-n"
"举办 」 学术 专题 两岸 暨 主办 开幕 科技 九时 经验 ” 中医药 此次 “ 世纪 西部 「 研讨会 2000"	2	"forum_08309754-n"
"举行 召开 上 学者 出席 代表 强调 邀请 中央 理论 参加 中共 今天 -- 工作 时 纪念 讲话 委员 就"	3	"forum_08309754-n"
"巴 以 以色列 暴力 流血 巴勒斯坦 结束 武装 中东 死亡 巴勒斯坦人 丧生 爆发 冲突 呼吁 尽快 以来 造成 地区 停止"	1	"friction_13981137-n"
"发生 激烈 中秋 使得 反核 可能性 房东 枪 父亲 星 警方 NA NA NA NA NA NA NA NA NA"	2	"friction_13981137-n"
"因 吕秀莲 英国 起 介入 佛州 副总统 总统 新新闻 次 这 绯闻 著作权 邻里 化解 纠纷 法律 引发 案件 一起"	3	"friction_13981137-n"
"解决 和 矛盾 利益 种 宗教 层次 深 通过 方 之间 民族 双方 农村 加剧 存在 一些 突出 协议 争端"	4	"friction_13981137-n"
"年 几 内 5 天 五 预计 数 月 周 估计 10 受访者 展 据悉 施政 流域 海口市 里 预言"	1	"future_15121625-n"
"如何 再 不会 我们 能 会 做 因应 欧盟 若 走向 预见 NA NA NA NA NA NA NA NA"	2	"future_15121625-n"
"将 发展 两岸 关系 合作 方向 加强 成为 两国 弹性 竞争 韩日 表示 仍 NA NA NA NA NA NA"	3	"future_15121625-n"
"干部 工作 小组 市 基层 级 领导 县 班子 要 党政 成立 有关 制度 市委 市政府 带头 建立 深入 省"	1	"head_chief_10162991-n"
"会议 会晤 举行 上 巴 出席 阿拉伯 中东 方 问题 非正式 首脑 次 欧盟 多边 成员国 国家 结束 召开 达成"	2	"head_chief_10162991-n"
"下 党 . 以色列 位 政治 伊拉克 领袖 人民 同 中央 新 会见 反对党 访问 中国 NA NA NA NA"	3	"head_chief_10162991-n"
"， 在 时 到 从 她 装修 买 附近 房子 看 经纪 里 警方 回返 外 把 昨天 自己 组屋"	1	"house_03544360-n"
"栋 住宅 户 建筑 地震 平方米 人口 劳工 造成 办公 小区 拆除 损坏 面积 万 信义 倒塌 受 国民 开"	2	"house_03544360-n"
"贷款 抵押 增加 银行业 个人 银行 房地产 购 助学 屋主 信贷 利率 固定 贷 ; 占 另 或 NA NA"	3	"house_03544360-n"
"私人 住房 和 市场 、 价格 消费 购买 补贴 商品 汽车 项目 军官 制度 部长 家庭 房地产 改革 ﹑ 土地"	4	"house_03544360-n"
"， 她 丈夫 着 妻子 后 孩子 与 少妇 当 你 好 婚姻 女儿 太太 家庭 带 指 母亲 因为"	1	"husband_10193967-n"
"说 先生 陈 李 王 刘 孙中山 ： 黄 ） 读者 张 报 来到 许 位 叶 编辑 贵 钱"	2	"husband_10193967-n"
"重要 和 个 ” 代表 工作 思想 政治 贯彻 学习 要 实践 坚持 指导 党 江泽民 理论 提高 中央 作风"	1	"idea_thought_05833840-n"
"对 问题 提出 他 一致 表达 指出 发表 专家 表示 认为 不一 不过 两岸 总统 意见 一些 上述 共识 听取"	2	"idea_thought_05833840-n"
"不同 改变 这 从 有 种 自己 我 个人 创意 来 」 观点 了 学生 看 错误 以 NA NA"	3	"idea_thought_05833840-n"
"化 产业 发展 台湾 技术 传统 新 投资 科技 结构 政策 经营 高科技 大陆 农业 环境 高新 高 外移 促进"	1	"industry_00923444-n"
