,_id,lemma,newspaper,region,formality,_cws.model,_ctxt.model,model.x,model.y,cluster,inout
任意球/N/XIN_CMN_19990630_wpr/81176,任意球/N/XIN_CMN_19990630_wpr/81176,任意球,XIN,Mainland,quality,利用/V;日本队/N;附近/N;直接/V;一/N;次/N;禁区/N;追平/V;分/V;上场/V;场/N;替补/V,"""<small>和 前锋 奥尔森 5 分钟 内 连 下 两 城</small> 。 <u>日本队</u><sup>3.14</sup> 虽然 <u>利用</u><sup>3.12</sup> <u>一</u><sup>1.482</sup> <u>次</u><sup>1.979</sup> <u>禁区</u><sup>6.345</sup> <u>附近</u><sup>1.771</sup> 的 <u>直接</u><sup>3.99</sup> <span class='target'>任意球</span> , <u>替补</u><sup>4.252</sup> <u>上场</u><sup>3.183</sup> 的 三浦 宏 <u>分</u><sup>2.824</sup> <u>追平</u><sup>3.769</sup> , <u>场</u><sup>3.027</sup> <small>上 形势 秘鲁队 有利 , 终场 前 10 分钟 奥尔森</small>""",1.09052836269655,-2.79962356775874,NA,NA
任意球/N/XIN_CMN_20040719_wpr/73026,任意球/N/XIN_CMN_20040719_wpr/73026,任意球,XIN,Mainland,quality,一/N;粒/N;脚/N;锁定/V;诺/F;胜局/N;阿根廷队/N,"""<small>攻入 了 他 美洲 杯赛 上 的 第一 粒 进球</small> , 这 <u>粒</u><sup>3.866</sup> 堪称 <u>一</u><sup>1.482</sup> <u>脚</u><sup>4.883</sup> 定 乾坤 的 经典 <span class='target'>任意球</span> , 为 <u>阿根廷队</u><sup>4.104</sup> <u>锁定</u><sup>2.85</sup> 了 <u>胜局</u><sup>4.713</sup> , 同时 索拉 <u>诺</u><sup>1.976</sup> <small>率领 的 东道主 秘鲁队 淘汰 出局 。 ( 国际 )</small>""",-0.114747220164168,-4.55554263028177,NA,NA
自由球/N/CNA_CMN_19980622_wpr/7527,自由球/N/CNA_CMN_19980622_wpr/7527,自由球,CNA,Taiwan,quality,一/N;记/N;后卫/N;前锋/N;才/D,"""<small>德国队 到 下 半 场 比赛 过半 之后 , 南斯拉夫</small> 的 <u>后卫</u><sup>4.852</sup> 不慎 大 摆乌龙 , 德国 的 <u>一</u><sup>1.283</sup> <u>记</u><sup>6.04</sup> <span class='target'>自由球</span> 撞入 , 德国队 <u>才</u><sup>1.205</sup> 甦醒 , 奋起 追 , <u>前锋</u><sup>4.386</sup> <small>比尔霍夫 至 七十九 分钟 队友 助攻 下 , 起脚 入网</small>""",-3.82843199814896,-5.22310945279845,NA,NA
自由球/N/CNA_CMN_19911116_wpr/62243,自由球/N/CNA_CMN_19911116_wpr/62243,自由球,CNA,Taiwan,quality,码/N;门/N;罚/V;前/N;队/N;号/N;头/N,"""<small>。 上 半 场 开赛 二十二 分钟 , 挪威队 犯规</small> , 大陆队 挪 <u>队</u><sup>1.902</sup> <u>门</u><sup>3.043</sup> <u>前</u><sup>1.467</sup> 右方 十多 <u>码</u><sup>6.425</sup> <u>罚</u><sup>4.935</sup> <span class='target'>自由球</span> 吊 中 , 大陆队 三 <u>号</u><sup>2.741</sup> 马莉 跃起 <u>头</u><sup>2.128</sup> 槌 <small>入网 , 首开 纪录 , 这 是 本 届 赛会</small>""",5.23767453534532,5.18984218554278,NA,NA
任意球/N/XIN_CMN_19980712_wpr/44529,任意球/N/XIN_CMN_19980712_wpr/44529,任意球,XIN,Mainland,quality,大门/N;出色/V;助攻/V;点球/N,"""<small>的 第一 人选 。 作为 守门员 的 奇拉维特 , 不但</small> <u>大门</u><sup>4.491</sup> 看 死 , <u>助攻</u><sup>4.078</sup> 时有 <u>出色</u><sup>1.951</sup> 表现 。 “ <span class='target'>任意球</span> 和 <u>点球</u><sup>4.304</sup> 专家 ” 的 美称 无 疑为 他 加入 <small>这 个 “ 梦 之 队 ” 加 了 轻</small>""",-1.07563750346542,1.50061739125578,NA,NA
自由球/N/CNA_CMN_20020531_wpr/79087,自由球/N/CNA_CMN_20020531_wpr/79087,自由球,CNA,Taiwan,quality,我/N;时/N;结束/N;三十/N;踢出/V;二十/N;我/N,"""<small>自己 准备 充分 , 如今 我 参与 练球 。 每</small> 次 练球 <u>结束</u><sup>1.891</sup> <u>时</u><sup>1.87</sup> <u>我</u><sup>1.165</sup> <u>踢出</u><sup>6.816</sup> <u>二十</u><sup>2.739</sup> 到 <u>三十</u><sup>1.961</sup> 个 <span class='target'>自由球</span> 。 先前 因为 受伤 , <u>我</u><sup>1.165</sup> 降低 平日 的 额 <small>度 。 」 910531 中国 大陆 幼儿园 十一万多 所 (</small>""",-2.78091910600996,1.40855305109807,NA,NA
任意球/N/XIN_CMN_20040717_wpr/40974,任意球/N/XIN_CMN_20040717_wpr/40974,任意球,XIN,Mainland,quality,巴林队/N;任意球/N;踢出/V;一/N;前/N;场/N;获得/V;巴林队/N;解围/N;中国队/N;脚/N;球/N,"""<small>海 换下 邵佳一 。 终场 前 两 分钟 时 ,</small> <u>巴林队</u><sup>5.028</sup> <u>获得</u><sup>3.084</sup> <u>一</u><sup>1.482</sup> 个 <u>前</u><sup>2.638</sup> <u>场</u><sup>3.027</sup> <u>任意球</u><sup>6.118</sup> 。 阿德南 <u>踢出</u><sup>7.148</sup> <span class='target'>任意球</span> , <u>中国队</u><sup>3.354</sup> 周挺 大 <u>脚</u><sup>4.883</sup> <u>解围</u><sup>5.423</sup> , <u>球</u><sup>4.787</sup> 外围 <u>巴林队</u><sup>5.028</sup> <small>队员 得到 , 传给 前 场 的 阿里 。 中国队</small>""",-2.52310640525725,1.76613072889596,NA,NA
自由球/N/CNA_CMN_20000524_wpr/124819,自由球/N/CNA_CMN_20000524_wpr/124819,自由球,CNA,Taiwan,quality,号/N;球/N;获得/V;零/N;二/N;一/N;清台/N,"""<small>零 遥遥领先 , 第五 局 林英雅 虽然 漂亮 地 灌进</small> 三 <u>号</u><sup>2.741</sup> <u>球</u><sup>4.254</sup> , 但 不慎 母球洗袋 , 柳信美 <u>获得</u><sup>2.163</sup> <span class='target'>自由球</span> 后 <u>一</u><sup>1.283</sup> 桿 <u>清台</u><sup>7.845</sup> , 五 <u>零</u><sup>3.01</sup> 直落 <u>二</u><sup>1.584</sup> 盘 <small>赢得 冠军 。 亚军 林英雅 奖金 十五万 元 , 季军</small>""",6.58723972489651,-4.30736999729633,1,out
任意球/N/XIN_CMN_20010825_wpr/22135,任意球/N/XIN_CMN_20010825_wpr/22135,任意球,XIN,Mainland,quality,分钟/N;祁宏/N;第33/N;时/N;分/V;中国队/N;添/V;志毅/N;范/N;补射/V;头/N;郝海东/N;球/N;得分/N,"""<small>路 一 脚 精准 的 传 中 , 祁 宏抢点</small> 为 <u>中国队</u><sup>3.354</sup> <u>添</u><sup>3.149</sup> <u>分</u><sup>2.824</sup> ; <u>第33</u><sup>4.847</sup> <u>分钟</u><sup>5.116</sup> <u>时</u><sup>1.807</sup> , <u>祁宏</u><sup>5.666</sup> <span class='target'>任意球</span> , <u>范</u><sup>2.811</sup> <u>志毅</u><sup>6.545</sup> <u>头</u><sup>3.62</sup> <u>球</u><sup>4.787</sup> 摆 , <u>郝海东</u><sup>4.972</sup> <u>补射</u><sup>6.44</sup> <u>得分</u><sup>4.657</sup> <small>。 下 半 时 双方 更换 了 一些 队员 ,</small>""",-1.33550990747597,-0.686668799803524,NA,NA
任意球/N/XIN_CMN_19970327_wpr/15790,任意球/N/XIN_CMN_19970327_wpr/15790,任意球,XIN,Mainland,quality,外/N;队友/N;一/N;左侧/N;记/N;对方/N;禁区/N;入球/N;下/V;一/N;城/N;抽射/V;脚/N,"""<small>分钟 时 有效 的 把握 了 机会 , 12 号</small> 纪 玉杰接 <u>队友</u><sup>4.741</sup> <u>对方</u><sup>4.876</sup> <u>左侧</u><sup>6.218</sup> <u>禁区</u><sup>6.345</sup> <u>外</u><sup>1.437</sup> 的 <u>一</u><sup>1.482</sup> <u>记</u><sup>5.268</sup> <span class='target'>任意球</span> <u>脚</u><sup>4.883</sup> <u>抽射</u><sup>5.584</sup> , <u>下</u><sup>2.635</sup> <u>一</u><sup>1.482</sup> <u>城</u><sup>2.427</sup> 。 第二 个 <u>入球</u><sup>4.194</sup> <small>是 比赛 进行到 第六十六 分钟 时 , 8 号 张军</small>""",-1.37602269406951,5.14597070899649,NA,NA
