,_id,lemma,newspaper,region,formality,_cws.model,_ctxt.model,model.x,model.y,cluster,inout
门将/N/CNA_CMN_20020328_wpr/102017,门将/N/CNA_CMN_20020328_wpr/102017,门将,CNA,Taiwan,quality,英格兰队/N;杀入/V;替补/N;带/V;禁区/N;球/N;主罚/V;十二码球/N;扑倒/V;詹姆斯/N;机会/N,"""<small>为 义大利队 扳回 分 。 这 位 罗马 队 小将</small> 伤停补 时 阶段 <u>带</u><sup>1.554</sup> <u>球</u><sup>4.436</sup> <u>杀入</u><sup>4.234</sup> <u>禁区</u><sup>5.143</sup> , <u>英格兰队</u><sup>3.704</sup> <u>替补</u><sup>5.424</sup> <span class='target'>门将</span> <u>詹姆斯</u><sup>3.755</sup> <u>扑倒</u><sup>6.83</sup> 地 , 得到 <u>主罚</u><sup>5.957</sup> <u>十二码球</u><sup>5.475</sup> <u>机会</u><sup>2.359</sup> , 使 <small>义大利队 终场 二 一 获胜 。 英格兰队 教练 艾利克森 说</small>""",-1.07986965287232,2.85120870891859,NA,NA
门将/N/XIN_CMN_19950224_wpr/778,门将/N/XIN_CMN_19950224_wpr/778,门将,XIN,Mainland,quality,分钟/N;第八十八/N;2/N;香港队/N;开出/V;队友/N;大脚/N;中场/N;头/N;球门球/N;顶/N;球/N,"""<small>休息 后 , 香港队 球员 获罚点球 机会 , 分 扳成</small> <u>2</u><sup>1.286</sup> : <u>2</u><sup>1.286</sup> 平 。 <u>第八十八</u><sup>4.544</sup> <u>分钟</u><sup>3.642</sup> 时 , <u>香港队</u><sup>2.424</sup> <span class='target'>门将</span> <u>大脚</u><sup>5.51</sup> <u>开出</u><sup>2.127</sup> <u>球门球</u><sup>7.364</sup> , <u>队友</u><sup>3.593</sup> <u>中场</u><sup>5.012</sup> <u>头</u><sup>1.964</sup> <u>球</u><sup>4.436</sup> <u>顶</u><sup>2.558</sup> 偏 <small>, 韩国队 崔龙洙 截球 后 上演 了 开赛 以来 最为</small>""",-1.76548427488296,1.75405720032128,NA,NA
门将/N/CNA_CMN_20041122_wpr/140318,门将/N/CNA_CMN_20041122_wpr/140318,门将,CNA,Taiwan,quality,分钟/N;开赛/N;对方/N;场/N;阿根廷/N;入网/N;僵局/N;突破/N;第一时间/N,"""<small>双方 战成 O O 的 僵局 。 不过 下 半</small> <u>场</u><sup>1.665</sup> <u>开赛</u><sup>1.924</sup> 三十 <u>分钟</u><sup>3.642</sup> 后 , <u>阿根廷</u><sup>1.645</sup> 的 贾西亚 <u>对方</u><sup>4.51</sup> <span class='target'>门将</span> 护球 及 <u>第一时间</u><sup>2.888</sup> 抢攻 <u>入网</u><sup>5.62</sup> , <u>突破</u><sup>1.852</sup> <u>僵局</u><sup>1.31</sup> 之后 , <small>阿根廷 把握 机会 进 两 球 , 最 后 三</small>""",-3.60667011105564,0.805803177481732,NA,NA
门将/N/CNA_CMN_20020927_wpr/175398,门将/N/CNA_CMN_20020927_wpr/175398,门将,CNA,Taiwan,quality,足球/N;巴西/N;最好/V;马可斯/N;表现/N;世界盃/N,"""<small>样 , 不仅 脾气 大 , 身体 胖 , 球技</small> 荒疏 了 。 公认为 <u>巴西</u><sup>1.861</sup> 甚至 世界 <u>最好</u><sup>1.305</sup> 的 <u>足球</u><sup>1.51</sup> <span class='target'>门将</span> 之 一 , <u>马可斯</u><sup>7.29</sup> 的 <u>表现</u><sup>2.739</sup> <u>世界盃</u><sup>2.202</sup> 期间 发挥 极致 <small>。 但 回到 国内 后 , 这 位 巴西队 和</small>""",5.17701861134587,-1.48842230232613,NA,NA
守门员/N/XIN_CMN_19991114_wpr/61345,守门员/N/XIN_CMN_19991114_wpr/61345,守门员,XIN,Mainland,quality,分钟/N;日本队/N;被动/V;但/C;射中/V;射门/V;失误/N;机会/N;获得/V,"""<small>菲 律 宾队 显得 军无 斗志 , 全 场 处于</small> <u>被动</u><sup>1.931</sup> 地位 , 第6 7 <u>分钟</u><sup>3.769</sup> 时 , 由于 <u>日本队</u><sup>3.199</sup> <span class='target'>守门员</span> 的 <u>失误</u><sup>4.111</sup> <u>获得</u><sup>1.078</sup> 一 次 <u>射门</u><sup>5.797</sup> <u>机会</u><sup>2.548</sup> , <u>但</u><sup>1.099</sup> <u>射中</u><sup>4.11</sup> <small>。 日本队 是 第二 个 进入 半 决赛 的 队伍</small>""",-1.65629286838526,1.65790150913106,NA,NA
门将/N/XIN_CMN_20020624_wpr/67820,门将/N/XIN_CMN_20020624_wpr/67820,门将,XIN,Mainland,quality,门将/N;有力/V;韩国队/N;德国队/N;卡恩/N;有力/V,"""<small>巴西队 的 里 瓦尔多 和 罗纳尔 是 “ 金靴奖 ”</small> 最 <u>有力</u><sup>1.252</sup> 的 竞争者 ; <u>韩国队</u><sup>2.619</sup> <u>门将</u><sup>5.082</sup> 李 云 <u>德国队</u><sup>3.69</sup> <span class='target'>门将</span> <u>卡恩</u><sup>6.957</sup> 是 “ 雅辛奖 ” 最 <u>有力</u><sup>1.252</sup> 的 竞争者 。 <small>美 发明 硅片 上 制造 更 精细 结构 新 技术</small>""",3.14516128884363,-2.70814146118146,6,in
守门员/N/XIN_CMN_20020307_wpr/30917,守门员/N/XIN_CMN_20020307_wpr/30917,守门员,XIN,Mainland,quality,妙传/N;门/N;接/V;球门/N;奔/V;前/N;球/N;胯/N;网窝/N;思/V;下/N,"""<small>困 得 水泄不通 。 开场 只有 5 分钟 , 体育队</small> 的 塞尔希奥 <u>接</u><sup>2.452</sup> <u>妙传</u><sup>5.309</sup> <u>奔</u><sup>3.058</sup> <u>门</u><sup>3.018</sup> , <u>球门</u><sup>5.778</sup> <u>前</u><sup>1.41</sup> <u>球</u><sup>4.774</sup> <span class='target'>守门员</span> 的 <u>胯</u><sup>6.157</sup> <u>下</u><sup>1.235</sup> 推进 <u>网窝</u><sup>6.4</sup> 。 任何 <u>思</u><sup>1.099</sup> 想 负担 <small>的 体育队 踢 妙 , 进退 自如 , 配合 默契</small>""",-3.99247593734289,2.66521934425651,2,in
守门员/N/XIN_CMN_19990425_wpr/11990,守门员/N/XIN_CMN_19990425_wpr/11990,守门员,XIN,Mainland,quality,祁宏/N;晃过/V;成功/V;替补/N;越位/V;禁区/N;国安队/N;分钟/N;刘新伟/N;入/V;死角/N;球踢/N,"""<small>最 低 纪录 。 第八十五 分钟 , 申花队 9 号</small> <u>祁宏</u><sup>4.877</sup> <u>越位</u><sup>5.606</sup> <u>成功</u><sup>1.364</sup> , 在 <u>禁区</u><sup>5.394</sup> 内 <u>晃过</u><sup>7.38</sup> <u>国安队</u><sup>4.085</sup> <u>替补</u><sup>5.119</sup> <span class='target'>守门员</span> <u>刘新伟</u><sup>7.766</sup> , <u>球踢</u><sup>6.03</sup> <u>入</u><sup>1.884</sup> 左下 <u>死角</u><sup>3.594</sup> 。 第十三 <u>分钟</u><sup>3.769</sup> , <small>国安队 后卫 回传球 失误 , 申花队 4 号 吴 单人</small>""",-3.33646154149145,3.42538024285607,NA,NA
守门员/N/CNA_CMN_20020820_wpr/131798,守门员/N/CNA_CMN_20020820_wpr/131798,守门员,CNA,Taiwan,quality,分钟/N;半/N;场/N;英格/N;错误/N;判断/N;轻松/V,"""<small>澳洲 , 如果 销住 英格兰 前锋 前 进度 , 中华队</small> 周旋 ; 不过 , 上 <u>半</u><sup>2.017</sup> <u>场</u><sup>2.056</sup> 二十 <u>分钟</u><sup>3.769</sup> 因为 <span class='target'>守门员</span> 黄凤秋 的 <u>判断</u><sup>2.847</sup> <u>错误</u><sup>1.916</sup> , 让 <u>英格</u><sup>3.844</sup> 兰 <u>轻松</u><sup>3.458</sup> 突围 <small>, 攻进 第一 球 ; 张耀川 指出 , 这 个</small>""",-0.08748413264766,-0.152855272633503,NA,NA
门将/N/XIN_CMN_20031206_wpr/33297,门将/N/XIN_CMN_20031206_wpr/33297,门将,XIN,Mainland,quality,落在/V;守门/N;发/N;机会/N;守门/N,"""<small>的 身体 测试 而 定 。 如果 不成 , 那么</small> <u>守门</u><sup>5.417</sup> 重任 <u>落在</u><sup>2.639</sup> 经验 欠缺 埃勒 加德身 上 。 该 <span class='target'>门将</span> 目前 一共 获得 两 次 首 <u>发</u><sup>2.231</sup> <u>机会</u><sup>2.359</sup> , <u>守门</u><sup>5.417</sup> <small>能力 让 人 放心 。 城队 最近 战绩 糟糕 ,</small>""",1.4975126614394,3.64216998069813,NA,NA
