0.011198294,No.,Variety,Item,Causation,Cr,CrLocus,CrSynt,CrSem,CrPers,CrDef,CrIntent,ModalVerb,CseModality,CseAdverb,CseAdv,CseNeg,Ce,CeSynt,CeSem,CePers,CeDef,CeControl,CeRole,CsedModalVerb,CsedModality,CsedAdverb,CsedAdv,CsedNeg,CrCeCoref,Pred,PredSynt,PredSem,CsedProsody,CsedSemS,CsedSemT,Structure,ClauseType
0.817271379,440,ml,shi,yes,公司,distant,cl,event,3,def,intent,NA,none,NA,none,no,NA,np,anim,3,def,yes,agent,NA,none,NA,none,no,yes,形成,trans,telic,pstv,phy,social,mul,advbl
0.336399061,1244,sg,rang,yes,NA,distant,cl,event,3,def,intent,NA,none,NA,none,no,NA,np,anim,3,indef,yes,agent,可以,ability,NA,none,no,no,进行,trans,atelic,ntrl,social,social,sg,advbl
0.559702594,275,ml,rang,yes,NA,distant,cl,event,3,def,intent,NA,none,NA,none,no,NA,pron,anim,3,def,no,patient,NA,none,NA,none,yes,no,受…干扰,trans,atelic,ntrl,phy,phy,sg,advbl
0.04350716,459,ml,shi,yes,美国机构投资者,distant,cl,event,3,indef,intent,NA,none,NA,none,no,NA,np,inanim,3,def,no,theme,NA,none,更加,degree,no,no,诱人,adj,state,pstv,phy,social,sg,advbl
0.383268044,728,tw,shi,yes,NA,implicit,cl,event,na,na,intent,NA,none,NA,none,no,NA,pron,event,3,def,no,patient,NA,none,顺利,manner,no,no,进行,intrans,atelic,pstv,social,social,mul,advbl
0.657068913,390,sg,shi,yes,新加坡反应过敏,distant,cl,event,3,def,unintent,NA,none,NA,none,no,NA,np,inanim,3,indef,no,patient,NA,none,NA,none,no,no,受到,trans,telic,neg,social,social,sg,advbl
0.461283881,518,ml,shi,yes,特区政府,distant,np,anim,3,def,intent,NA,none,NA,none,no,NA,np,anim,3,indef,yes,agent,NA,none,NA,none,no,no,有,trans,telic,pstv,social,social,sg,advbl
0.581124342,518,tw,rang,yes,NA,distant,cl,anim,3,def,intent,NA,none,NA,none,no,NA,np,anim,3,indef,yes,expcer,能,ability,亲身,manner,no,no,体验,trans,atelic,pstv,ment,ment,sg,advbl
0.734098576,528,tw,rang,yes,NA,distant,cl,inanim,3,indef,intent,NA,none,NA,none,no,NA,np,inanim,3,indef,yes,agent,NA,none,NA,none,no,no,喝,trans,telic,ntrl,phy,phy,sg,advbl
0.79149162,569,tw,rang,yes,NA,distant,cl,event,3,def,intent,NA,none,NA,none,no,NA,np,inanim,3,def,no,theme,NA,none,NA,none,no,no,保持,trans,state,pstv,phy,phy,sg,advbl
0.933896139,553,ml,shi,yes,猛虎组织,distant,cl,event,3,def,intent,NA,none,NA,none,no,NA,np,anim,3,def,yes,agent,NA,none,尽快,time,no,yes,恢复,trans,telic,ntrl,social,social,sg,advbl
0.204789209,485,sg,shi,yes,布什政府,distant,cl,event,na,na,unintent,NA,none,也,range,no,NA,np,event,3,def,no,patient,NA,none,NA,none,no,no,升级,intrans,atelic,neg,phy,social,sg,advbl
0.499145171,330,ml,rang,yes,NA,distant,cl,event,3,def,intent,NA,none,NA,none,no,NA,np,inanim,3,indef,no,patient,NA,none,NA,none,no,no,融入,trans,telic,pstv,phy,social,sg,advbl
0.959665292,200,tw,shi,yes,內政部,distant,cl,event,3,def,intent,NA,none,NA,none,no,NA,np,inanim,3,def,no,agent,NA,none,顺利,manner,no,no,招商,intrans,atelic,pstv,social,social,sg,advbl
0.741914285,223,tw,shi,yes,NA,distant,cl,event,3,def,intent,NA,none,NA,none,no,NA,np,anim,3,indef,no,befry,NA,none,NA,none,no,no,接軌,trans,telic,pstv,phy,social,mul,advbl
0.376291192,687,tw,rang,yes,NA,adjacent,np,anim,3,def,intent,能,ability,NA,none,no,NA,np,anim,3,def,no,expcer,NA,none,NA,none,no,no,看到,trans,telic,pstv,phy,social,sg,advbl
0.827656837,494,sg,shi,yes,陆路交通管理局,distant,cl,event,3,def,intent,NA,none,NA,none,no,NA,np,inanim,3,def,no,theme,NA,none,更,degree,no,no,畅通,adj,state,pstv,phy,social,sg,advbl
0.94276996,588,ml,shi,yes,NA,implicit,cl,event,na,na,intent,NA,none,NA,none,no,NA,np,event,3,indef,no,theme,NA,none,更加,degree,no,no,合理和科学,adj,state,pstv,social,social,sg,advbl
0.04719352,589,ml,shi,yes,NA,implicit,cl,event,na,na,intent,NA,none,NA,none,no,NA,np,anim,3,def,no,expcer,NA,none,NA,none,no,no,掌握,trans,telic,pstv,phy,social,mul,advbl
0.785873693,702,sg,ling,yes,NA,distant,vp,event,na,na,unintent,NA,none,NA,none,no,NA,np,anim,3,indef,yes,agent,NA,none,积极,manner,no,no,自我提升,intrans,atelic,pstv,social,social,sg,advbl
0.103953946,625,ml,shi,yes,伊朗,distant,cl,event,3,def,intent,NA,none,NA,none,no,NA,np,anim,3,def,yes,agent,NA,none,全面,degree,no,no,了解和核实,trans,telic,pstv,ment,social,sg,advbl
0.024602783,629,ml,shi,yes,美国,distant,cl,event,3,def,intent,NA,none,NA,none,no,NA,np,anim,3,def,no,expcer,NA,none,NA,none,no,no,产生,trans,telic,neg,phy,social,sg,advbl
0.533079824,258,tw,shi,yes,NA,implicit,na,na,na,na,intent,NA,none,NA,none,no,NA,np,inanim,3,def,no,patient,NA,none,NA,none,no,no,弄出,trans,telic,ntrl,phy,social,sg,advbl
0.776728704,796,tw,rang,yes,NA,distant,cl,event,3,def,intent,NA,none,NA,none,no,NA,np,inanim,3,def,no,theme,NA,none,NA,none,no,no,同步,intrans,state,pstv,phy,social,sg,advbl
0.640452295,257,tw,shi,yes,賽先生也就是科學和德先生也就是民主兩者必需要齊頭並進,adjacent2,cl,event,na,na,intent,才能够,ability,NA,none,no,NA,np,anim,3,indef,no,theme,NA,none,NA,none,no,no,繁荣富强,adj,state,pstv,social,social,sg,advbl
0.000310501,818,tw,rang,yes,警方,distant,cl,event,3,def,intent,NA,none,NA,none,no,國慶焰火試放過程,np,event,3,def,no,theme,NA,none,NA,none,no,no,顺利,adj,state,pstv,phy,phy,sg,advbl
0.610930653,819,tw,rang,yes,NA,distant,cl,event,3,def,intent,NA,none,NA,none,no,NA,np,event,3,def,no,theme,NA,none,NA,none,no,no,盡善盡美,idiom,state,pstv,social,social,sg,advbl
0.99066904,850,tw,rang,yes,部分志工,distant,cl,event,3,indef,intent,NA,none,NA,none,no,NA,np,inanim,3,def,no,theme,可以,ability,NA,none,no,no,常在,intrans,state,pstv,phy,phy,sg,advbl
0.753704333,720,sg,ling,yes,他,distant,cl,event,3,def,unintent,NA,none,NA,none,no,NA,np,inanim,3,def,no,theme,NA,none,十分,degree,no,no,混乱,adj,state,neg,phy,social,sg,advbl
0.100340078,545,sg,shi,yes,刘晓安,distant,cl,event,3,def,intent,NA,none,NA,none,no,NA,np,inanim,3,def,no,patient,NA,none,NA,none,no,no,派上,trans,telic,pstv,social,social,sg,advbl
0.536555563,653,ml,shi,yes,塞浦路斯议会,distant,cl,event,3,def,unintent,NA,none,NA,none,no,塞浦路斯,np,anim,3,def,no,theme,NA,none,NA,none,no,no,成为,copula,telic,ntrl,social,social,sg,advbl
0.274130568,876,tw,rang,yes,NA,implicit,na,na,na,na,intent,NA,none,NA,none,no,NA,np,anim,3,indef,yes,agent,NA,none,安心、開心的,manner,no,no,工作,intrans,atelic,pstv,social,social,sg,advbl
0.492862202,924,tw,rang,yes,NA,distant,cl,event,3,def,intent,NA,none,NA,none,no,NA,np,anim,3,indef,yes,expcer,NA,none,NA,none,no,no,品嚐,trans,atelic,pstv,phy,phy,sg,advbl
0.472593191,955,tw,rang,yes,企畫,distant,np,inanim,3,def,unintent,会,poss,NA,none,no,大家,np,anim,3,indef,no,expcer,NA,none,NA,none,no,no,惊喜,adj,state,pstv,ment,ment,sg,advbl
0.841183159,554,sg,shi,yes,台湾,distant,np,anim,3,def,intent,NA,none,NA,none,no,NA,np,anim,3,indef,no,agent,无法,ability,NA,none,yes,no,进入,trans,telic,ntrl,phy,phy,sg,advbl
0.139701236,1598,sg,rang,yes,NA,distant,cl,event,3,def,intent,NA,none,NA,none,no,NA,np,anim,3,def,yes,agent,NA,none,彻底,degree,no,no,断绝,trans,telic,ntrl,phy,social,sg,advbl
0.662597934,789,sg,ling,yes,NA,adjacent2,cl,event,na,na,unintent,NA,none,NA,none,no,NA,np,anim,3,indef,yes,agent,NA,none,恶意,manner,no,no,散布,trans,atelic,neg,phy,social,sg,advbl
0.529852338,395,ml,rang,yes,NA,distant,cl,event,3,def,unintent,NA,none,NA,none,no,NA,np,anim,3,indef,no,patient,NA,none,NA,none,no,no,受到,trans,telic,ntrl,social,social,sg,advbl
0.848298903,407,ml,rang,yes,NA,implicit,cl,event,na,na,intent,NA,none,NA,none,no,NA,np,anim,3,indef,yes,agent,能,ability,更好地,manner,no,no,学到,trans,telic,pstv,ment,ment,sg,advbl
0.277172207,588,sg,shi,yes,《联合早报》,distant,cl,event,3,def,intent,NA,none,NA,none,no,NA,np,anim,3,indef,yes,agent,NA,none,NA,none,no,no,建立,trans,telic,pstv,phy,ment,sg,advbl
0.240891596,1064,tw,rang,yes,NA,distant,cl,event,3,def,intent,NA,none,NA,none,no,NA,np,anim,3,def,no,befry,NA,none,NA,none,no,no,有,trans,telic,pstv,social,social,sg,advbl
0.765190829,1075,tw,rang,yes,NA,distant,np,anim,3,def,intent,NA,none,NA,none,no,NA,np,inanim,3,def,no,befry,NA,none,早日,time,no,yes,擺脫,trans,telic,pstv,social,social,sg,advbl
0.937945685,603,sg,shi,yes,几名新买球员,adjacent2,cl,event,na,na,unintent,NA,none,NA,none,no,NA,pron,anim,3,def,no,befry,NA,none,NA,none,no,no,得,trans,telic,ntrl,social,social,sg,advbl
0.899791166,324,tw,shi,yes,美國,distant,cl,event,3,def,intent,NA,none,NA,none,no,NA,np,event,3,indef,no,patient,能够,ability,NA,none,no,no,开展,intrans,telic,ntrl,social,social,sg,advbl
0.90743849,672,sg,shi,yes,各藏书者，爱书者,distant,cl,event,3,indef,intent,NA,none,NA,none,no,NA,np,inanim,3,indef,no,theme,NA,none,更,degree,no,no,丰富,adj,state,pstv,phy,social,sg,advbl
0.376203467,329,tw,shi,yes,展場,implicit,cl,event,na,na,intent,NA,none,NA,none,no,NA,np,inanim,3,indef,no,patient,NA,none,NA,none,no,no,接轨,intrans,telic,pstv,phy,social,sg,advbl
0.453790407,2041,sg,rang,yes,NA,implicit,cl,event,na,na,intent,要,incl,NA,none,no,NA,np,anim,3,indef,yes,agent,NA,none,NA,none,no,no,回到,trans,telic,ntrl,phy,social,sg,advbl
0.34495275,2046,sg,rang,yes,NA,distant,pron,anim,3,def,intent,NA,none,NA,none,no,NA,np,inanim,3,def,no,theme,NA,none,NA,none,no,no,撞向,trans,telic,ntrl,phy,phy,sg,advbl
0.615524277,2049,sg,rang,yes,NA,distant,cl,event,na,na,unintent,NA,none,NA,none,no,NA,np,anim,3,def,yes,agent,NA,none,NA,none,no,no,挺进,intrans,atelic,pstv,phy,social,sg,advbl
0.475795183,342,tw,shi,yes,市府,distant,cl,event,3,def,intent,NA,none,NA,none,no,NA,np,inanim,3,def,no,patient,NA,none,彻底,degree,no,no,改頭換面,idiom,telic,pstv,phy,social,sg,advbl
0.386019406,1219,tw,rang,yes,NA,adjacent2,cl,event,na,na,unintent,NA,none,NA,none,no,NA,np,anim,3,indef,yes,agent,可以,ability,更精確,manner,no,no,掌握,trans,telic,pstv,phy,social,mul,advbl
0.977798818,2107,sg,rang,yes,NA,adjacent,np,anim,3,indef,unintent,NA,none,已,time,no,NA,np,anim,3,indef,no,befry,NA,none,NA,none,no,no,学会,trans,telic,ntrl,social,social,sg,advbl
0.711855195,279,ml,ling,yes,NA,adjacent2,cl,event,na,na,unintent,NA,none,NA,none,no,NA,np,anim,3,indef,no,expcer,NA,none,NA,none,yes,no,不胜其烦,idiom,state,neg,ment,ment,sg,advbl
0.082221117,2130,sg,rang,yes,NA,distant,cl,event,3,def,intent,NA,none,NA,none,no,NA,np,anim,3,indef,yes,befry,NA,none,NA,none,no,no,掌握,trans,telic,pstv,phy,social,mul,advbl
0.362275877,852,ml,shi,yes,NA,implicit,cl,event,na,na,intent,NA,none,NA,none,no,NA,np,inanim,3,def,no,patient,NA,none,NA,none,no,no,恢复,trans,telic,pstv,phy,phy,sg,advbl
0.279505554,1255,tw,rang,yes,NA,distant,cl,event,3,def,intent,NA,none,NA,none,no,NA,np,anim,3,indef,no,befry,NA,none,NA,none,no,no,有,trans,telic,pstv,phy,social,sg,advbl
0.571616249,873,ml,shi,yes,他们,distant,vp,event,3,def,intent,NA,none,NA,none,no,NA,np,inanim,3,def,no,theme,NA,none,更加,degree,no,no,美丽,adj,state,pstv,phy,phy,sg,advbl
0.883111675,872,ml,shi,yes,我们,distant,vp,event,1,def,intent,NA,none,NA,none,no,我们的国家,np,anim,3,def,no,theme,NA,none,NA,none,no,no,成为,copula,telic,pstv,social,social,sg,advbl
0.622444476,1295,tw,rang,yes,NA,distant,cl,event,1,def,intent,NA,none,NA,none,no,NA,np,anim,3,def,no,patient,NA,none,早日,time,no,no,正常化,intrans,telic,pstv,social,social,mul,advbl
0.555434255,383,tw,shi,yes,NA,implicit,vp,event,na,na,intent,NA,none,NA,none,no,NA,np,inanim,3,def,no,theme,NA,none,更加,degree,no,no,光明,adj,state,pstv,phy,social,sg,advbl
0.321776191,543,ml,rang,yes,NA,implicit,na,na,na,na,intent,要,incl,NA,none,no,NA,np,inanim,3,indef,no,patient,NA,none,NA,none,no,no,发挥,trans,atelic,ntrl,social,social,sg,advbl
0.962729948,891,ml,shi,yes,新加坡人,distant,cl,event,3,indef,intent,要,incl,NA,none,no,NA,np,inanim,3,def,no,befry,NA,none,NA,none,no,no,获得,trans,telic,pstv,social,social,sg,advbl
0.938176549,391,tw,shi,yes,NA,distant,vp,event,3,def,intent,NA,none,NA,none,no,NA,np,anim,3,indef,no,befry,NA,none,更,degree,no,no,具,trans,state,pstv,phy,social,mul,advbl
0.614667509,893,ml,shi,yes,NA,adjacent,np,inanim,3,def,unintent,NA,none,NA,none,no,NA,np,anim,3,indef,no,expcer,NA,none,NA,none,no,no,增强了,trans,atelic,pstv,ment,social,sg,advbl
0.362133114,894,ml,shi,yes,最新公布的经济数据,adjacent,np,inanim,3,def,unintent,NA,none,NA,none,no,投资者,np,anim,3,indef,no,expcer,NA,none,大大,degree,no,no,增强,intrans,atelic,pstv,ment,social,sg,advbl
0.293779955,860,sg,shi,yes,昂贵的律师费,adjacent2,cl,event,na,na,unintent,NA,none,更,degree,no,NA,np,anim,3,indef,no,befry,NA,none,NA,none,no,no,百上加斤,idiom,state,neg,phy,social,sg,advbl
0.710580321,2534,sg,rang,yes,NA,implicit,cl,event,na,na,intent,NA,none,NA,none,no,NA,np,anim,3,indef,no,befry,NA,none,NA,none,no,no,获得,trans,telic,pstv,social,social,sg,advbl
0.863684957,2546,sg,rang,yes,NA,distant,cl,event,3,def,intent,NA,none,NA,none,no,NA,np,anim,3,indef,yes,agent,能,ability,更灵活地,manner,no,no,安排,trans,atelic,pstv,phy,social,sg,advbl
0.079077096,2574,sg,rang,yes,NA,implicit,na,na,na,na,intent,NA,none,NA,none,no,NA,np,inanim,3,def,no,patient,NA,none,NA,none,no,no,贬值,intrans,atelic,ntrl,social,social,sg,advbl
0.122830793,902,sg,shi,yes,NA,implicit,na,na,na,na,intent,要,incl,NA,none,no,NA,np,inanim,3,def,no,patient,NA,none,NA,none,no,no,走软,intrans,atelic,ntrl,phy,social,sg,advbl
0.933423358,928,sg,shi,yes,NA,distant,cl,event,3,def,intent,NA,none,NA,none,no,NA,np,anim,3,indef,yes,expcer,NA,none,NA,none,no,no,熟悉,trans,telic,pstv,ment,ment,mul,advbl
0.133040475,1419,tw,rang,yes,NA,implicit,vp,event,na,na,intent,NA,none,NA,none,no,NA,np,anim,3,indef,yes,expcer,NA,none,NA,none,no,no,尝试,trans,atelic,pstv,phy,ment,sg,advbl
0.204761057,2620,sg,rang,yes,我们,implicit,cl,event,na,na,intent,要,incl,NA,none,no,早报,np,anim,3,def,no,theme,NA,none,更,degree,no,no,强大,adj,state,pstv,phy,social,sg,advbl
0.536134037,2652,sg,rang,yes,NA,distant,cl,event,3,def,intent,NA,none,NA,none,no,NA,np,anim,3,indef,yes,expcer,NA,none,NA,none,no,no,有,trans,state,ntrl,ment,social,sg,advbl
0.449771347,437,tw,shi,yes,金車,distant,np,anim,3,def,intent,NA,none,NA,none,no,NA,np,anim,3,indef,yes,agent,NA,none,NA,none,no,no,接触,trans,atelic,pstv,phy,social,sg,advbl
0.770040263,571,ml,rang,yes,NA,distant,cl,event,3,def,intent,NA,none,NA,none,no,NA,np,anim,3,indef,yes,expcer,NA,none,NA,none,no,no,了解,trans,telic,pstv,ment,social,sg,advbl
0.468538641,441,tw,shi,yes,泛綠社團,distant,cl,event,3,indef,intent,NA,none,NA,none,no,NA,np,event,3,def,no,patient,NA,none,顺畅,manner,no,no,进行,intrans,atelic,pstv,phy,social,sg,advbl
0.052660413,596,ml,rang,yes,通过服刑人员和家人面对面的交流,adjacent2,cl,event,na,na,unintent,可以,ability,NA,none,no,NA,np,anim,3,indef,yes,expcer,NA,none,充分,degree,no,no,感受,trans,state,pstv,ment,ment,sg,advbl
