0.011198294,No.,Variety,Item,Causation,CrLocus,CrSynt,CrSem,CrPers,CrDef,CrIntent,ModalVerb,CseModality,CseAdverb,CseAdv,CseNeg,CeSynt,CeSem,CePers,CeDef,CeControl,CeRole,CsedModalVerb,CsedModality,CsedAdverb,CsedAdv,CsedNeg,CrCeCoref,Pred,PredSynt,PredSem,CsedProsody,CsedSemS,CsedSemT,Structure,ClauseType
0.199287901,374,ml,shi,yes,distant,cl,event,3,indef,intent,NA,none,NA,none,no,np,anim,3,def,no,befry,NA,none,????_,time,no,no,??__,trans,telic,pstv,social,social,sg,advbl
0.64885052,280,sg,shi,yes,implicit,na,na,na,na,unintent,NA,none,NA,none,yes,np,anim,3,def,no,patient,NA,none,NA,none,no,no,___,copula,telic,neg,phy,social,sg,advbl
0.097345365,365,ml,shi,yes,distant,np,anim,3,indef,intent,NA,none,NA,none,no,np,inanim,3,def,no,patient,NA,none,NA,none,no,no,_??,trans,telic,pstv,social,social,sg,advbl
0.973409239,282,sg,shi,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,anim,3,def,no,befry,NA,none,NA,none,no,no,_,trans,telic,pstv,phy,social,sg,advbl
0.655210653,288,sg,shi,yes,distant,cl,event,3,def,unintent,NA,none,NA,none,yes,np,inanim,3,def,no,theme,NA,none,NA,none,no,no,_??_,intrans,atelic,neg,phy,phy,sg,advbl
0.369895755,945,sg,rang,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,anim,3,def,no,expcer,NA,none,NA,none,no,no,_??_,trans,telic,pstv,ment,ment,sg,advbl
0.70447687,400,tw,rang,yes,distant,np,anim,3,def,intent,NA,none,NA,none,no,np,anim,3,indef,yes,expcer,NA,none,NA,none,no,no,??__,trans,atelic,pstv,ment,ment,sg,advbl
0.009328971,402,tw,rang,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,anim,3,indef,yes,expcer,NA,none,NA,none,no,no,_??,trans,telic,ntrl,ment,social,sg,advbl
0.809152444,309,sg,shi,yes,distant,cl,event,3,def,intent,NA,none,??__,time,no,np,inanim,3,def,no,patient,NA,none,NA,none,no,no,_??_,intrans,telic,ntrl,phy,social,sg,advbl
0.4043471,317,sg,shi,yes,implicit,cl,event,na,na,unintent,NA,none,NA,none,yes,np,inanim,3,indef,no,patient,NA,none,NA,none,no,no,??_??,intrans,atelic,neg,social,social,sg,advbl
0.898680905,123,tw,shi,yes,distant,cl,event,3,def,intent,NA,none,??__,time,no,np,inanim,3,def,no,patient,NA,none,NA,none,no,no,__????_,idiom,telic,pstv,phy,social,sg,advbl
0.839939264,1156,sg,rang,yes,implicit,cl,event,na,na,intent,NA,none,NA,none,no,np,anim,3,indef,yes,agent,NA,none,NA,none,no,no,??????,intrans,atelic,ntrl,phy,social,mul,advbl
0.306744637,412,ml,shi,yes,distant,cl,event,3,indef,intent,NA,none,NA,none,no,np,inanim,3,def,no,patient,NA,none,NA,none,no,no,??__,intrans,atelic,pstv,social,social,sg,advbl
0.95274574,1168,sg,rang,yes,distant,na,na,3,def,unintent,??__,poss,NA,none,yes,np,anim,3,indef,no,expcer,NA,none,NA,none,no,no,______,idiom,state,neg,ment,social,mul,advbl
0.562518244,464,tw,rang,yes,distant,np,anim,3,def,intent,NA,none,NA,none,no,np,anim,3,indef,yes,agent,_??,ability,NA,none,no,no,_??_,intrans,telic,ntrl,social,social,sg,advbl
0.140674685,467,tw,rang,yes,adjacent2,cl,event,na,na,unintent,NA,none,NA,none,no,np,anim,3,def,no,agent,_??_,ability,___,manner,yes,no,??__,trans,telic,neg,social,social,sg,advbl
0.030792359,344,sg,shi,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,anim,3,def,no,patient,NA,none,??__??,degree,no,no,??__,intrans,atelic,pstv,phy,social,sg,advbl
0.922704564,439,ml,shi,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,event,3,def,no,theme,NA,none,NA,none,no,no,___,trans,telic,pstv,phy,social,sg,advbl
0.817271379,440,ml,shi,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,anim,3,def,yes,agent,NA,none,NA,none,no,yes,????_,trans,telic,pstv,phy,social,mul,advbl
0.336399061,1244,sg,rang,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,anim,3,indef,yes,agent,_??,ability,NA,none,no,no,??_,trans,atelic,ntrl,social,social,sg,advbl
0.04350716,459,ml,shi,yes,distant,cl,event,3,indef,intent,NA,none,NA,none,no,np,inanim,3,def,no,theme,NA,none,_??_,degree,no,no,??????,adj,state,pstv,phy,social,sg,advbl
0.657068913,390,sg,shi,yes,distant,cl,event,3,def,unintent,NA,none,NA,none,no,np,inanim,3,indef,no,patient,NA,none,NA,none,no,no,___,trans,telic,neg,social,social,sg,advbl
0.461283881,518,ml,shi,yes,distant,np,anim,3,def,intent,NA,none,NA,none,no,np,anim,3,indef,yes,agent,NA,none,NA,none,no,no,_,trans,telic,pstv,social,social,sg,advbl
0.581124342,518,tw,rang,yes,distant,cl,anim,3,def,intent,NA,none,NA,none,no,np,anim,3,indef,yes,expcer,_,ability,??????,manner,no,no,??__,trans,atelic,pstv,ment,ment,sg,advbl
0.734098576,528,tw,rang,yes,distant,cl,inanim,3,indef,intent,NA,none,NA,none,no,np,inanim,3,indef,yes,agent,NA,none,NA,none,no,no,_,trans,telic,ntrl,phy,phy,sg,advbl
0.79149162,569,tw,rang,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,inanim,3,def,no,theme,NA,none,NA,none,no,no,??__,trans,state,pstv,phy,phy,sg,advbl
0.933896139,553,ml,shi,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,anim,3,def,yes,agent,NA,none,??????,time,no,yes,_??,trans,telic,ntrl,social,social,sg,advbl
0.204789209,485,sg,shi,yes,distant,cl,event,na,na,unintent,NA,none,??,range,no,np,event,3,def,no,patient,NA,none,NA,none,no,no,__??,intrans,atelic,neg,phy,social,sg,advbl
0.499145171,330,ml,rang,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,inanim,3,indef,no,patient,NA,none,NA,none,no,no,___,trans,telic,pstv,phy,social,sg,advbl
0.959665292,200,tw,shi,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,inanim,3,def,no,agent,NA,none,????_,manner,no,no,___,intrans,atelic,pstv,social,social,sg,advbl
0.741914285,223,tw,shi,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,anim,3,indef,no,befry,NA,none,NA,none,no,no,_??_,trans,telic,pstv,phy,social,mul,advbl
0.376291192,687,tw,rang,yes,adjacent,np,anim,3,def,intent,_,ability,NA,none,no,np,anim,3,def,no,expcer,NA,none,NA,none,no,no,___,trans,telic,pstv,phy,social,sg,advbl
0.827656837,494,sg,shi,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,inanim,3,def,no,theme,NA,none,_,degree,no,no,__,adj,state,pstv,phy,social,sg,advbl
0.94276996,588,ml,shi,yes,implicit,cl,event,na,na,intent,NA,none,NA,none,no,np,event,3,indef,no,theme,NA,none,_??_,degree,no,no,_____??,adj,state,pstv,social,social,sg,advbl
0.04719352,589,ml,shi,yes,implicit,cl,event,na,na,intent,NA,none,NA,none,no,np,anim,3,def,no,expcer,NA,none,NA,none,no,no,___,trans,telic,pstv,phy,social,mul,advbl
0.785873693,702,sg,ling,yes,distant,vp,event,na,na,unintent,NA,none,NA,none,no,np,anim,3,indef,yes,agent,NA,none,??_,manner,no,no,_____,intrans,atelic,pstv,social,social,sg,advbl
0.103953946,625,ml,shi,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,anim,3,def,yes,agent,NA,none,_??_,degree,no,no,??_??___??,trans,telic,pstv,ment,social,sg,advbl
0.024602783,629,ml,shi,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,anim,3,def,no,expcer,NA,none,NA,none,no,no,????_,trans,telic,neg,phy,social,sg,advbl
0.533079824,258,tw,shi,yes,implicit,na,na,na,na,intent,NA,none,NA,none,no,np,inanim,3,def,no,patient,NA,none,NA,none,no,no,??__,trans,telic,ntrl,phy,social,sg,advbl
0.776728704,796,tw,rang,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,inanim,3,def,no,theme,NA,none,NA,none,no,no,__,intrans,state,pstv,phy,social,sg,advbl
0.640452295,257,tw,shi,yes,adjacent2,cl,event,na,na,intent,___??,ability,NA,none,no,np,anim,3,indef,no,theme,NA,none,NA,none,no,no,??__??_??,adj,state,pstv,social,social,sg,advbl
0.000310501,818,tw,rang,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,event,3,def,no,theme,NA,none,NA,none,no,no,????_,adj,state,pstv,phy,phy,sg,advbl
0.610930653,819,tw,rang,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,event,3,def,no,theme,NA,none,NA,none,no,no,_??__??_,idiom,state,pstv,social,social,sg,advbl
0.99066904,850,tw,rang,yes,distant,cl,event,3,indef,intent,NA,none,NA,none,no,np,inanim,3,def,no,theme,_??,ability,NA,none,no,no,????_,intrans,state,pstv,phy,phy,sg,advbl
0.753704333,720,sg,ling,yes,distant,cl,event,3,def,unintent,NA,none,NA,none,no,np,inanim,3,def,no,theme,NA,none,___,degree,no,no,??????,adj,state,neg,phy,social,sg,advbl
0.100340078,545,sg,shi,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,inanim,3,def,no,patient,NA,none,NA,none,no,no,????_,trans,telic,pstv,social,social,sg,advbl
0.536555563,653,ml,shi,yes,distant,cl,event,3,def,unintent,NA,none,NA,none,no,np,anim,3,def,no,theme,NA,none,NA,none,no,no,__??,copula,telic,ntrl,social,social,sg,advbl
0.274130568,876,tw,rang,yes,implicit,na,na,na,na,intent,NA,none,NA,none,no,np,anim,3,indef,yes,agent,NA,none,??_____??__,manner,no,no,????_,intrans,atelic,pstv,social,social,sg,advbl
0.492862202,924,tw,rang,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,anim,3,indef,yes,expcer,NA,none,NA,none,no,no,___,trans,atelic,pstv,phy,phy,sg,advbl
0.472593191,955,tw,rang,yes,distant,np,inanim,3,def,unintent,??,poss,NA,none,no,np,anim,3,indef,no,expcer,NA,none,NA,none,no,no,___,adj,state,pstv,ment,ment,sg,advbl
0.841183159,554,sg,shi,yes,distant,np,anim,3,def,intent,NA,none,NA,none,no,np,anim,3,indef,no,agent,___,ability,NA,none,yes,no,??__,trans,telic,ntrl,phy,phy,sg,advbl
0.139701236,1598,sg,rang,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,anim,3,def,yes,agent,NA,none,????_,degree,no,no,__,trans,telic,ntrl,phy,social,sg,advbl
0.662597934,789,sg,ling,yes,adjacent2,cl,event,na,na,unintent,NA,none,NA,none,no,np,anim,3,indef,yes,agent,NA,none,_??_,manner,no,no,_??_,trans,atelic,neg,phy,social,sg,advbl
0.529852338,395,ml,rang,yes,distant,cl,event,3,def,unintent,NA,none,NA,none,no,np,anim,3,indef,no,patient,NA,none,NA,none,no,no,___,trans,telic,ntrl,social,social,sg,advbl
0.848298903,407,ml,rang,yes,implicit,cl,event,na,na,intent,NA,none,NA,none,no,np,anim,3,indef,yes,agent,_,ability,_????_,manner,no,no,????_,trans,telic,pstv,ment,ment,sg,advbl
0.277172207,588,sg,shi,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,anim,3,indef,yes,agent,NA,none,NA,none,no,no,????_,trans,telic,pstv,phy,ment,sg,advbl
0.240891596,1064,tw,rang,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,anim,3,def,no,befry,NA,none,NA,none,no,no,_,trans,telic,pstv,social,social,sg,advbl
0.765190829,1075,tw,rang,yes,distant,np,anim,3,def,intent,NA,none,NA,none,no,np,inanim,3,def,no,befry,NA,none,_??_,time,no,yes,_??_,trans,telic,pstv,social,social,sg,advbl
0.899791166,324,tw,shi,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,event,3,indef,no,patient,_??,ability,NA,none,no,no,????,intrans,telic,ntrl,social,social,sg,advbl
0.90743849,672,sg,shi,yes,distant,cl,event,3,indef,intent,NA,none,NA,none,no,np,inanim,3,indef,no,theme,NA,none,_,degree,no,no,????_,adj,state,pstv,phy,social,sg,advbl
0.376203467,329,tw,shi,yes,implicit,cl,event,na,na,intent,NA,none,NA,none,no,np,inanim,3,indef,no,patient,NA,none,NA,none,no,no,_????,intrans,telic,pstv,phy,social,sg,advbl
0.453790407,2041,sg,rang,yes,implicit,cl,event,na,na,intent,??,incl,NA,none,no,np,anim,3,indef,yes,agent,NA,none,NA,none,no,no,___,trans,telic,ntrl,phy,social,sg,advbl
0.34495275,2046,sg,rang,yes,distant,pron,anim,3,def,intent,NA,none,NA,none,no,np,inanim,3,def,no,theme,NA,none,NA,none,no,no,___,trans,telic,ntrl,phy,phy,sg,advbl
0.615524277,2049,sg,rang,yes,distant,cl,event,na,na,unintent,NA,none,NA,none,no,np,anim,3,def,yes,agent,NA,none,NA,none,no,no,_??_,intrans,atelic,pstv,phy,social,sg,advbl
0.475795183,342,tw,shi,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,inanim,3,def,no,patient,NA,none,????_,degree,no,no,_??____,idiom,telic,pstv,phy,social,sg,advbl
0.386019406,1219,tw,rang,yes,adjacent2,cl,event,na,na,unintent,NA,none,NA,none,no,np,anim,3,indef,yes,agent,_??,ability,_??????,manner,no,no,___,trans,telic,pstv,phy,social,mul,advbl
0.977798818,2107,sg,rang,yes,adjacent,np,anim,3,indef,unintent,NA,none,??,time,no,np,anim,3,indef,no,befry,NA,none,NA,none,no,no,????_,trans,telic,ntrl,social,social,sg,advbl
0.711855195,279,ml,ling,yes,adjacent2,cl,event,na,na,unintent,NA,none,NA,none,no,np,anim,3,indef,no,expcer,NA,none,NA,none,yes,no,??___??_,idiom,state,neg,ment,ment,sg,advbl
0.082221117,2130,sg,rang,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,anim,3,indef,yes,befry,NA,none,NA,none,no,no,___,trans,telic,pstv,phy,social,mul,advbl
0.362275877,852,ml,shi,yes,implicit,cl,event,na,na,intent,NA,none,NA,none,no,np,inanim,3,def,no,patient,NA,none,NA,none,no,no,_??,trans,telic,pstv,phy,phy,sg,advbl
0.279505554,1255,tw,rang,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,anim,3,indef,no,befry,NA,none,NA,none,no,no,_,trans,telic,pstv,phy,social,sg,advbl
0.571616249,873,ml,shi,yes,distant,vp,event,3,def,intent,NA,none,NA,none,no,np,inanim,3,def,no,theme,NA,none,_??_,degree,no,no,??_??,adj,state,pstv,phy,phy,sg,advbl
0.883111675,872,ml,shi,yes,distant,vp,event,1,def,intent,NA,none,NA,none,no,np,anim,3,def,no,theme,NA,none,NA,none,no,no,__??,copula,telic,pstv,social,social,sg,advbl
0.622444476,1295,tw,rang,yes,distant,cl,event,1,def,intent,NA,none,NA,none,no,np,anim,3,def,no,patient,NA,none,_??_,time,no,no,??????_,intrans,telic,pstv,social,social,mul,advbl
0.555434255,383,tw,shi,yes,implicit,vp,event,na,na,intent,NA,none,NA,none,no,np,inanim,3,def,no,theme,NA,none,_??_,degree,no,no,___,adj,state,pstv,phy,social,sg,advbl
0.321776191,543,ml,rang,yes,implicit,na,na,na,na,intent,??,incl,NA,none,no,np,inanim,3,indef,no,patient,NA,none,NA,none,no,no,___,trans,atelic,ntrl,social,social,sg,advbl
0.962729948,891,ml,shi,yes,distant,cl,event,3,indef,intent,??,incl,NA,none,no,np,inanim,3,def,no,befry,NA,none,NA,none,no,no,_??_,trans,telic,pstv,social,social,sg,advbl
0.938176549,391,tw,shi,yes,distant,vp,event,3,def,intent,NA,none,NA,none,no,np,anim,3,indef,no,befry,NA,none,_,degree,no,no,_,trans,state,pstv,phy,social,mul,advbl
0.614667509,893,ml,shi,yes,adjacent,np,inanim,3,def,unintent,NA,none,NA,none,no,np,anim,3,indef,no,expcer,NA,none,NA,none,no,no,??_????,trans,atelic,pstv,ment,social,sg,advbl
0.362133114,894,ml,shi,yes,adjacent,np,inanim,3,def,unintent,NA,none,NA,none,no,np,anim,3,indef,no,expcer,NA,none,??????,degree,no,no,??_??,intrans,atelic,pstv,ment,social,sg,advbl
0.293779955,860,sg,shi,yes,adjacent2,cl,event,na,na,unintent,NA,none,_,degree,no,np,anim,3,indef,no,befry,NA,none,NA,none,no,no,_??____,idiom,state,neg,phy,social,sg,advbl
0.710580321,2534,sg,rang,yes,implicit,cl,event,na,na,intent,NA,none,NA,none,no,np,anim,3,indef,no,befry,NA,none,NA,none,no,no,_??_,trans,telic,pstv,social,social,sg,advbl
0.863684957,2546,sg,rang,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,anim,3,indef,yes,agent,_,ability,_??_????_,manner,no,no,??__,trans,atelic,pstv,phy,social,sg,advbl
0.079077096,2574,sg,rang,yes,implicit,na,na,na,na,intent,NA,none,NA,none,no,np,inanim,3,def,no,patient,NA,none,NA,none,no,no,??,intrans,atelic,ntrl,social,social,sg,advbl
0.122830793,902,sg,shi,yes,implicit,na,na,na,na,intent,??,incl,NA,none,no,np,inanim,3,def,no,patient,NA,none,NA,none,no,no,??????,intrans,atelic,ntrl,phy,social,sg,advbl
0.933423358,928,sg,shi,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,anim,3,indef,yes,expcer,NA,none,NA,none,no,no,___,trans,telic,pstv,ment,ment,mul,advbl
0.133040475,1419,tw,rang,yes,implicit,vp,event,na,na,intent,NA,none,NA,none,no,np,anim,3,indef,yes,expcer,NA,none,NA,none,no,no,??__,trans,atelic,pstv,phy,ment,sg,advbl
0.204761057,2620,sg,rang,yes,implicit,cl,event,na,na,intent,??,incl,NA,none,no,np,anim,3,def,no,theme,NA,none,_,degree,no,no,??????,adj,state,pstv,phy,social,sg,advbl
0.536134037,2652,sg,rang,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,anim,3,indef,yes,expcer,NA,none,NA,none,no,no,_,trans,state,ntrl,ment,social,sg,advbl
0.449771347,437,tw,shi,yes,distant,np,anim,3,def,intent,NA,none,NA,none,no,np,anim,3,indef,yes,agent,NA,none,NA,none,no,no,_????,trans,atelic,pstv,phy,social,sg,advbl
0.770040263,571,ml,rang,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,anim,3,indef,yes,expcer,NA,none,NA,none,no,no,??_??,trans,telic,pstv,ment,social,sg,advbl
0.468538641,441,tw,shi,yes,distant,cl,event,3,indef,intent,NA,none,NA,none,no,np,event,3,def,no,patient,NA,none,????_,manner,no,no,??_,intrans,atelic,pstv,phy,social,sg,advbl
0.052660413,596,ml,rang,yes,adjacent2,cl,event,na,na,unintent,_??,ability,NA,none,no,np,anim,3,indef,yes,expcer,NA,none,___,degree,no,no,___,trans,state,pstv,ment,ment,sg,advbl
0.258401394,2713,sg,rang,yes,implicit,cl,event,na,na,intent,NA,none,NA,none,no,np,anim,3,def,yes,agent,NA,none,NA,none,no,no,_??_,trans,atelic,pstv,social,social,sg,advbl
0.782125667,1008,ml,shi,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,anim,3,indef,yes,expcer,NA,none,NA,none,no,no,??????,trans,state,pstv,social,social,mul,advbl
0.473751527,2778,sg,rang,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,anim,3,indef,no,patient,NA,none,_,range,no,no,_??_,trans,telic,pstv,social,social,sg,advbl
0.531226225,1591,tw,rang,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,anim,3,indef,yes,expcer,NA,none,NA,none,no,no,_,trans,state,pstv,ment,social,sg,advbl
0.273123236,1623,tw,rang,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,anim,3,indef,no,expcer,NA,none,NA,none,no,no,_??_,trans,telic,ntrl,ment,social,sg,advbl
0.029758529,1629,tw,rang,yes,implicit,cl,event,na,na,intent,NA,none,NA,none,no,np,anim,3,indef,yes,expcer,_??,ability,NA,none,no,no,___,trans,atelic,pstv,phy,phy,mul,advbl
0.125964688,2820,sg,rang,yes,distant,cl,event,1,def,intent,NA,none,NA,none,no,np,anim,3,indef,yes,agent,NA,none,NA,none,no,no,????_??__,intrans,telic,ntrl,phy,phy,sg,advbl
0.387393429,1073,ml,shi,yes,distant,np,event,3,def,unintent,NA,none,NA,none,no,np,inanim,3,def,no,patient,NA,none,___,time,no,no,??__,trans,state,ntrl,phy,phy,sg,advbl
0.978472281,1677,tw,rang,yes,implicit,na,na,na,na,unintent,_,ability,NA,none,no,np,anim,3,indef,no,theme,NA,none,__,range,no,no,_??,trans,state,pstv,ment,social,sg,advbl
0.619983711,651,ml,rang,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,anim,3,indef,yes,expcer,NA,none,????_,degree,no,no,??_??,trans,telic,pstv,ment,social,mul,advbl
0.943070881,1714,tw,rang,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,inanim,3,def,no,patient,_,ability,NA,none,no,no,??,trans,telic,pstv,social,social,sg,advbl
0.076184968,2855,sg,rang,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,anim,3,indef,yes,expcer,_,ability,_????_,manner,no,no,????_,trans,telic,pstv,ment,social,sg,advbl
0.2788917,1722,tw,rang,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,event,3,def,no,theme,NA,none,NA,none,no,no,_??_????_,idiom,atelic,pstv,phy,social,sg,advbl
0.713503704,662,ml,rang,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,anim,3,indef,no,befry,NA,none,NA,none,no,no,??,trans,telic,pstv,social,social,sg,advbl
0.162322213,2880,sg,rang,yes,distant,na,na,3,def,unintent,??_,incl,NA,none,yes,np,anim,3,def,no,expcer,NA,none,NA,none,no,no,????_,adj,state,neg,ment,ment,sg,advbl
0.2381548,1031,sg,shi,yes,implicit,vp,event,na,na,intent,NA,none,NA,none,no,np,inanim,3,def,no,befry,NA,none,NA,none,no,no,_,trans,telic,pstv,phy,phy,sg,advbl
0.213059568,516,tw,shi,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,anim,3,def,no,patient,NA,none,NA,none,no,no,??__,copula,telic,ntrl,phy,social,sg,advbl
0.350058684,568,tw,shi,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,anim,3,indef,yes,agent,NA,none,NA,none,no,no,_??,trans,state,ntrl,phy,social,sg,advbl
0.62412967,2991,sg,rang,yes,implicit,cl,event,na,na,intent,NA,none,NA,none,no,np,anim,3,indef,no,befry,_??,ability,NA,none,no,no,??????????,idiom,atelic,pstv,phy,social,mul,advbl
0.356128198,1205,ml,shi,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,inanim,3,indef,no,patient,_??,ability,NA,none,no,no,??__,trans,telic,ntrl,phy,social,sg,advbl
0.514448305,1111,sg,shi,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,inanim,3,indef,no,theme,NA,none,??__,time,no,no,__??,copula,telic,ntrl,phy,social,sg,advbl
0.854275542,1878,tw,rang,yes,implicit,na,na,na,na,intent,NA,none,NA,none,no,np,anim,3,indef,no,patient,NA,none,NA,none,no,no,??__,trans,telic,ntrl,phy,social,sg,advbl
0.63929581,609,tw,shi,yes,distant,np,anim,3,def,unintent,___,ability,NA,none,no,np,inanim,3,def,no,patient,NA,none,NA,none,no,no,??__,intrans,telic,pstv,social,social,sg,advbl
0.912823324,1214,ml,shi,yes,adjacent,vp,event,na,na,unintent,NA,none,NA,none,no,np,inanim,3,indef,no,patient,NA,none,NA,none,no,no,___,trans,state,neg,phy,social,sg,advbl
0.673903603,1137,sg,shi,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,inanim,3,def,no,theme,NA,none,NA,none,no,no,????_,adj,state,ntrl,phy,social,sg,advbl
0.730101478,627,tw,shi,yes,distant,cl,event,3,def,intent,NA,none,NA,none,no,np,inanim,3,indef,no,patient,NA,none,NA,none,no,no,_??_,intrans,telic,ntrl,phy,social,sg,advbl
